Sample,construct_family,transfer,mu_bulk_per_h,mu_se,fit_r2,plateau_K,inoculum_net,n_band_readings,doubling_h,tau_exp_h,reliable
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX,3,0.1673,0.0056,0.999,0.134,0.0087,2,4.14,13.19,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX,4,0.301,0.0521,0.971,0.206,0.0039,5,2.3,9.07,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX,6,0.3006,0.0102,0.999,0.378,0.0394,6,2.31,7.95,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX,13,0.2935,0.0293,0.99,0.378,0.0422,6,2.36,7.78,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,concX,3,0.2257,0.0015,1.0,0.121,0.0087,1,3.07,9.77,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,concX,4,0.3681,0.0913,0.942,0.153,0.0009,1,1.88,7.42,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,concX,6,0.3119,0.0534,0.972,0.373,0.0344,8,2.22,7.66,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,concX,13,0.3264,0.0426,0.983,0.31,0.0332,7,2.12,7.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.3,concX,3,0.2873,0.0049,1.0,0.168,0.0067,3,2.41,7.68,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.3,concX,4,0.4279,0.08,0.966,0.382,0.0099,6,1.62,6.38,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.3,concX,6,0.3081,0.0449,0.979,0.399,0.0384,8,2.25,7.75,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.3,concX,13,0.3695,0.0701,0.965,0.387,0.0412,4,1.88,6.18,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,concX,3,0.2301,0.013,0.997,0.086,0.0087,0,3.01,9.59,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,concX,4,0.7774,0.0505,0.996,0.126,0.0019,0,0.89,3.51,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,concX,6,0.308,0.1016,0.902,0.236,0.0014,3,2.25,7.75,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,concX,13,0.3363,0.0705,0.958,0.415,0.0412,5,2.06,6.79,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.5,concX,3,0.219,0.0082,0.999,0.095,0.0087,1,3.16,10.07,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.5,concX,4,0.4517,0.1202,0.934,0.183,0.0009,2,1.53,6.05,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.5,concX,6,0.3297,0.0683,0.959,0.403,0.0374,6,2.1,7.24,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.5,concX,13,0.318,0.0681,0.956,0.395,0.0362,6,2.18,7.18,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,concX,3,0.3214,0.0173,0.997,0.045,0.0057,0,2.16,6.86,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,concX,4,0.6827,0.263,0.871,0.026,0.0001,0,1.02,4.0,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,concX,6,0.3447,0.0892,0.937,0.2,0.0034,3,2.01,6.93,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,concX,13,0.2897,0.0161,0.997,0.413,0.0452,6,2.39,7.89,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.3,concX,3,0.3474,0.0018,1.0,0.026,0.0037,0,2.0,6.35,False
