Sample,3,4,6,13
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,190,117,191,199
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,135,205,228,240
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.3,209,260,229,274
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,139,206,184,217
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.5,175,185,143,231
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,117,243,208,185
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.3,154,178,217,153
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,101,218,125,188
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.2,132,195,217,210
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.3,158,184,212,161
TFMN4.exp2.ACN3788.concY_largeLib_PCR_DpnI_cleanup.4,150,267,173,244
