allele,marginal_s_per_cycle,se,n_pairs,n_samples,sweep_wins,drift_null_p,null_lo,null_hi,exceeds_drift_null,robust_selection
B3,0.2688396459416221,0.020679991619014546,5,7,0,0.0,-0.048861444256297445,0.043768920940859185,True,True
B8,0.2115333834819493,0.0913949210524493,1,1,0,0.0,-0.02757496445847212,0.037097950527461475,True,False
B108,0.1989880249074961,0.0236486017037038,1,1,0,0.0,-0.036553194638616095,0.0635525942235117,True,False
B42,0.1683365280389203,0.08815368725693709,1,3,0,0.0,-0.019640344059420924,0.04215382239410232,True,False
B2,0.13901636323995303,0.025344230294224505,5,8,0,0.0,-0.05023485330156208,0.04408557083371408,True,True
B78,0.1256401323595441,0.0933818382510364,1,2,0,0.15333333333333332,-0.17440099261316966,0.15527952891469793,False,False
B174,0.1156978315107517,0.08255491288467678,2,4,0,0.0,-0.019289779050852378,0.03968415124971781,True,False
B138,0.1047713667991255,0.0631089335120084,1,2,0,0.16666666666666666,-0.1759646901853948,0.11492720318928225,False,False
B79,0.09260536759981562,0.022776713672675482,8,7,0,0.0,-0.06268814489322073,0.0341711920633856,True,True
B51,0.08124486035130045,0.03983758424214503,4,6,0,0.0,-0.03722880846462765,0.0412337608375602,True,False
B6,0.05816829463423504,0.012390607106443598,11,8,0,0.03333333333333333,-0.06820999477468442,0.03088562236181895,True,True
B168,0.0532487698891436,0.057263183582993406,1,1,0,0.02,-0.04422451884380682,0.04787064412435978,True,False
B4,0.05155250889253332,0.08161495302459904,2,2,0,0.056666666666666664,-0.06768463139203552,0.04318039665166755,False,False
B66,0.041919317850058445,0.036283040958079396,2,1,0,0.43,-0.10455659885697141,0.07986299713516688,False,False
B132,0.038383077157610815,0.019176913383354168,3,4,0,0.48,-0.1335443459870544,0.10424783253663013,False,False
B18,0.02961487718005591,0.03728486562078521,6,7,0,0.5633333333333334,-0.10712864908046106,0.0552594069191837,False,False
B95,0.0268534484618332,0.1664592327715041,1,1,0,0.7366666666666667,-0.1928351065989042,0.14682126124152764,False,False
B26,0.02052752702855015,0.009913830297060814,7,9,0,0.61,-0.10603624609375678,0.0817828259304873,False,False
B159,0.0172841642885029,0.0998589904207701,1,1,0,0.7866666666666666,-0.17039930063216632,0.1318409764856682,False,False
B119,0.016949003888109236,0.10733540654052229,2,2,0,0.82,-0.14542144986079736,0.1000788956318123,False,False
B151,0.014542782886438094,0.018814463708308516,15,10,0,0.49333333333333335,-0.04420269223529862,0.030758625371408867,False,False
B120,0.011570805095994785,0.06808301889700617,3,4,0,0.7666666666666667,-0.06950279906923121,0.05587354855464127,False,False
B71,0.0083864094448974,0.0872665023937288,1,2,0,0.87,-0.19083830247416972,0.11007113715555887,False,False
B117,0.007170404552870016,0.008281601128186536,15,7,0,0.9366666666666666,-0.14851545177849387,0.10671650970361897,False,False
B101,0.00671682733590622,0.009234547671337438,5,6,0,0.94,-0.18053157978734286,0.13789705752827763,False,False
B30,0.005062712070116106,0.01601104973877833,13,7,0,0.81,-0.06439107471794404,0.0348246317863841,False,False
B171,0.0008579296743112467,0.009110817190432486,9,6,0,0.9966666666666667,-0.15122163253975188,0.13410283064901227,False,False
B40,-0.0015452140731057958,0.007627544461469656,6,7,0,0.9833333333333333,-0.16565686685236336,0.12328644811758435,False,False
B38,-0.0064926699076598,0.0315593584365872,1,2,0,0.84,-0.08740572207489539,0.06642450298092385,False,False
B70,-0.03427816244227163,0.03194899893301189,5,7,0,0.4666666666666667,-0.10346269932162323,0.058440072008518924,False,False
B77,-0.035875631339581826,0.038648243782752556,5,5,0,0.52,-0.14144976841169746,0.09694819286496381,False,False
B84,-0.036043791231964474,0.03168543881785932,11,7,0,0.24333333333333335,-0.06031298210900819,0.03439405953537758,False,False
B155,-0.0369313537491715,0.0984801836037784,1,4,0,0.6633333333333333,-0.2097382889223536,0.1461934647222753,False,False
B87,-0.03729865202955071,0.05310108163661703,4,6,0,0.16666666666666666,-0.06474665505662172,0.038585953716353004,False,False
B140,-0.03760168991902575,0.016639732893461195,3,5,0,0.6966666666666667,-0.1894462045946992,0.14056434931517883,False,False
B122,-0.0523797292466532,0.1268882310955981,1,3,0,0.27,-0.1006872812632612,0.08281240936476511,False,False
B65,-0.0561691633028015,0.0727531579222408,1,4,0,0.5266666666666666,-0.18832583618669563,0.16211900041520974,False,False
B50,-0.05681785598912938,0.06464935582511948,2,4,0,0.33666666666666667,-0.14159262793190722,0.09112897071224653,False,False
B123,-0.05765061468799369,0.054006656777303624,5,6,0,0.24,-0.10614244155873334,0.06386392882107336,False,False
B145,-0.05777163315218046,0.06354895067859255,4,4,0,0.19666666666666666,-0.09720311661084435,0.0721950554170883,False,False
B41,-0.0634449764411858,0.1195991643016807,1,2,0,0.4033333333333333,-0.1989277615066706,0.13019133195275553,False,False
B136,-0.06426335436973053,0.0394004578305736,3,3,0,0.2833333333333333,-0.1417303433271612,0.09448638128432835,False,False
B154,-0.06586534635970136,0.062120636546317366,4,5,0,0.16,-0.10988739295221348,0.06646230136579563,False,False
B11,-0.0677702658040642,0.1456143239948758,1,3,0,0.0033333333333333335,-0.029127993785490677,0.05510308494413938,True,False
B52,-0.0719239309727521,0.11089236928794813,2,3,0,0.20666666666666667,-0.1298674165734708,0.09476578119356094,False,False
B59,-0.08462141755310275,0.018990529007758678,3,5,0,0.17666666666666667,-0.1509778399685482,0.10538181536535807,False,False
B15,-0.09356348969472733,0.08892145825468513,3,4,0,0.12666666666666668,-0.14570486953215478,0.09456000083849561,False,False
B103,-0.0955119008464873,0.1687848729001897,1,6,0,0.17333333333333334,-0.18626479963434947,0.11618456375318974,False,False
B85,-0.0956291183064926,0.1015796861611024,1,1,0,0.08666666666666667,-0.13317872058985514,0.09598531271786766,False,False
B47,-0.10075625128469476,0.025979116811090622,3,6,0,0.17333333333333334,-0.1768725797180896,0.1081742413504556,False,False
B27,-0.10674744536108864,0.05158527015728884,5,4,0,0.0033333333333333335,-0.08661054197322873,0.04320352129100474,True,True
B13,-0.1124940921888792,0.0963498254045805,1,2,0,0.20333333333333334,-0.1786206611945963,0.1640770813218075,False,False
