Sample,Candidate,deployed_model,rmse_1var,rmse_4var,wrss_1var,wrss_4var,r2_1var,r2_4var,rse_dofadj_1var,rse_dofadj_4var,loocv_rmse_1var,loocv_rmse_4var
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,A196-B11,constant,0.8743,0.8743,16.3688,16.3688,0.0977,0.0977,2.8608,2.8608,1.704,1.3229
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,A81-B174,constant,2.7494,2.7494,63.1433,63.1433,0.6279,0.6279,5.6189,5.6189,6.6448,7.2334
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.3,A20-B151,constant,0.1947,0.1947,30.1054,30.1054,0.2131,0.2131,3.8798,3.8798,0.831,0.648
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.3,A90-B108,constant,0.19,0.19,2.7414,2.7414,0.9725,0.9725,1.1708,1.1708,0.7955,0.6986
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A153-B30,constant,0.6835,0.6835,6.2766,6.2766,0.0369,0.0369,1.7715,1.7715,1.9606,1.6093
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A78-B2,constant,0.375,0.375,1.6496,1.6496,0.7476,0.7476,0.9082,0.9082,0.9244,0.5493
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A81-B120,constant,0.4695,0.4695,4.6072,4.6072,0.0769,0.0769,1.5178,1.5178,1.9291,1.7248
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A81-B84,constant,0.3862,0.3862,2.5814,2.5814,0.1778,0.1778,1.1361,1.1361,0.8712,0.9562
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A83-B151,constant,0.7523,0.7523,43.4473,43.4473,0.1449,0.1449,4.6609,4.6609,1.1672,2.6654
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.5,A83-B42,constant,0.9677,0.9677,145.6212,145.6212,0.6458,0.6458,8.5329,8.5329,2.0002,2.4304
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A153-B77,constant,1.1707,1.1707,31.0819,31.0819,0.0003,0.0003,3.9422,3.9422,2.6328,2.6092
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A176-B120,constant,0.4154,0.4154,4.4892,4.4892,0.012,0.012,1.4982,1.4982,1.4259,2.2518
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A78-B117,constant,0.7157,0.7157,32.7195,32.7195,0.0215,0.0215,4.0447,4.0447,2.1839,1.6998
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A78-B30,constant,0.8824,0.8824,33.233,33.233,0.6195,0.6195,4.0763,4.0763,2.8495,2.523
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A83-B101,constant,0.2877,0.2877,1.2071,1.2071,0.0018,0.0018,0.7769,0.7769,1.1501,1.2473
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A83-B40,constant,0.0944,0.0944,0.2171,0.2171,0.9635,0.9635,0.3295,0.3295,0.2509,0.1602
