allele_kind,allele,marginal_s_per_cycle,marginal_s_per_generation,se,n_pairs,n_samples,drift_null_p,exceeds_drift_null,robust_selection,R_allele_OD_clock_per_h,R_allele_lo,R_allele_hi,correction_frac_of_mubulk,flag_anchor_is_community_level,flag_correction_is_few_pct_of_mubulk,flag_OD_not_biomass,flag_derived_not_measured
verB,B120,0.0115708050959947,0.0033,0.0680830188970061,3,4,0.7666666666666667,False,False,0.3071,0.2946,0.3196,0.005,True,True,True,True
verB,B71,0.0083864094448974,0.0024,0.0872665023937288,1,2,0.87,False,False,0.3067,0.2942,0.3192,0.004,True,True,True,True
verB,B117,0.00717040455287,0.0021,0.0082816011281865,15,7,0.9366666666666666,False,False,0.3065,0.294,0.319,0.003,True,True,True,True
verB,B101,0.0067168273359062,0.0019,0.0092345476713374,5,6,0.94,False,False,0.3064,0.2939,0.3189,0.003,True,True,True,True
verB,B30,0.0050627120701161,0.0015,0.0160110497387783,13,7,0.81,False,False,0.3062,0.2937,0.3187,0.002,True,True,True,True
verB,B171,0.0008579296743112,0.0002,0.0091108171904324,9,6,0.9966666666666668,False,False,0.3056,0.2931,0.3181,0.0,True,True,True,True
verB,B40,-0.0015452140731057,-0.0004,0.0076275444614696,6,7,0.9833333333333332,False,False,0.3053,0.2928,0.3178,0.001,True,True,True,True
verB,B38,-0.0064926699076598,-0.0019,0.0315593584365872,1,2,0.84,False,False,0.3046,0.2921,0.3171,0.003,True,True,True,True
verB,B70,-0.0342781624422716,-0.0099,0.0319489989330118,5,7,0.4666666666666667,False,False,0.3008,0.2883,0.3133,0.015,True,True,True,True
verB,B77,-0.0358756313395818,-0.0104,0.0386482437827525,5,5,0.52,False,False,0.3005,0.288,0.313,0.016,True,True,True,True
verB,B84,-0.0360437912319644,-0.0104,0.0316854388178593,11,7,0.2433333333333333,False,False,0.3005,0.288,0.313,0.016,True,True,True,True
verB,B155,-0.0369313537491715,-0.0107,0.0984801836037784,1,4,0.6633333333333333,False,False,0.3004,0.2879,0.3129,0.017,True,True,True,True
verB,B87,-0.0372986520295507,-0.0108,0.053101081636617,4,6,0.1666666666666666,False,False,0.3003,0.2878,0.3128,0.017,True,True,True,True
verB,B140,-0.0376016899190257,-0.0109,0.0166397328934611,3,5,0.6966666666666667,False,False,0.3003,0.2878,0.3128,0.017,True,True,True,True
verB,B122,-0.0523797292466532,-0.0152,0.1268882310955981,1,3,0.27,False,False,0.2983,0.2858,0.3108,0.024,True,True,True,True
verB,B65,-0.0561691633028015,-0.0163,0.0727531579222408,1,4,0.5266666666666666,False,False,0.2977,0.2852,0.3102,0.025,True,True,True,True
verB,B50,-0.0568178559891293,-0.0164,0.0646493558251194,2,4,0.3366666666666666,False,False,0.2977,0.2852,0.3102,0.026,True,True,True,True
verB,B123,-0.0576506146879936,-0.0167,0.0540066567773036,5,6,0.24,False,False,0.2975,0.285,0.31,0.026,True,True,True,True
verB,B145,-0.0577716331521804,-0.0167,0.0635489506785925,4,4,0.1966666666666666,False,False,0.2975,0.285,0.31,0.026,True,True,True,True
verB,B41,-0.0634449764411858,-0.0184,0.1195991643016807,1,2,0.4033333333333333,False,False,0.2967,0.2842,0.3092,0.029,True,True,True,True
verB,B136,-0.0642633543697305,-0.0186,0.0394004578305736,3,3,0.2833333333333333,False,False,0.2966,0.2841,0.3091,0.029,True,True,True,True
verB,B154,-0.0658653463597013,-0.0191,0.0621206365463173,4,5,0.16,False,False,0.2964,0.2839,0.3089,0.03,True,True,True,True
verB,B11,-0.0677702658040642,-0.0196,0.1456143239948758,1,3,0.0033333333333333,True,False,0.2961,0.2836,0.3086,0.031,True,True,True,True
verB,B52,-0.0719239309727521,-0.0208,0.1108923692879481,2,3,0.2066666666666666,False,False,0.2956,0.2831,0.3081,0.033,True,True,True,True
verB,B59,-0.0846214175531027,-0.0245,0.0189905290077586,3,5,0.1766666666666666,False,False,0.2938,0.2813,0.3063,0.038,True,True,True,True
verB,B15,-0.0935634896947273,-0.0271,0.0889214582546851,3,4,0.1266666666666666,False,False,0.2926,0.2801,0.3051,0.042,True,True,True,True
verB,B103,-0.0955119008464873,-0.0276,0.1687848729001897,1,6,0.1733333333333333,False,False,0.2923,0.2798,0.3048,0.043,True,True,True,True
verB,B85,-0.0956291183064926,-0.0277,0.1015796861611024,1,1,0.0866666666666666,False,False,0.2923,0.2798,0.3048,0.043,True,True,True,True
verB,B47,-0.1007562512846947,-0.0292,0.0259791168110906,3,6,0.1733333333333333,False,False,0.2916,0.2791,0.3041,0.046,True,True,True,True
verB,B27,-0.1067474453610886,-0.0309,0.0515852701572888,5,4,0.0033333333333333,True,True,0.2908,0.2783,0.3033,0.048,True,True,True,True
verB,B13,-0.1124940921888792,-0.0326,0.0963498254045805,1,2,0.2033333333333333,False,False,0.29,0.2775,0.3025,0.051,True,True,True,True
verB,B32,-0.1145221594517712,-0.0331,0.1211839089300014,1,1,0.18,False,False,0.2897,0.2772,0.3022,0.052,True,True,True,True
verB,B137,-0.1170365734048798,-0.0339,0.0261628137838624,7,6,0.0333333333333333,True,True,0.2893,0.2768,0.3018,0.053,True,True,True,True
verB,B126,-0.1236595014059467,-0.0358,0.2213389598103179,1,3,0.02,True,False,0.2884,0.2759,0.3009,0.056,True,True,True,True
verB,B152,-0.1281612462987529,-0.0371,0.0903179830231337,1,1,0.1433333333333333,False,False,0.2878,0.2753,0.3003,0.058,True,True,True,True
verB,B9,-0.1304440630607166,-0.0378,0.190931089869593,1,1,0.02,True,False,0.2875,0.275,0.3,0.059,True,True,True,True
verB,B75,-0.1364679137809853,-0.0395,0.0303140335576881,11,9,0.0,True,True,0.2867,0.2742,0.2992,0.062,True,True,True,True
verB,B147,-0.1413409866451562,-0.0409,0.0967488775257304,1,3,0.1633333333333333,False,False,0.286,0.2735,0.2985,0.064,True,True,True,True
verB,B46,-0.1415718347771693,-0.041,0.1875664635987662,1,1,0.09,False,False,0.2859,0.2734,0.2984,0.064,True,True,True,True
verB,B98,-0.1430507315189727,-0.0414,0.0706213952976785,1,1,0.0666666666666666,False,False,0.2857,0.2732,0.2982,0.065,True,True,True,True
verB,B127,-0.1492991346798388,-0.0432,0.0719148410371377,1,2,0.0133333333333333,True,False,0.2849,0.2724,0.2974,0.068,True,True,True,True
verB,B177,-0.1500051542447464,-0.0434,0.0489165518590071,2,3,0.05,False,False,0.2848,0.2723,0.2973,0.068,True,True,True,True
verB,B91,-0.1531786298337736,-0.0443,0.1223006188985739,1,1,0.08,False,False,0.2843,0.2718,0.2968,0.069,True,True,True,True
verB,B61,-0.1742328206298932,-0.0504,0.0533803711731454,1,2,0.0133333333333333,True,False,0.2814,0.2689,0.2939,0.079,True,True,True,True
verB,B165,-0.1870515918465015,-0.0541,0.1045989009089383,2,5,0.0033333333333333,True,False,0.2797,0.2672,0.2922,0.085,True,True,True,True
verB,B100,-0.1883405993716252,-0.0545,0.0712553349009365,1,1,0.0266666666666666,True,False,0.2795,0.267,0.292,0.085,True,True,True,True
verB,B150,-0.1961662113410016,-0.0568,0.1218475300415543,1,4,0.0066666666666666,True,False,0.2784,0.2659,0.2909,0.089,True,True,True,True
