allele,marginal_s_per_cycle,se,n_pairs,n_samples,sweep_wins,drift_null_p,null_lo,null_hi,exceeds_drift_null,robust_selection
A185,0.1459437870601523,0.0551509306354798,1,2,0,0.03333333333333333,-0.14204724774914004,0.10786697398873714,True,False
A90,0.10445408296564154,0.015383919070848871,17,11,0,0.0,-0.03788705253352927,0.027545675687318992,True,True
A78,0.060821536161427166,0.00992973540375399,32,11,1,0.01,-0.05007768690277073,0.03031078802869368,True,True
A81,0.019620017039983177,0.006516873755961095,43,11,6,0.64,-0.09944087966053947,0.06530410610428597,False,False
A63,0.0193892053286343,0.0074414802179268566,7,8,0,0.76,-0.1605480013351078,0.12037123293657796,False,False
A20,0.01177858606625102,0.02141643717322561,10,8,1,0.5966666666666667,-0.04739464368833566,0.03981952415004775,False,False
A176,0.0061638930073669405,0.009135642206157396,7,10,0,0.94,-0.17646783924801032,0.13552725392356943,False,False
A153,0.0036666113091894485,0.01880489801668421,14,10,0,0.9,-0.05356857726320226,0.0375027042310643,False,False
A152,-0.008002773001989436,0.008698759371751083,7,6,0,0.9033333333333333,-0.14318182864104942,0.12481891249935848,False,False
A186,-0.020184189795770194,0.011120616213834863,10,7,0,0.6733333333333333,-0.12851230574664163,0.09049675836702983,False,False
A83,-0.02992241409561907,0.016023213447043376,16,11,2,0.16333333333333333,-0.043761736688392026,0.0317433973935614,False,False
A16,-0.0344959387460299,0.016273750422268137,8,5,0,0.6933333333333334,-0.17638995865154364,0.1326657327210861,False,False
A196,-0.03764514881502431,0.013981401996216974,50,8,1,0.0,-0.03366699207369846,0.014838658056294148,True,True
A96,-0.04757859718244867,0.036744058647738435,7,9,0,0.34,-0.1048293159867105,0.060761378205700135,False,False
A143,-0.048540136369799036,0.02361317374483103,7,8,0,0.4866666666666667,-0.13795237258344403,0.09760997971678591,False,False
A21,-0.0492134051824196,0.0193372407512908,1,1,0,0.30333333333333334,-0.1167547146189791,0.07107343186095065,False,False
