Candidate,verA,verB,n_samples,has_slope_info,r_global_per_h,se_laplace,rel_advantage_per_h,doubling_h,ci_boot_lo,ci_boot_hi,se_boot,loso_heterogeneity_sd,sens_to_OD_weight,identifiability
A186-B126,A186,B126,1,False,0.3622,0.0306,0.0442,1.91,0.2421,0.3858,0.0446,0.0158,0.0448,mixed
A78-B117,A78,B117,3,True,0.3614,0.0063,0.0434,1.92,0.3469,0.3802,0.0087,0.0093,0.0542,anchor/prior-driven
A90-B150,A90,B150,2,False,0.3598,0.0245,0.0418,1.93,0.2808,0.38,0.0285,0.0157,0.0412,mixed
A186-B78,A186,B78,2,True,0.3586,0.022,0.0406,1.93,0.2415,0.3881,0.0369,0.0116,0.0556,anchor/prior-driven
A153-B77,A153,B77,3,True,0.3586,0.006,0.0406,1.93,0.3431,0.3751,0.008,0.0073,0.0452,mixed
A81-B51,A81,B51,4,True,0.3583,0.0058,0.0403,1.93,0.3472,0.3759,0.0078,0.0193,0.0426,mixed
A81-B47,A81,B47,1,True,0.3579,0.0212,0.0399,1.94,0.3143,0.3722,0.0147,0.0147,0.0475,mixed
A185-B26,A185,B26,1,True,0.3571,0.0097,0.0391,1.94,0.3413,0.377,0.0104,0.0148,0.0403,mixed
A78-B3,A78,B3,3,True,0.3561,0.0056,0.0381,1.95,0.3436,0.3738,0.0083,0.0126,0.0352,mixed
A153-B127,A153,B127,1,False,0.3549,0.0436,0.0369,1.95,0.2591,0.3846,0.0461,0.0133,0.041,mixed
A153-B6,A153,B6,3,True,0.3549,0.0065,0.0369,1.95,0.3415,0.375,0.0088,0.0113,0.0563,anchor/prior-driven
A96-B26,A96,B26,2,True,0.3541,0.0121,0.0361,1.96,0.3346,0.3714,0.0115,0.0073,0.0444,mixed
A81-B26,A81,B26,1,True,0.3533,0.0122,0.0353,1.96,0.3138,0.3756,0.0179,0.0135,0.0511,anchor/prior-driven
A81-B130,A81,B130,1,False,0.3526,0.0259,0.0346,1.97,0.2792,0.3774,0.0343,0.0091,0.0001,data-pinned
A90-B26,A90,B26,1,True,0.3513,0.0117,0.0333,1.97,0.3341,0.3752,0.0109,0.0093,0.0054,data-pinned
A176-B120,A176,B120,2,True,0.3502,0.012,0.0322,1.98,0.3225,0.3766,0.0151,0.0128,0.0535,anchor/prior-driven
A143-B84,A143,B84,2,True,0.3499,0.0095,0.0319,1.98,0.3301,0.3757,0.0123,0.0065,0.0645,anchor/prior-driven
A83-B138,A83,B138,1,True,0.3496,0.0114,0.0316,1.98,0.3274,0.3712,0.0102,0.0114,0.0512,anchor/prior-driven
A20-B151,A20,B151,2,True,0.3489,0.0091,0.0309,1.99,0.3337,0.369,0.0103,0.0126,0.0311,mixed
A90-B18,A90,B18,2,True,0.3485,0.0125,0.0305,1.99,0.3298,0.3657,0.0097,0.0085,0.0274,mixed
A63-B6,A63,B6,1,True,0.3483,0.0075,0.0303,1.99,0.3331,0.3752,0.0106,0.011,0.0522,anchor/prior-driven
A20-B95,A20,B95,1,True,0.3471,0.016,0.0291,2.0,0.3169,0.367,0.0204,0.012,0.0387,mixed
A185-B30,A185,B30,1,False,0.3464,0.0766,0.0284,2.0,0.2605,0.4121,0.0391,0.0098,0.039,mixed
A81-B2,A81,B2,1,True,0.3449,0.0064,0.0269,2.01,0.3327,0.3676,0.0094,0.008,0.0051,data-pinned
A63-B145,A63,B145,1,False,0.3445,0.0395,0.0265,2.01,0.2508,0.3717,0.0416,0.0086,0.0506,anchor/prior-driven
A79-B77,A79,B77,1,False,0.3445,0.0395,0.0265,2.01,0.2489,0.3749,0.0408,0.0086,0.0506,anchor/prior-driven
A81-B30,A81,B30,4,True,0.3443,0.0057,0.0263,2.01,0.3345,0.3622,0.0078,0.0082,0.03,mixed
A63-B26,A63,B26,1,False,0.3436,0.0412,0.0256,2.02,0.2434,0.3716,0.0463,0.009,0.0493,mixed
A96-B6,A96,B6,1,False,0.3436,0.0412,0.0256,2.02,0.2467,0.3721,0.0436,0.009,0.0493,mixed
A20-B66,A20,B66,1,True,0.3435,0.0119,0.0255,2.02,0.3298,0.362,0.0093,0.0099,0.0398,mixed
A81-B117,A81,B117,2,True,0.3433,0.0129,0.0253,2.02,0.3224,0.362,0.0108,0.007,0.052,anchor/prior-driven
A196-B168,A196,B168,1,True,0.3431,0.006,0.0251,2.02,0.3252,0.3587,0.0089,0.011,0.0394,mixed
A78-B122,A78,B122,1,True,0.3421,0.0158,0.0241,2.03,0.315,0.3671,0.0154,0.0107,0.0482,mixed
A90-B123,A90,B123,3,True,0.3414,0.0197,0.0234,2.03,0.2914,0.3693,0.02,0.0069,0.0465,mixed
A78-B2,A78,B2,2,True,0.3414,0.0088,0.0234,2.03,0.3232,0.3626,0.0105,0.0116,0.0286,mixed
A90-B3,A90,B3,3,True,0.3408,0.0096,0.0228,2.03,0.3296,0.3595,0.0082,0.0142,0.0133,data-pinned
A83-B101,A83,B101,3,True,0.3404,0.014,0.0224,2.04,0.3219,0.3583,0.0109,0.0074,0.0506,anchor/prior-driven
A78-B77,A78,B77,2,True,0.3394,0.0105,0.0214,2.04,0.3163,0.3663,0.0133,0.0046,0.0673,anchor/prior-driven
A78-B59,A78,B59,1,True,0.3383,0.0457,0.0203,2.05,0.289,0.3805,0.0243,0.0084,0.0873,anchor/prior-driven
A176-B30,A176,B30,2,True,0.3373,0.0103,0.0193,2.05,0.318,0.362,0.0119,0.0098,0.0494,mixed
A78-B137,A78,B137,3,True,0.3366,0.007,0.0186,2.06,0.3178,0.3581,0.0103,0.0096,0.0531,anchor/prior-driven
A196-B145,A196,B145,1,True,0.3338,0.0164,0.0158,2.08,0.2919,0.3538,0.0181,0.0088,0.0264,mixed
A196-B2,A196,B2,3,True,0.3336,0.0082,0.0156,2.08,0.3215,0.3576,0.0097,0.005,0.0546,anchor/prior-driven
A63-B40,A63,B40,1,True,0.3334,0.0172,0.0154,2.08,0.2926,0.3606,0.0197,0.0089,0.0376,mixed
A83-B84,A83,B84,2,True,0.333,0.01,0.015,2.08,0.3078,0.3511,0.0119,0.0057,0.0492,mixed
A78-B159,A78,B159,1,True,0.3302,0.0224,0.0122,2.1,0.2432,0.3593,0.0317,0.0061,0.0487,mixed
A81-B132,A81,B132,3,True,0.3295,0.0121,0.0115,2.1,0.2995,0.3487,0.0125,0.0052,0.0537,anchor/prior-driven
A81-B120,A81,B120,1,True,0.3289,0.0101,0.0109,2.11,0.3098,0.3467,0.0105,0.0079,0.0274,mixed
A196-B6,A196,B6,3,True,0.3288,0.0149,0.0108,2.11,0.3139,0.3488,0.0092,0.0053,0.0593,anchor/prior-driven
A16-B137,A16,B137,1,True,0.3288,0.0111,0.0108,2.11,0.3128,0.3518,0.0102,0.006,0.0527,anchor/prior-driven
A63-B122,A63,B122,1,False,0.3273,0.0274,0.0093,2.12,0.2344,0.3487,0.03,0.0063,0.0476,mixed
A113-B174,A113,B174,1,False,0.3266,0.0399,0.0086,2.12,0.2402,0.355,0.0429,0.0057,0.0329,mixed
A97-B174,A97,B174,1,False,0.3266,0.0399,0.0086,2.12,0.2372,0.347,0.041,0.0057,0.0329,mixed
A196-B59,A196,B59,1,True,0.3266,0.0211,0.0086,2.12,0.3102,0.3468,0.0111,0.0053,0.0613,anchor/prior-driven
A38-B128,A38,B128,1,False,0.3266,0.0399,0.0086,2.12,0.246,0.3539,0.0404,0.0057,0.0329,mixed
A196-B139,A196,B139,1,False,0.3266,0.0399,0.0086,2.12,0.2395,0.35,0.0401,0.0057,0.0329,mixed
A176-B154,A176,B154,1,False,0.3266,0.0399,0.0086,2.12,0.2452,0.3598,0.0366,0.0057,0.0329,mixed
A90-B103,A90,B103,1,False,0.3266,0.0399,0.0086,2.12,0.243,0.358,0.0417,0.0057,0.0329,mixed
A81-B137,A81,B137,2,True,0.3259,0.014,0.0079,2.13,0.2994,0.354,0.0143,0.0079,0.0522,anchor/prior-driven
A159-B49,A159,B49,1,False,0.3257,0.0267,0.0077,2.13,0.2374,0.3459,0.0313,0.0075,0.0257,mixed
A81-B84,A81,B84,3,True,0.3255,0.0101,0.0075,2.13,0.297,0.348,0.0129,0.0112,0.0213,mixed
A15-B117,A15,B117,1,False,0.3251,0.0367,0.0071,2.13,0.2416,0.3491,0.0402,0.0053,0.0447,mixed
A20-B69,A20,B69,1,False,0.3251,0.0367,0.0071,2.13,0.2393,0.3512,0.0371,0.0053,0.0447,mixed
A176-B18,A176,B18,1,False,0.3251,0.0367,0.0071,2.13,0.2473,0.3535,0.0374,0.0053,0.0447,mixed
A196-B87,A196,B87,2,True,0.3249,0.0068,0.0069,2.13,0.3096,0.3468,0.0091,0.0048,0.0543,anchor/prior-driven
A96-B132,A96,B132,2,False,0.3247,0.0265,0.0067,2.13,0.2288,0.3461,0.0285,0.0062,0.037,mixed
A20-B71,A20,B71,2,True,0.3246,0.0152,0.0066,2.14,0.3015,0.3487,0.0132,0.0062,0.0484,mixed
A153-B30,A153,B30,5,True,0.324,0.0064,0.006,2.14,0.306,0.3408,0.0092,0.0062,0.0409,mixed
A83-B120,A83,B120,1,False,0.3235,0.0359,0.0055,2.14,0.242,0.3493,0.0338,0.0071,0.024,mixed
A90-B6,A90,B6,1,True,0.3235,0.0173,0.0055,2.14,0.2803,0.3495,0.0215,0.0049,0.0509,anchor/prior-driven
A16-B154,A16,B154,2,True,0.3234,0.0181,0.0054,2.14,0.3008,0.34,0.0108,0.0057,0.0478,mixed
A196-B51,A196,B51,1,True,0.3234,0.0097,0.0054,2.14,0.2992,0.3491,0.0137,0.005,0.0532,anchor/prior-driven
A153-B137,A153,B137,1,True,0.3222,0.0096,0.0042,2.15,0.2997,0.3437,0.0119,0.0071,0.0381,mixed
A196-B117,A196,B117,3,True,0.3209,0.0133,0.0029,2.16,0.2942,0.3465,0.0138,0.0066,0.0627,anchor/prior-driven
A196-B18,A196,B18,1,True,0.3209,0.017,0.0029,2.16,0.285,0.3408,0.0136,0.0052,0.0383,mixed
A78-B47,A78,B47,2,False,0.3208,0.0253,0.0028,2.16,0.2281,0.3385,0.0242,0.0057,0.044,mixed
A83-B151,A83,B151,5,True,0.3207,0.0056,0.0027,2.16,0.3083,0.3386,0.0084,0.0069,0.0336,mixed
A186-B26,A186,B26,1,True,0.3203,0.0132,0.0023,2.16,0.2751,0.348,0.0174,0.0047,0.053,anchor/prior-driven
A196-B151,A196,B151,3,True,0.3178,0.0054,-0.0002,2.18,0.3078,0.3394,0.0079,0.0057,0.0094,data-pinned
A21-B6,A21,B6,1,True,0.3178,0.0107,-0.0002,2.18,0.2959,0.3379,0.0123,0.0047,0.0535,anchor/prior-driven
A186-B3,A186,B3,1,True,0.3161,0.0134,-0.0019,2.19,0.2829,0.3364,0.0142,0.0046,0.0532,anchor/prior-driven
A186-B62,A186,B62,1,False,0.3149,0.034,-0.0031,2.2,0.2381,0.3427,0.0362,0.0036,0.0071,data-pinned
A196-B40,A196,B40,1,False,0.3149,0.034,-0.0031,2.2,0.2398,0.3357,0.0327,0.0036,0.0071,data-pinned
A78-B40,A78,B40,1,True,0.3145,0.0232,-0.0035,2.2,0.2678,0.3401,0.0175,0.0047,0.0494,mixed
A196-B79,A196,B79,2,True,0.3144,0.0098,-0.0036,2.2,0.294,0.3449,0.0127,0.0082,0.0559,anchor/prior-driven
A32-B151,A32,B151,1,False,0.3129,0.056,-0.0051,2.22,0.2317,0.348,0.0404,0.0052,0.0258,mixed
A28-B151,A28,B151,1,False,0.3129,0.056,-0.0051,2.22,0.2379,0.3398,0.0356,0.0052,0.0258,mixed
A81-B101,A81,B101,1,True,0.3127,0.0171,-0.0053,2.22,0.2935,0.3273,0.01,0.0068,0.0359,mixed
A83-B137,A83,B137,2,False,0.3111,0.0355,-0.0069,2.23,0.2259,0.3345,0.0308,0.0061,0.0398,mixed
A78-B151,A78,B151,1,True,0.3111,0.0177,-0.0069,2.23,0.2739,0.347,0.0209,0.005,0.0632,anchor/prior-driven
A96-B27,A96,B27,1,True,0.3109,0.0213,-0.0071,2.23,0.2732,0.3301,0.0137,0.0049,0.0504,anchor/prior-driven
A90-B70,A90,B70,2,True,0.3103,0.0344,-0.0077,2.23,0.2364,0.3333,0.0242,0.0074,0.0357,mixed
A196-B38,A196,B38,1,True,0.3101,0.0089,-0.0079,2.23,0.2852,0.3345,0.0125,0.0036,0.0073,data-pinned
A81-B103,A81,B103,1,False,0.3078,0.0669,-0.0102,2.25,0.2245,0.3527,0.0417,0.0079,0.0321,mixed
A20-B75,A20,B75,1,False,0.3078,0.0669,-0.0102,2.25,0.233,0.3485,0.0363,0.0079,0.0321,mixed
A90-B75,A90,B75,3,True,0.3074,0.0087,-0.0106,2.26,0.2898,0.3272,0.0096,0.0108,0.0429,mixed
A196-B119,A196,B119,2,True,0.307,0.0107,-0.011,2.26,0.2923,0.3271,0.0092,0.0057,0.0077,data-pinned
A81-B177,A81,B177,2,True,0.3069,0.0184,-0.0111,2.26,0.2833,0.327,0.0109,0.009,0.0305,mixed
A63-B18,A63,B18,2,False,0.3059,0.0348,-0.0121,2.27,0.2276,0.3341,0.0253,0.005,0.034,mixed
A159-B128,A159,B128,1,False,0.3053,0.0576,-0.0127,2.27,0.2159,0.3311,0.0329,0.0084,0.0348,mixed
A90-B102,A90,B102,1,False,0.3043,0.0624,-0.0137,2.28,0.2331,0.3476,0.0394,0.0066,0.0318,mixed
A143-B151,A143,B151,1,False,0.3038,0.0515,-0.0142,2.28,0.2252,0.3308,0.0297,0.0086,0.0357,mixed
A196-B8,A196,B8,1,False,0.3036,0.0506,-0.0144,2.28,0.2142,0.336,0.0361,0.0061,0.0419,mixed
A96-B47,A96,B47,1,False,0.3033,0.0612,-0.0147,2.29,0.2268,0.3459,0.0383,0.0067,0.0383,mixed
A81-B145,A81,B145,2,True,0.3031,0.0126,-0.0149,2.29,0.2844,0.3192,0.0095,0.0046,0.0082,data-pinned
A78-B144,A78,B144,1,False,0.3025,0.0657,-0.0155,2.29,0.2299,0.3428,0.0384,0.0064,0.0311,mixed
A152-B2,A152,B2,1,False,0.3025,0.0657,-0.0155,2.29,0.2331,0.3449,0.0412,0.0064,0.0311,mixed
A176-B177,A176,B177,1,False,0.302,0.0555,-0.016,2.3,0.2333,0.3274,0.0329,0.0076,0.0321,mixed
A186-B117,A186,B117,1,True,0.3013,0.0249,-0.0167,2.3,0.2589,0.3229,0.0165,0.0044,0.0156,data-pinned
A143-B137,A143,B137,1,True,0.3007,0.0151,-0.0173,2.3,0.2835,0.321,0.0099,0.0045,0.0177,data-pinned
A20-B6,A20,B6,1,True,0.3002,0.0093,-0.0178,2.31,0.2801,0.3297,0.0141,0.0046,0.0154,data-pinned
A153-B165,A153,B165,1,False,0.3,0.0565,-0.018,2.31,0.2066,0.3264,0.0369,0.0062,0.0357,mixed
A152-B154,A152,B154,2,True,0.2998,0.0169,-0.0182,2.31,0.271,0.3217,0.012,0.0119,0.0381,mixed
A196-B136,A196,B136,2,True,0.2995,0.0161,-0.0185,2.31,0.2767,0.3164,0.0106,0.0077,0.0527,anchor/prior-driven
A196-B46,A196,B46,1,True,0.2989,0.0182,-0.0191,2.32,0.2713,0.3175,0.0119,0.0047,0.0194,data-pinned
A196-B65,A196,B65,1,False,0.2987,0.0506,-0.0193,2.32,0.237,0.327,0.0261,0.0068,0.0374,mixed
A20-B70,A20,B70,1,True,0.2986,0.0363,-0.0194,2.32,0.2146,0.3223,0.0269,0.009,0.0232,mixed
A196-B52,A196,B52,3,True,0.2972,0.0135,-0.0208,2.33,0.283,0.3214,0.0101,0.005,0.0114,data-pinned
A81-B61,A81,B61,1,True,0.2971,0.0223,-0.0209,2.33,0.2683,0.3166,0.013,0.0097,0.0342,mixed
A20-B126,A20,B126,2,True,0.2968,0.0142,-0.0212,2.34,0.2776,0.3161,0.0105,0.0087,0.0164,data-pinned
A196-B147,A196,B147,1,False,0.2967,0.0403,-0.0213,2.34,0.2408,0.3176,0.0197,0.0074,0.0422,mixed
A78-B101,A78,B101,3,True,0.2964,0.0182,-0.0216,2.34,0.2617,0.3205,0.0146,0.0038,0.0011,data-pinned
A153-B55,A153,B55,1,False,0.2953,0.0423,-0.0227,2.35,0.2142,0.3197,0.0287,0.0102,0.0324,mixed
A162-B137,A162,B137,1,False,0.2953,0.0423,-0.0227,2.35,0.2336,0.3215,0.0247,0.0102,0.0324,mixed
A20-B84,A20,B84,2,True,0.2952,0.0128,-0.0228,2.35,0.2667,0.3252,0.0153,0.0138,0.018,data-pinned
A196-B171,A196,B171,3,True,0.2946,0.0128,-0.0234,2.35,0.2771,0.3227,0.0125,0.0079,0.0556,anchor/prior-driven
A83-B50,A83,B50,4,True,0.2946,0.0253,-0.0234,2.35,0.2589,0.3152,0.015,0.0064,0.042,mixed
A81-B87,A81,B87,2,True,0.2942,0.0161,-0.0238,2.36,0.2744,0.3192,0.0109,0.005,0.0186,data-pinned
A83-B70,A83,B70,1,False,0.2939,0.0387,-0.0241,2.36,0.2424,0.3185,0.0205,0.01,0.033,mixed
A81-B41,A81,B41,2,True,0.2931,0.0357,-0.0249,2.36,0.2402,0.3283,0.0236,0.0082,0.036,mixed
A78-B42,A78,B42,1,False,0.293,0.0563,-0.025,2.37,0.225,0.3161,0.0325,0.0103,0.0211,mixed
A196-B34,A196,B34,1,False,0.293,0.0563,-0.025,2.37,0.2295,0.3185,0.0329,0.0103,0.0211,mixed
A16-B140,A16,B140,1,True,0.2929,0.0327,-0.0251,2.37,0.223,0.3187,0.0258,0.0055,0.0206,mixed
A196-B84,A196,B84,1,True,0.2921,0.0095,-0.0259,2.37,0.2759,0.3135,0.0104,0.0061,0.0241,mixed
A176-B59,A176,B59,1,False,0.292,0.0568,-0.026,2.37,0.2322,0.3226,0.0323,0.0094,0.0371,mixed
A152-B27,A152,B27,1,False,0.292,0.0568,-0.026,2.37,0.2284,0.3156,0.0325,0.0094,0.0371,mixed
A81-B11,A81,B11,1,False,0.292,0.0568,-0.026,2.37,0.2271,0.3149,0.0329,0.0094,0.0371,mixed
A20-B101,A20,B101,1,False,0.292,0.0568,-0.026,2.37,0.2319,0.3251,0.0333,0.0094,0.0371,mixed
A81-B65,A81,B65,2,True,0.2914,0.035,-0.0266,2.38,0.2316,0.3149,0.0217,0.007,0.026,mixed
A196-B11,A196,B11,1,True,0.2913,0.0095,-0.0267,2.38,0.2694,0.3122,0.0118,0.0097,0.0378,mixed
A81-B140,A81,B140,3,True,0.2909,0.0316,-0.0271,2.38,0.2551,0.3222,0.0156,0.0078,0.0401,mixed
A153-B171,A153,B171,1,False,0.2903,0.0842,-0.0277,2.39,0.2325,0.3312,0.0304,0.01,0.0281,mixed
A153-B26,A153,B26,2,False,0.2903,0.0449,-0.0277,2.39,0.2097,0.3177,0.0293,0.0059,0.0031,data-pinned
A81-B59,A81,B59,1,False,0.2903,0.0842,-0.0277,2.39,0.2338,0.3635,0.0329,0.01,0.0281,mixed
A186-B74,A186,B74,1,False,0.2903,0.0842,-0.0277,2.39,0.2291,0.3455,0.0326,0.01,0.0281,mixed
A90-B61,A90,B61,1,False,0.2903,0.0842,-0.0277,2.39,0.2296,0.3392,0.0329,0.01,0.0281,mixed
A176-B34,A176,B34,1,False,0.2903,0.0842,-0.0277,2.39,0.2367,0.3397,0.0302,0.01,0.0281,mixed
A96-B84,A96,B84,1,False,0.2903,0.0842,-0.0277,2.39,0.2353,0.3298,0.0294,0.01,0.0281,mixed
A186-B151,A186,B151,1,False,0.2903,0.0842,-0.0277,2.39,0.2376,0.3288,0.0291,0.01,0.0281,mixed
A66-B30,A66,B30,1,False,0.2903,0.0842,-0.0277,2.39,0.2288,0.3524,0.033,0.01,0.0281,mixed
A196-B27,A196,B27,2,True,0.2899,0.0178,-0.0281,2.39,0.2653,0.3143,0.0123,0.0051,0.0534,anchor/prior-driven
A196-B75,A196,B75,2,True,0.2891,0.0211,-0.0289,2.4,0.2693,0.3086,0.0108,0.0051,0.0504,anchor/prior-driven
A153-B101,A153,B101,2,False,0.2889,0.047,-0.0291,2.4,0.2061,0.3195,0.033,0.0054,0.0332,mixed
A186-B2,A186,B2,1,True,0.2882,0.0439,-0.0298,2.41,0.2216,0.3142,0.0233,0.0121,0.036,mixed
A90-B38,A90,B38,1,False,0.2879,0.0517,-0.0301,2.41,0.2285,0.3166,0.0323,0.0067,0.0169,data-pinned
A186-B145,A186,B145,1,False,0.2879,0.0517,-0.0301,2.41,0.2277,0.3153,0.0302,0.0067,0.0169,data-pinned
A176-B138,A176,B138,1,False,0.2879,0.0517,-0.0301,2.41,0.2232,0.3185,0.0335,0.0067,0.0169,data-pinned
A193-B11,A193,B11,1,False,0.2875,0.0606,-0.0305,2.41,0.2275,0.3183,0.0307,0.0106,0.028,mixed
A90-B155,A90,B155,2,True,0.2872,0.0344,-0.0308,2.41,0.2361,0.3103,0.0194,0.0055,0.0211,mixed
A196-B132,A196,B132,1,True,0.2871,0.0238,-0.0309,2.41,0.2613,0.3127,0.0147,0.0109,0.0355,mixed
A196-B85,A196,B85,1,True,0.2868,0.0301,-0.0312,2.42,0.2481,0.3152,0.0183,0.0095,0.0483,mixed
A12-B60,A12,B60,1,False,0.2866,0.0485,-0.0314,2.42,0.2069,0.3151,0.0299,0.0109,0.0409,mixed
A16-B65,A16,B65,1,False,0.2866,0.0485,-0.0314,2.42,0.2118,0.3148,0.0355,0.0109,0.0409,mixed
A81-B66,A81,B66,1,True,0.2861,0.0321,-0.0319,2.42,0.255,0.3088,0.0137,0.011,0.0331,mixed
A196-B15,A196,B15,3,True,0.2857,0.0174,-0.0323,2.43,0.2598,0.3046,0.0109,0.0048,0.0016,data-pinned
A96-B87,A96,B87,4,True,0.2847,0.0235,-0.0333,2.43,0.2612,0.3091,0.0114,0.0067,0.0414,mixed
A63-B171,A63,B171,1,True,0.2843,0.0514,-0.0337,2.44,0.2208,0.3161,0.0223,0.013,0.0352,mixed
A196-B9,A196,B9,1,True,0.2836,0.0261,-0.0344,2.44,0.2541,0.3082,0.015,0.0104,0.0513,anchor/prior-driven
A16-B79,A16,B79,1,False,0.2836,0.0433,-0.0344,2.44,0.2012,0.3061,0.027,0.012,0.0426,mixed
A16-B145,A16,B145,1,True,0.2822,0.0194,-0.0358,2.46,0.25,0.3108,0.0149,0.0079,0.0401,mixed
A96-B75,A96,B75,2,True,0.2822,0.0355,-0.0358,2.46,0.2415,0.3141,0.0196,0.0081,0.0433,mixed
A176-B6,A176,B6,1,True,0.282,0.0474,-0.036,2.46,0.2307,0.3067,0.0203,0.0106,0.0379,mixed
A90-B59,A90,B59,3,True,0.2816,0.0381,-0.0364,2.46,0.2321,0.3111,0.0225,0.0092,0.0193,data-pinned
A143-B117,A143,B117,2,True,0.28,0.0364,-0.038,2.48,0.2289,0.3059,0.021,0.0073,0.0409,mixed
A152-B47,A152,B47,1,True,0.2798,0.0325,-0.0382,2.48,0.2291,0.3031,0.021,0.0084,0.0362,mixed
A83-B18,A83,B18,1,True,0.2797,0.0516,-0.0383,2.48,0.2248,0.3073,0.0238,0.0114,0.0356,mixed
A153-B117,A153,B117,1,True,0.2797,0.0516,-0.0383,2.48,0.2098,0.3036,0.0247,0.0114,0.0356,mixed
A81-B27,A81,B27,1,True,0.2775,0.0444,-0.0405,2.5,0.204,0.3212,0.0294,0.012,0.0447,mixed
A96-B79,A96,B79,3,True,0.2769,0.0202,-0.0411,2.5,0.2516,0.3018,0.0124,0.0091,0.0155,data-pinned
A90-B136,A90,B136,1,True,0.2752,0.0644,-0.0428,2.52,0.2014,0.298,0.0298,0.0143,0.0325,mixed
A90-B47,A90,B47,1,True,0.275,0.0334,-0.043,2.52,0.2294,0.312,0.021,0.0106,0.0379,mixed
A96-B77,A96,B77,1,False,0.2741,0.0752,-0.0439,2.53,0.2249,0.3116,0.0269,0.0133,0.0246,mixed
A78-B75,A78,B75,3,True,0.272,0.0212,-0.046,2.55,0.2385,0.2933,0.0157,0.0091,0.0168,data-pinned
A196-B103,A196,B103,1,True,0.2718,0.042,-0.0462,2.55,0.2401,0.3044,0.0162,0.0133,0.0396,mixed
A196-B123,A196,B123,3,True,0.2712,0.0134,-0.0468,2.56,0.2457,0.2973,0.0135,0.0065,0.0373,mixed
A176-B101,A176,B101,1,True,0.2709,0.0647,-0.0471,2.56,0.1994,0.3067,0.0312,0.0134,0.0311,mixed
