Candidate,verA,verB,n_samples,has_slope_info,r_global_per_h,se_laplace,rel_advantage_per_h,doubling_h,ci_boot_lo,ci_boot_hi,se_boot,loso_heterogeneity_sd,sens_to_OD_weight,identifiability
A83-B42,A83,B42,1,True,0.4614,0.0097,0.1434,1.5,0.4368,0.4956,0.0139,0.0403,0.1779,anchor/prior-driven
A78-B79,A78,B79,2,True,0.4345,0.0072,0.1165,1.6,0.421,0.4528,0.0093,0.0246,0.0678,anchor/prior-driven
A83-B26,A83,B26,1,False,0.411,0.0513,0.093,1.69,0.314,0.4568,0.043,0.0263,0.0875,anchor/prior-driven
A81-B12,A81,B12,1,False,0.3973,0.0213,0.0793,1.74,0.3252,0.4165,0.0246,0.0236,0.0645,anchor/prior-driven
A78-B30,A78,B30,2,True,0.3912,0.0061,0.0732,1.77,0.379,0.4097,0.0091,0.0318,0.0608,anchor/prior-driven
A97-B6,A97,B6,1,False,0.3873,0.0258,0.0693,1.79,0.3021,0.4106,0.0354,0.016,0.0448,mixed
A138-B79,A138,B79,1,False,0.3873,0.0257,0.0693,1.79,0.3029,0.4184,0.0339,0.0193,0.0605,anchor/prior-driven
A81-B8,A81,B8,1,True,0.3845,0.0068,0.0665,1.8,0.3701,0.4108,0.0111,0.019,0.0686,anchor/prior-driven
A196-B4,A196,B4,2,True,0.3833,0.0066,0.0653,1.81,0.3721,0.4025,0.0088,0.0269,0.0741,anchor/prior-driven
A81-B6,A81,B6,2,True,0.3751,0.0057,0.0571,1.85,0.3636,0.3931,0.0085,0.0063,0.0483,mixed
A90-B108,A90,B108,1,True,0.3745,0.0095,0.0565,1.85,0.3566,0.397,0.0114,0.0188,0.0307,mixed
A81-B151,A81,B151,2,True,0.3745,0.0065,0.0565,1.85,0.3633,0.3945,0.0086,0.0122,0.0289,mixed
A81-B174,A81,B174,3,True,0.3737,0.0062,0.0557,1.85,0.3599,0.3924,0.0091,0.0077,0.0411,mixed
A186-B79,A186,B79,2,True,0.3723,0.0095,0.0543,1.86,0.3524,0.3897,0.0108,0.0074,0.063,anchor/prior-driven
A89-B174,A89,B174,1,False,0.3712,0.0263,0.0532,1.87,0.2779,0.3901,0.0391,0.0173,0.0375,mixed
A84-B174,A84,B174,1,False,0.3712,0.0263,0.0532,1.87,0.2788,0.3989,0.0387,0.0173,0.0375,mixed
A78-B26,A78,B26,3,True,0.3675,0.0063,0.0495,1.89,0.3574,0.386,0.0084,0.0062,0.0354,mixed
A96-B3,A96,B3,1,False,0.3675,0.0257,0.0495,1.89,0.2766,0.3956,0.0366,0.0173,0.0385,mixed
A83-B104,A83,B104,1,False,0.3675,0.0257,0.0495,1.89,0.2851,0.3928,0.033,0.0173,0.0385,mixed
A83-B40,A83,B40,3,True,0.3661,0.0057,0.0481,1.89,0.3561,0.3869,0.0078,0.0238,0.0224,mixed
A196-B164,A196,B164,1,False,0.3651,0.0259,0.0471,1.9,0.2813,0.3926,0.0363,0.0155,0.049,mixed
A83-B6,A83,B6,1,False,0.3651,0.0259,0.0471,1.9,0.2725,0.3862,0.0399,0.0155,0.049,mixed
A83-B134,A83,B134,1,False,0.3651,0.0259,0.0471,1.9,0.2728,0.3877,0.0374,0.0155,0.049,mixed
A196-B55,A196,B55,1,False,0.3651,0.0259,0.0471,1.9,0.2773,0.3841,0.0369,0.0155,0.049,mixed
A97-B155,A97,B155,1,False,0.3637,0.026,0.0457,1.91,0.2875,0.3788,0.0356,0.0165,0.0267,mixed
