Sample,DNA_construct,Replicate,Candidate,verA,verB,n_obs_timepoints,total_reads,max_count,transfers_observed,freq_T3,freq_T13,s_per_cycle,se_per_cycle,r2_per_cycle,s_per_generation,se_per_generation,s_per_hour_measured,s_per_hour_nominal,monotonic,quality,estimable,sweep_winner
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A138-B79,A138,B79,1,1,1,13,0.0,0.005025125628140704,0.2147437480700931,0.025188792566899945,0.973219754527924,0.06291873977070792,0.006855674627662668,0.008134232881442922,0.02147437480700931,False,none,False,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A81-B8,A81,B8,4,348,181,"3,4,6,13",0.12631578947368421,0.9095477386934674,0.21153338348194936,0.09139492105244938,0.7281464428842371,0.06300735818838277,0.026183117543424828,0.008012628162195052,0.021153338348194935,True,good,True,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A186-B79,A186,B79,3,12,7,"3,4,13",0.021052631578947368,0.035175879396984924,0.20047562558482343,0.050912444956562324,0.8857477396658784,0.05802411500613353,0.015220852843164736,0.007593773696394827,0.02004756255848234,False,good,True,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B2,A196,B2,3,11,8,"3,4,6",0.010526315789473684,0.0,0.17119684218015546,0.35422764458480166,0.10457455654082559,0.05444618734979541,0.09960234405000144,0.006484728870460434,0.017119684218015546,False,fair,True,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A186-B78,A186,B78,2,2,1,"4,13",0.0,0.005025125628140704,0.12564013235954413,0.09338183825103642,0.47509625573647996,0.037038595146242095,0.027192190094661943,0.004759095922710005,0.012564013235954413,True,fair,True,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A63-B145,A63,B145,1,1,1,6,0.0,0.0,0.07995108303281064,0.16581898859956784,0.1041341474823716,0.025260001282419058,0.04791678839072168,0.003028450114879191,0.007995108303281064,False,none,False,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A79-B77,A79,B77,1,1,1,6,0.0,0.0,0.07995108303281064,0.16581898859956784,0.1041341474823716,0.025260001282419058,0.04791678839072168,0.003028450114879191,0.007995108303281064,False,none,False,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B117,A196,B117,3,33,13,"3,4,6",0.06842105263157895,0.0,0.05309395793373315,0.18796619127880917,0.03836294285385056,0.017787542954381945,0.051993193051004714,0.0020111347702171647,0.005309395793373315,False,fair,True,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A81-B132,A81,B132,4,12,5,"3,4,6,13",0.02631578947368421,0.010050251256281407,0.044975689363261136,0.019822350228657703,0.7202046235209858,0.013154004430295354,0.00563562539896366,0.0017036245970932248,0.004497568936326113,True,good,True,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A143-B84,A143,B84,4,32,16,"3,4,6,13",0.015789473684210527,0.01507537688442211,0.027824530338961567,0.20362662038594984,0.009249555412971677,0.010571821998476012,0.059184365418343224,0.001053959482536423,0.0027824530338961566,False,fair,True,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B171,A196,B171,3,10,4,"3,4,6",0.021052631578947368,0.0,0.027445003307243653,0.1670609841178332,0.01331451187081012,0.010273504007424421,0.04728024343736324,0.0010395834586077143,0.0027445003307243654,False,fair,True,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A196-B150,A196,B150,1,1,1,3,0.005263157894736842,0.0,0.025964213197632282,0.027391798967306546,0.3099835613243149,0.007297467663761873,0.008032276025450475,0.000983492924152738,0.0025964213197632283,False,none,False,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A20-B126,A20,B126,1,1,1,3,0.005263157894736842,0.0,0.025964213197632282,0.027391798967306546,0.3099835613243149,0.007297467663761873,0.008032276025450475,0.000983492924152738,0.0025964213197632283,False,none,False,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A20-B60,A20,B60,1,1,1,3,0.005263157894736842,0.0,0.025964213197632282,0.027391798967306546,0.3099835613243149,0.007297467663761873,0.008032276025450475,0.000983492924152738,0.0025964213197632283,False,none,False,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A63-B75,A63,B75,1,1,1,3,0.005263157894736842,0.0,0.025964213197632282,0.027391798967306546,0.3099835613243149,0.007297467663761873,0.008032276025450475,0.000983492924152738,0.0025964213197632283,False,none,False,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A78-B150,A78,B150,1,1,1,3,0.005263157894736842,0.0,0.025964213197632282,0.027391798967306546,0.3099835613243149,0.007297467663761873,0.008032276025450475,0.000983492924152738,0.0025964213197632283,False,none,False,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A81-B3,A81,B3,1,1,1,3,0.005263157894736842,0.0,0.025964213197632282,0.027391798967306546,0.3099835613243149,0.007297467663761873,0.008032276025450475,0.000983492924152738,0.0025964213197632283,False,none,False,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A83-B50,A83,B50,1,1,1,3,0.005263157894736842,0.0,0.025964213197632282,0.027391798967306546,0.3099835613243149,0.007297467663761873,0.008032276025450475,0.000983492924152738,0.0025964213197632283,False,none,False,False
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A90-B59,A90,B59,1,1,1,3,0.005263157894736842,0.0,0.025964213197632282,0.027391798967306546,0.3099835613243149,0.007297467663761873,0.008032276025450475,0.000983492924152738,0.0025964213197632283,False,none,False,False
