Candidate,verA,verB,n_samples,bridged,beta_per_cycle,beta_se,beta_per_generation,allele_pred_per_cycle,beta_pooled_per_cycle,shrinkage_lambda
A78-B79,A78,B79,1,False,0.6925,0.0786,0.2004,0.2093,0.4082,0.412
A83-B42,A83,B42,1,False,0.2962,0.1403,0.0857,0.294,0.2944,0.18
A81-B6,A81,B6,2,True,0.3054,0.0564,0.0884,0.2136,0.2664,0.575
A185-B26,A185,B26,1,False,0.2409,0.0878,0.0697,0.2404,0.2406,0.359
A81-B8,A81,B8,1,False,0.2401,0.1455,0.0695,0.2383,0.2386,0.17
A81-B51,A81,B51,2,True,0.2347,0.0707,0.0679,0.2177,0.2256,0.464
A176-B6,A176,B6,1,False,0.052,0.2318,0.0151,0.2331,0.2196,0.075
A78-B3,A78,B3,3,True,0.2246,0.0372,0.065,0.1817,0.2142,0.757
A152-B154,A152,B154,2,True,0.0046,0.1514,0.0013,0.2409,0.2034,0.159
A78-B18,A78,B18,1,False,0.1757,0.0983,0.0508,0.1821,0.1801,0.31
A81-B26,A81,B26,1,False,0.195,0.0507,0.0564,0.1445,0.1762,0.628
A78-B26,A78,B26,2,True,0.1736,0.0442,0.0502,0.1812,0.176,0.688
A63-B6,A63,B6,1,False,0.1725,0.0326,0.0499,0.1619,0.1704,0.802
A78-B40,A78,B40,1,False,0.0224,0.2254,0.0065,0.1811,0.1686,0.078
A90-B6,A90,B6,1,False,-0.0246,0.2279,-0.0071,0.1807,0.1649,0.077
A78-B77,A78,B77,2,True,0.0346,0.1981,0.01,0.1685,0.1552,0.099
A78-B122,A78,B122,1,False,0.1563,0.202,0.0452,0.1548,0.155,0.096
A186-B78,A186,B78,1,False,0.1542,0.1487,0.0446,0.152,0.1524,0.164
A196-B168,A196,B168,1,False,0.1482,0.0912,0.0429,0.1475,0.1478,0.342
A83-B138,A83,B138,1,False,0.1466,0.1005,0.0424,0.146,0.1462,0.3
A90-B18,A90,B18,1,False,0.2431,0.1124,0.0704,0.1125,0.1458,0.255
A143-B117,A143,B117,2,True,0.1492,0.0426,0.0432,0.137,0.1456,0.704
A78-B117,A78,B117,3,True,0.1254,0.0683,0.0363,0.1558,0.1412,0.481
A153-B6,A153,B6,3,True,0.1125,0.0829,0.0326,0.1587,0.1409,0.386
A196-B4,A196,B4,2,True,0.1392,0.1299,0.0403,0.1379,0.1382,0.204
A196-B6,A196,B6,1,False,0.048,0.4434,0.0139,0.1347,0.1328,0.022
A90-B136,A90,B136,1,False,0.1757,0.0983,0.0508,0.1102,0.1305,0.31
A196-B51,A196,B51,1,False,-0.0123,0.1888,-0.0036,0.1389,0.1225,0.108
A81-B117,A81,B117,2,True,0.1215,0.0145,0.0352,0.1191,0.1214,0.954
A176-B101,A176,B101,1,False,0.1199,0.0149,0.0347,0.1191,0.1199,0.951
A152-B171,A152,B171,1,False,0.1199,0.0149,0.0347,0.1104,0.1194,0.951
A81-B18,A81,B18,2,True,0.0228,0.1257,0.0066,0.1454,0.1191,0.215
A186-B79,A186,B79,2,True,0.2222,0.0777,0.0643,0.0433,0.118,0.417
A83-B18,A83,B18,1,False,0.0719,0.1723,0.0208,0.123,0.1165,0.127
A20-B95,A20,B95,1,False,0.1218,0.265,0.0353,0.1133,0.1138,0.058
A83-B101,A83,B101,2,True,0.2063,0.1079,0.0597,0.0772,0.1121,0.271
A81-B151,A81,B151,1,False,0.2059,0.0765,0.0596,0.0272,0.1033,0.426
A63-B40,A63,B40,1,False,0.1036,0.013,0.03,0.0928,0.1032,0.962
A83-B50,A83,B50,2,True,0.0943,0.1029,0.0273,0.0939,0.094,0.29
A176-B120,A176,B120,1,False,0.2252,0.1693,0.0652,0.0741,0.0939,0.131
A81-B101,A81,B101,1,False,-0.0208,0.2861,-0.006,0.0995,0.0935,0.05
A176-B30,A176,B30,2,True,0.2174,0.1134,0.0629,0.0461,0.0893,0.252
