Candidate,concX_largeLib_SpeI.1,concX_largeLib_SpeI.2,concX_largeLib_SpeI.3,concX_largeLib_SpeI.4,concX_largeLib_SpeI.5,concX_largeLib_SpeI_cleanup.1,concX_largeLib_SpeI_cleanup.3,concX_smallLib_PCR_DpnI_cleanup.3,concY_largeLib_PCR_DpnI_cleanup.2,concY_largeLib_PCR_DpnI_cleanup.3,concY_largeLib_PCR_DpnI_cleanup.4
A78-B18,,,,,,-0.0329825840612808,,,,,
A90-B136,,,,,,-0.0329825840612808,,,,,
A90-B59,,,,,,,-0.0356898638483828,,,,
A90-B155,-0.0369313537491715,,,,,,,,,,
A153-B117,,,,,,,,,,,-0.0401827363447371
A83-B18,,,,,,,,,,,-0.0401827363447371
A21-B6,,,,,,,,,,-0.0492134051824196,
A78-B122,,,,,,-0.0523797292466532,,,,,
A196-B51,,,,,,,,,,-0.05412735883801,
A81-B65,,,,-0.0561691633028015,,,,,,,
A176-B6,,,,,,,,,,,-0.0600953309390752
A81-B41,,,,,,,-0.0634449764411858,,,,
A196-B6,,,,,,,,,,,-0.0641515622568253
A196-B132,,-0.0650653829290246,,,,,,,,,
A90-B6,,,,,,,,,,-0.0664201713834539,
A196-B11,,-0.0677702658040642,,,,,,,,,
A81-B66,,-0.0700791671512817,,,,,,,,,
A96-B87,,,,,,,,-0.0727350805208001,,,
A81-B27,-0.0758441475028651,,,,,,,,,,
A90-B171,,,,-0.0774470978609314,,,,,,,
A63-B117,,,,,,,,,,,-0.0774604403546422
A196-B59,-0.0774969268043673,,,,,,,,,,
A63-B171,,,,,,-0.077836275076032,,,,,
A20-B6,,,,,,,,,-0.078307762428728,,
A81-B140,,,,,,-0.0787893218754656,,,,,
A81-B87,,,,,,,,,-0.0794420079484939,,
A186-B3,,,,,,,,,,-0.0801370175136748,
A196-B70,,,,,,,,,,,-0.0830986874336316
A196-B84,,,,,,,,,-0.0844886984086268,,
A78-B151,-0.0867994946530444,,,,,,,,,,
A78-B59,,,,,-0.0902313349734323,,,,,,
A143-B123,,-0.0922873905996293,,,,,,,,,
A20-B84,,,,,,,,,-0.094143652264572,,
A196-B103,,,,,,,,,,,-0.0955119008464873
A196-B85,,,,,,,,,,,-0.0956291183064926
A152-B47,,,,,,,,,-0.0997394125643506,,
A90-B120,,,,,-0.1003793319329516,,,,,,
A186-B84,,,,,,,,,-0.1008149359466086,,
A96-B75,,,,,,,,,,,-0.1028994217478245
A90-B151,-0.1046636810734199,,,,,,,,,,
A96-B140,,-0.1102303003106856,,,,,,,,,
A143-B13,,,,,,,,,-0.1124940921888792,,
A186-B2,,,,,,-0.1136591206783661,,,,,
A78-B101,,,,,,,,,-0.1136912224844482,,
A152-B32,,,,,,,,,,,-0.1145221594517712
A81-B101,,,,,,,,-0.1157499629377981,,,
A78-B84,,-0.1160475543080411,,,,,,,,,
A20-B126,,,,,,,,,-0.1236595014059467,,
A16-B51,,,,,,,,,,,-0.1271193260549424
A90-B47,,,,,,,-0.127194594733485,,,,
A196-B152,,,,,,,,,,-0.1281612462987529,
A63-B75,,,,,,,,,,-0.1281612462987529,
A196-B9,,,,,,,,,,,-0.1304440630607166
A81-B40,,-0.1392903295245549,,,,,,,,,
A186-B147,,,,,,,,,,-0.1413409866451562,
A196-B46,,,,,,,,,-0.1415718347771693,,
A196-B174,,,,,,,,,,,-0.1430507315189727
A196-B98,,,,,,,,,,,-0.1430507315189727
A176-B151,,,,-0.1435417409840635,,,,,,,
A63-B79,,,,,,,,,-0.1477818700125819,,
A81-B127,,-0.1492991346798388,,,,,,,,,
A176-B27,,,,,,-0.1527203678336567,,,,,
A81-B91,,,,,,,,,,-0.1531786298337736,
A81-B171,-0.1535367459962084,,,,,,,,,,
A153-B84,,-0.1694614653047418,,,,,,,,,
A16-B145,,,,,,,,,-0.1725994765244821,,
A81-B61,,,,,,,,-0.1742328206298932,,,
A186-B165,,,,,,,-0.1779158108331578,,,,
A81-B100,,-0.1883405993716252,,,,,,,,,
A196-B150,,,,,,,,,,,-0.1961662113410016
A20-B165,,,,,,-0.2008179992993681,,,,,
A81-B123,,,,,,-0.2689970769279494,,,,,
A81-B75,,,,-0.2786161289742047,,,,,,,
A63-B151,,,,-0.2881325854652414,,,,,,,
