Candidate,concX_largeLib_SpeI.1,concX_largeLib_SpeI.2,concX_largeLib_SpeI.3,concX_largeLib_SpeI.4,concX_largeLib_SpeI.5,concX_largeLib_SpeI_cleanup.1,concX_largeLib_SpeI_cleanup.3,concX_smallLib_PCR_DpnI_cleanup.3,concY_largeLib_PCR_DpnI_cleanup.2,concY_largeLib_PCR_DpnI_cleanup.3,concY_largeLib_PCR_DpnI_cleanup.4
A20-B151,,,0.0079545079265757,-0.0195428056237851,,,,,,,
A16-B154,,,,,,-0.0121329620011141,,,,-0.0014590711592147,
A16-B117,,,,,,,,,0.004527853467789,-0.0184600046520316,
A81-B84,-0.002091949553849,,,-0.0187919665394496,,,,,,,
A78-B77,0.0013278040522712,,,,-0.0233062375021759,,,,,,
A81-B51,,,,,,-0.0858033189973951,,0.059085715447036,,,
A81-B18,-0.0172594273178878,,,,,,,,,,-0.0109609641634654
A83-B50,,,,,,-0.0254746674901421,-0.0036213917516314,,,,
A78-B70,-0.0245213906200675,,,,,,,,,,-0.0047000277543391
A81-B145,,,,,-0.040548449271357,,,,0.0102644355311756,,
A196-B136,,,,,,,,,,-0.0072613948392271,-0.0265886499744004
A78-B30,,,,,-0.0906479744331595,0.0524277467501982,,,,,
A143-B117,,,,,,-0.0102517831173881,,,,-0.0379542529446066,
A196-B79,,,,,,,,,,-0.0116580069476126,-0.0367485862172763
A196-B123,,-0.0463346094739675,,,,,,,,-0.0063071353313001,
A152-B154,,,,,,,,-0.0203440187698207,,,-0.0343374469663136
A96-B79,,,,,,,,,-0.0340041940016426,,-0.0278486287578013
A196-B27,-0.0094959483945886,,,,,,,,,-0.0532070097480297,
A81-B177,,,,-0.0448402823018013,,-0.0237457764810478,,,,,
A196-B52,,,,,,,,,-0.0089915372163654,-0.0660099653598507,
A196-B75,,,,,,,,,,-0.0427845463542382,-0.0373115709727758
A152-B151,,,,,,,,,,-0.0746008211598522,-0.0346846918941292
A78-B171,-0.038789613831093,,,-0.1096438253439502,,,,,,,
A78-B79,,,,,,0.1417141574990757,,,,,
A81-B151,,,,0.0964607227993523,,,,,,,
A81-B2,,,,,,,,,0.0680444175702399,,
A90-B26,,,,,,,,,0.0665582314117677,,
A90-B3,,,,,,,,,0.0641075617626613,,
A81-B8,0.0630073581883827,,,,,,,,,,
A90-B108,,,0.0585328543167741,,,,,,,,
A90-B18,,,,,,,,,,0.0582146970824683,
A83-B42,,,,,0.0499904179291639,,,,,,
A81-B174,,0.0496386492330151,,,,,,,,,
A185-B26,,,,,,,,0.0422239487546073,,,
A63-B6,,,,,,,,,,0.0381783814894122,
A186-B78,0.037038595146242,,,,,,,,,,
A78-B2,,,,0.0340147744790722,,,,,,,
A196-B18,,0.0328827974624365,,,,,,,,,
A83-B138,,,,,,,,,,0.0310499061825324,
A20-B66,,0.0285899413507121,,,,,,,,,
A90-B123,,,,,,,0.020727294844507,,,,
A196-B168,,,,,,,,0.0159997228288502,,,
A81-B47,,,,,,0.0157080104829421,,,,,
A196-B145,,,,0.0136072921472811,,,,,,,
A81-B120,,,,0.0131555719192117,,,,,,,
A90-B70,,,,,,0.011494712091893,,,,,
A20-B95,,,,,,,,0.0093058463618503,,,
A176-B120,,,,,,0.0057241704407185,,,,,
A16-B137,,,,,,,,,,0.0044903787832594,
A78-B159,,,,,,,,,,0.0043553388814921,
A20-B71,,,,,,,,,,0.0031649689847595,
A96-B26,,,,,,,,0.0026006323419572,,,
A63-B40,,,,,,,,0.0025555527262522,,,
A152-B171,,,,,,,,,,,0.0021606551128219
A176-B101,,,,,,,,,,,0.0021606551128219
A153-B137,,,,,,,,0.0001629142506652,,,
A196-B38,,,,,,,,,-0.0015549453852326,,
A186-B117,,,,,,,,,-0.0020194784525791,,
A143-B137,,,,,,,,,-0.0035131703825771,,
A78-B40,,,,,,,,,,-0.0036795732468735,
A81-B26,,,,,,-0.0042219102416552,,,,,
A81-B137,,,,,,,,,,-0.006134205500478,
A20-B70,,,,-0.0073638483755255,,,,,,,
A96-B27,,,,,,,,,,-0.0074457258974108,
A186-B26,,,,,,,,,,-0.0086647446969095,
A16-B140,,,,,,,,,-0.0092373813125402,,
A90-B155,-0.0094563026367782,,,,,,,,,,
A78-B18,,,,,,-0.010188998051475,,,,,
A90-B136,,,,,,-0.010188998051475,,,,,
A90-B59,,,,,,,-0.0108995144410431,,,,
A153-B117,,,,,,,,,,,-0.0109609641634654
A83-B18,,,,,,,,,,,-0.0109609641634654
A21-B6,,,,,,,,,,-0.0140631486164714,
A78-B122,,,,,,-0.0149459502215828,,,,,
A81-B65,,,,-0.0153816310870927,,,,,,,
A196-B51,,,,,,,,,,-0.0154119006598328,
A196-B6,,,,,,,,,,,-0.0155052474964574
A176-B6,,,,,,,,,,,-0.0164345096075967
A196-B11,,-0.0165858493679543,,,,,,,,,
A196-B132,,-0.0171619257767058,,,,,,,,,
A81-B41,,,,,,,-0.0179187710200289,,,,
A81-B66,,-0.0192073232755917,,,,,,,,,
A196-B59,-0.0192967415731321,,,,,,,,,,
A90-B6,,,,,,,,,,-0.0193651320382364,
A96-B87,,,,,,,,-0.0194897685031379,,,
A196-B84,,,,,,,,,-0.0203314368730736,,
A81-B87,,,,,,,,,-0.0208134122176254,,
A63-B117,,,,,,,,,,,-0.0212139337393283
A81-B140,,,,,,-0.0218654790251058,,,,,
A81-B27,-0.0218833260171502,,,,,,,,,,
A186-B3,,,,,,,,,,-0.0220319051729935,
A90-B171,,,,-0.0222402125872525,,,,,,,
A63-B171,,,,,,-0.0224791137170076,,,,,
A20-B6,,,,,,,,,-0.0232465105167774,,
A196-B70,,,,,,,,,,,-0.0240954300479614
A78-B151,-0.0242057475700292,,,,,,,,,,
A78-B59,,,,,-0.0256014306332805,,,,,,
A196-B85,,,,,,,,,,,-0.0256506274573982
A196-B103,,,,,,,,,,,-0.0262649189039662
A20-B84,,,,,,,,,-0.0270587316154439,,
A90-B120,,,,,-0.0271414696533076,,,,,,
A143-B123,,-0.0276390193172621,,,,,,,,,
A152-B47,,,,,,,,,-0.0290534355635389,,
A96-B75,,,,,,,,,,,-0.0290646099332874
A186-B84,,,,,,,,,-0.0302598661563247,,
A90-B151,-0.0303344671571167,,,,,,,,,,
A81-B101,,,,,,,,-0.0308750575686798,,,
A96-B140,,-0.0313059599873116,,,,,,,,,
A186-B2,,,,,,-0.032333962780832,,,,,
A78-B101,,,,,,,,,-0.0325202388178851,,
A20-B126,,,,,,,,,-0.0330423507446391,,
A143-B13,,,,,,,,,-0.0332232916766736,,
A78-B84,,-0.0336675244085941,,,,,,,,,
A152-B32,,,,,,,,,,,-0.0343374469663136
A196-B9,,,,,,,,,,,-0.0343908510467781
A16-B51,,,,,,,,,,,-0.0355590026247419
A90-B47,,,,,,,-0.0360313435300893,,,,
A196-B152,,,,,,,,,,-0.0379542529446066,
A63-B75,,,,,,,,,,-0.0379542529446066,
A196-B174,,,,,,,,,,,-0.0388900941264107
A196-B46,,,,,,,,,-0.0399094909967363,,
A81-B40,,-0.0412107208644462,,,,,,,,,
A186-B147,,,,,,,,,,-0.0413035242283157,
A196-B98,,,,,,,,,,,-0.0417792633652234
A81-B127,,-0.0419668216283309,,,,,,,,,
A176-B151,,,,-0.0421507327945638,,,,,,,
A63-B79,,,,,,,,,-0.0429977230807559,,
A176-B27,,,,,,-0.0442811898382013,,,,,
A81-B91,,,,,,,,,,-0.0448541106064903,
A81-B171,-0.0453140085270539,,,,,,,,,,
A16-B145,,,,,,,,,-0.0481532531393537,,
A81-B61,,,,,,,,-0.04885644875624,,,
A153-B84,,-0.0505157179231152,,,,,,,,,
A186-B165,,,,,,,-0.05284008561869,,,,
A81-B100,,-0.054991444156056,,,,,,,,,
A196-B150,,,,,,,,,,,-0.0555927108717455
A20-B165,,,,,,-0.0599229271580649,,,,,
A81-B123,,,,,,-0.0768782206410137,,,,,
A81-B75,,,,-0.0802032953057712,,,,,,,
A63-B151,,,,-0.0841885800977769,,,,,,,
