Candidate,concX_largeLib_SpeI.1,concX_largeLib_SpeI.2,concX_largeLib_SpeI.3,concX_largeLib_SpeI.4,concX_largeLib_SpeI.5,concX_largeLib_SpeI_cleanup.1,concX_largeLib_SpeI_cleanup.3,concX_smallLib_PCR_DpnI_cleanup.3,concY_largeLib_PCR_DpnI_cleanup.2,concY_largeLib_PCR_DpnI_cleanup.3,concY_largeLib_PCR_DpnI_cleanup.4
A153-B30,-0.0128631870206863,0.0142692278109818,,-0.0104203024181354,-0.0636571530598754,,0.0040605457509175,,,,
A81-B30,,,,0.0430663943451208,-0.0556108883368412,,-0.025908422287374,,,,-0.0109968718950051
A83-B151,,-0.044183115226341,,-0.0268999211549895,-0.0044989971899042,,,-0.012885786915257,,,
A78-B3,,,,0.1158989801776303,,,,0.0079410651270639,,-0.0067689117165549,
A83-B40,,,,-0.0472644154763252,,-0.0497015606889103,,,0.1630522416427002,,
A196-B117,0.0177875429543819,,,,0.0056215355681107,,,,,,0.0249311010711803
A153-B77,,,,,-0.022351189030591,0.0032342672720939,,0.0362444726902558,,,
A78-B117,,,,,,0.009929463485912,0.0179748307885266,,,,-0.0290646099332874
A153-B6,-0.0250943847899963,,,,,,,,,0.0588868825784228,-0.0406041612267457
A78-B137,-0.0485128523692171,-0.0151108220132081,,,,,,,,0.0251059980710479,
A196-B171,0.0102735040074244,,,,,,,,,-0.0138453646619896,-0.0639335629128593
A90-B75,,-0.0460965126610427,,-0.04053839165163,,,-0.0087462676073949,,,,
A196-B15,,-0.0257445130008728,,,,,,,-0.0577739179473195,-0.0175820652737334,
A78-B75,,-0.0564598712841126,,,-0.0287339759701825,,,,-0.0167046375419897,,
A196-B151,,,,0.1907733293767076,,,,,0.0086149020486965,,
A78-B26,,0.076349108026434,,0.0743218806520097,,,,,,,
A81-B6,,,,,,,0.0590213568618474,,,0.0809335407493866,
A176-B30,,,,,,,0.046496979107379,,,,0.0306579663083534
A196-B2,0.0544461873497954,,,,,,,,,0.0064501314158844,
A186-B79,0.0580241150061335,,,,,-0.0170837162949616,,,,,
A81-B117,,,,,,,,,,0.0331290116199745,0.0021606551128219
A196-B119,,,,0.0020520120466695,,,,,0.0295535459297136,,
A83-B84,,0.0101304685128326,,,,,,,,0.0134876401156144,
A83-B101,,,,,,0.0020386333171153,,,,,0.0101050369275183
A143-B84,0.010571821998476,,,,,,-0.0007447024461565,,,,
A196-B87,0.0068950166354187,,,,,,,,,-0.0051781663715682,
A81-B132,0.0131540044302953,,,,,,,,,-0.0160518708468882,
A196-B4,,,,,,,,,,-0.0630642598401013,0.0589946232961486
