lineage,genotype,context,n_points,n_transfers,transfers,has_replicates,estimable,ci_reliable,breakpoint_testable
TFMN1.fba.pgi.2,fba.pgi,TFMN1 double-KO,12,6,"1,5,7,8,20,32",True,True,True,True
TFMN1.fba.pgi.3,fba.pgi,TFMN1 double-KO,10,6,"1,5,8,20,25,32",True,True,True,True
TFMN1.fba.pgi.4,fba.pgi,TFMN1 double-KO,10,6,"1,5,8,20,25,32",True,True,True,True
TFMN1.fba.sohB.1,fba.sohB,TFMN1 double-KO,5,5,"1,5,8,20,32",False,True,True,True
TFMN1.fba.sohB.2,fba.sohB,TFMN1 double-KO,5,1,25,True,False,False,False
TFMN1.fba.sohB.3,fba.sohB,TFMN1 double-KO,5,5,"1,5,8,20,32",False,True,True,True
TFMN1.fba.sohB.4,fba.sohB,TFMN1 double-KO,10,6,"1,5,8,20,25,32",True,True,True,True
TFMN1.fba.tpiA.1,fba.tpiA,TFMN1 double-KO,5,5,"1,5,8,20,32",False,True,True,True
TFMN1.fba.tpiA.3,fba.tpiA,TFMN1 double-KO,5,5,"1,5,8,20,32",False,True,True,True
TFMN1.fba.tpiA.4,fba.tpiA,TFMN1 double-KO,5,5,"1,5,8,20,32",False,True,True,True
TFMN1.pgi.tpiA.1,pgi.tpiA,TFMN1 double-KO,5,5,"1,5,11,20,32",False,True,True,True
TFMN1.pgi.tpiA.2,pgi.tpiA,TFMN1 double-KO,5,5,"1,5,11,20,32",False,True,True,True
TFMN1.pgi.tpiA.3,pgi.tpiA,TFMN1 double-KO,5,5,"1,5,11,20,32",False,True,True,True
TFMN1.sohB.pgi.2,sohB.pgi,TFMN1 double-KO,2,2,"1,5",False,False,False,False
TFMN1.sohB.pgi.5,sohB.pgi,TFMN1 double-KO,2,2,"1,5",False,False,False,False
TFMN1.sohB.tpiA.2,sohB.tpiA,TFMN1 double-KO,5,5,"1,5,11,20,32",False,True,True,True
TFMN1.sohB.tpiA.5,sohB.tpiA,TFMN1 double-KO,5,5,"1,5,11,20,32",False,True,True,True
TFMN1.fba.1,fba,TFMN1 single-KO,5,5,"1,5,11,20,32",False,True,True,True
TFMN1.fba.2,fba,TFMN1 single-KO,10,6,"1,5,11,20,25,32",True,True,True,True
TFMN1.fba.3,fba,TFMN1 single-KO,5,1,25,True,False,False,False
TFMN1.fba.5,fba,TFMN1 single-KO,7,7,"1,5,6,7,11,20,32",False,True,True,True
TFMN1.pgi.1,pgi,TFMN1 single-KO,12,8,"1,5,8,9,10,11,18,32",True,True,True,True
TFMN1.pgi.2,pgi,TFMN1 single-KO,8,4,"1,5,18,32",True,True,True,True
TFMN1.pgi.3,pgi,TFMN1 single-KO,2,2,"1,5",False,False,False,False
TFMN1.sohB.1,sohB,TFMN1 single-KO,5,3,"1,5,6",True,True,False,False
TFMN1.sohB.4,sohB,TFMN1 single-KO,16,8,"1,5,13,14,15,18,25,32",True,True,True,True
TFMN1.sohB.5,sohB,TFMN1 single-KO,13,5,"1,5,18,25,32",True,True,True,True
TFMN1.tpiA.2,tpiA,TFMN1 single-KO,5,5,"1,5,11,20,32",False,True,True,True
TFMN1.tpiA.5,tpiA,TFMN1 single-KO,5,5,"1,5,11,20,32",False,True,True,True
TFMN4.exp1.combo10MUT.1,combo10MUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo10MUT.2,combo10MUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo10MUT.3,combo10MUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo10MUT.4,combo10MUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo10MUT.5,combo10MUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo10WT.1,combo10WT,TFMN4 exp1,2,2,"9,30",False,False,False,False
TFMN4.exp1.combo10WT.2,combo10WT,TFMN4 exp1,2,2,"9,30",False,False,False,False
TFMN4.exp1.combo10WT.3,combo10WT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo10WT.4,combo10WT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo10WT.5,combo10WT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo5aMUT.1,combo5aMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo5aMUT.2,combo5aMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo5aMUT.3,combo5aMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo5aMUT.4,combo5aMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo5aMUT.5,combo5aMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo5aWT.1,combo5aWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo5aWT.2,combo5aWT,TFMN4 exp1,2,2,"9,30",False,False,False,False
TFMN4.exp1.combo5aWT.3,combo5aWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo5aWT.4,combo5aWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo5aWT.5,combo5aWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo5bMUT.1,combo5bMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo5bMUT.2,combo5bMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo5bMUT.3,combo5bMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo5bMUT.4,combo5bMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.combo5bMUT.5,combo5bMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaMUT-tpiAMUT.1,fbaMUT-tpiAMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaMUT-tpiAMUT.2,fbaMUT-tpiAMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaMUT-tpiAMUT.3,fbaMUT-tpiAMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaMUT-tpiAMUT.4,fbaMUT-tpiAMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaMUT-tpiAMUT.5,fbaMUT-tpiAMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaMUT.1,fbaMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaMUT.2,fbaMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaMUT.3,fbaMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaMUT.4,fbaMUT,TFMN4 exp1,2,2,"9,30",False,False,False,False
TFMN4.exp1.fbaMUT.5,fbaMUT,TFMN4 exp1,2,2,"8,30",False,False,False,False
TFMN4.exp1.fbaWT-tpiAWT.1,fbaWT-tpiAWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaWT-tpiAWT.2,fbaWT-tpiAWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaWT-tpiAWT.3,fbaWT-tpiAWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaWT-tpiAWT.4,fbaWT-tpiAWT,TFMN4 exp1,2,2,"9,30",False,False,False,False
TFMN4.exp1.fbaWT-tpiAWT.5,fbaWT-tpiAWT,TFMN4 exp1,2,2,"9,30",False,False,False,False
TFMN4.exp1.fbaWT.1,fbaWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaWT.2,fbaWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaWT.3,fbaWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaWT.4,fbaWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.fbaWT.5,fbaWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.tpiAMUT.1,tpiAMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.tpiAMUT.2,tpiAMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.tpiAMUT.3,tpiAMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.tpiAMUT.4,tpiAMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.tpiAMUT.5,tpiAMUT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.tpiAWT.1,tpiAWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.tpiAWT.2,tpiAWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.tpiAWT.3,tpiAWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.tpiAWT.4,tpiAWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN4.exp1.tpiAWT.5,tpiAWT,TFMN4 exp1,3,3,"8,9,30",False,True,False,False
TFMN1.noDNA.2,noDNA,control (noDNA),13,7,"1,5,10,11,12,20,32",True,True,True,True
TFMN1.noDNA.5,noDNA,control (noDNA),2,2,"1,5",False,False,False,False
TFMN4.exp1.noDNA.1,noDNA,control (noDNA),2,2,"9,30",False,False,False,False
TFMN4.exp1.noDNA.2,noDNA,control (noDNA),2,2,"9,30",False,False,False,False
TFMN4.exp1.noDNA.3,noDNA,control (noDNA),2,2,"9,30",False,False,False,False
TFMN4.exp1.noDNA.4,noDNA,control (noDNA),2,2,"9,30",False,False,False,False
TFMN4.exp1.noDNA.5,noDNA,control (noDNA),2,2,"9,30",False,False,False,False
