allele,marginal_s_per_cycle,se,n_pairs,n_samples,sweep_wins,drift_null_p,null_lo,null_hi,exceeds_drift_null,robust_selection
A93,0.23096406810548614,0.058507752867562046,2,3,0,0.0,-0.1405833035195135,0.12307661225882138,True,False
A138,0.2031094859417591,0.0912917159775577,1,2,0,0.006666666666666667,-0.1525691653357638,0.13243268386036983,True,False
A65,0.2018176679838576,0.0623614996401341,1,3,0,0.006666666666666667,-0.1633060616246779,0.17403815597066932,True,False
A101,0.2018176679838576,0.0623614996401341,1,1,0,0.016666666666666666,-0.17284847990261595,0.17147675981573582,True,False
A152,0.15037589173829993,0.0012917210714385337,7,3,0,0.0,-0.08243716811598747,0.05733490695483567,True,True
A132,0.0324145153690227,0.1307125004695568,1,2,0,0.7033333333333334,-0.17359010541319797,0.173269591622975,False,False
A162,0.0244184818681738,0.0232471004050024,1,2,0,0.76,-0.1902087682427544,0.1751961882149846,False,False
A186,0.0006770205167294627,0.006535572129412119,6,3,0,0.9866666666666667,-0.12384776665177452,0.08822887635654901,False,False
A143,-0.0015275741324301604,0.029330653839309974,4,3,0,0.9733333333333334,-0.12221631310599473,0.08357408083719188,False,False
A83,-0.012757805245529504,0.020864223232178566,4,3,0,0.9133333333333333,-0.16046758692018598,0.08241235974853706,False,False
A176,-0.019077455042687617,0.008769413986684363,6,3,0,0.8133333333333334,-0.2061311306875257,0.13191935971031787,False,False
A153,-0.019859226460752666,0.006253403240754935,8,3,0,0.75,-0.14568770368892509,0.10992001714208692,False,False
A96,-0.021603616716852264,0.009227476290363664,11,3,0,0.7433333333333333,-0.15869831771511167,0.1326270835793025,False,False
A20,-0.030405551622914338,0.006235609073334233,18,3,0,0.4633333333333333,-0.11302193800701028,0.06567976268350226,False,False
A78,-0.04797169343923647,0.004338668918935745,30,3,0,0.0,-0.024686132095529712,0.01804940880202352,True,True
A63,-0.06293826227543883,0.014017647881030687,10,3,0,0.20666666666666667,-0.11257385579956519,0.05930777682724545,False,False
A90,-0.08402374186709259,0.006581743480051298,31,3,0,0.013333333333333334,-0.07373654297427523,0.058050017949685014,True,True
A196,-0.13856416909110464,0.006199064703088499,42,3,0,0.02,-0.08813690241691208,0.12694232647584097,True,True
A159,-0.16653203620425566,0.0013953145232887766,6,2,0,0.0,-0.09250371338050102,0.07051543802783829,True,False
A81,-0.32248133006277363,0.001777365713256011,42,3,3,0.0,-0.030087814155286118,0.032178358218294546,True,True
