Candidate,verA,verB,n_samples,has_slope_info,r_global_per_h,se_laplace,rel_advantage_per_h,doubling_h,ci_boot_lo,ci_boot_hi,se_boot,loso_heterogeneity_sd,sens_to_OD_weight,identifiability
A196-B86,A196,B86,1,False,0.8566,0.0879,0.0224,0.81,0.7454,0.9325,0.0582,0.0132,0.004,data-pinned
A196-B91,A196,B91,2,True,0.8489,0.0813,0.0147,0.82,0.7613,0.9089,0.0404,0.0032,0.0031,data-pinned
A91-B7,A91,B7,1,False,0.8458,0.0893,0.0117,0.82,0.7843,0.918,0.043,0.0051,0.0142,data-pinned
A195-B151,A195,B151,1,False,0.8458,0.0893,0.0117,0.82,0.78,0.8931,0.036,0.0051,0.0142,data-pinned
A102-B120,A102,B120,1,False,0.8458,0.0893,0.0117,0.82,0.777,0.901,0.0422,0.0051,0.0142,data-pinned
A153-B6,A153,B6,3,True,0.8433,0.0218,0.0091,0.82,0.8205,0.8774,0.0152,0.0182,0.0085,data-pinned
A196-B75,A196,B75,2,True,0.842,0.0803,0.0079,0.82,0.785,0.8982,0.0296,0.0054,0.0042,data-pinned
A193-B27,A193,B27,2,False,0.8416,0.0859,0.0075,0.82,0.7344,0.9053,0.0474,0.0017,0.0058,data-pinned
A4-B171,A4,B171,2,False,0.8416,0.0859,0.0075,0.82,0.7322,0.8957,0.0498,0.0017,0.0058,data-pinned
A196-B15,A196,B15,3,True,0.8415,0.0229,0.0074,0.82,0.8268,0.8712,0.0124,0.0078,0.0042,data-pinned
A193-B123,A193,B123,1,False,0.8386,0.0924,0.0045,0.83,0.7746,0.9109,0.0442,0.0023,0.0037,data-pinned
A152-B94,A152,B94,1,False,0.8386,0.0924,0.0045,0.83,0.774,0.9117,0.0435,0.0023,0.0037,data-pinned
A193-B117,A193,B117,1,False,0.8386,0.0924,0.0045,0.83,0.7701,0.9141,0.0496,0.0023,0.0037,data-pinned
A148-B30,A148,B30,1,False,0.8386,0.0924,0.0045,0.83,0.7694,0.9174,0.0489,0.0023,0.0037,data-pinned
A31-B151,A31,B151,1,False,0.8386,0.0924,0.0045,0.83,0.7718,0.9131,0.0454,0.0023,0.0037,data-pinned
A4-B2,A4,B2,1,False,0.8386,0.0924,0.0045,0.83,0.7729,0.892,0.0393,0.0023,0.0037,data-pinned
A5-B87,A5,B87,1,False,0.8386,0.0924,0.0045,0.83,0.7725,0.9485,0.0477,0.0023,0.0037,data-pinned
A78-B109,A78,B109,1,False,0.8386,0.0924,0.0045,0.83,0.7739,0.9073,0.0436,0.0023,0.0037,data-pinned
A84-B75,A84,B75,1,False,0.8386,0.0924,0.0045,0.83,0.7752,0.8969,0.0431,0.0023,0.0037,data-pinned
A86-B151,A86,B151,1,False,0.8386,0.0924,0.0045,0.83,0.7716,0.9138,0.0454,0.0023,0.0037,data-pinned
A68-B59,A68,B59,1,False,0.8386,0.0924,0.0045,0.83,0.7729,0.9296,0.0483,0.0023,0.0037,data-pinned
A196-B40,A196,B40,1,False,0.8386,0.0924,0.0045,0.83,0.7729,0.9111,0.0454,0.0023,0.0037,data-pinned
A20-B101,A20,B101,1,False,0.8386,0.0924,0.0045,0.83,0.7701,0.9307,0.0483,0.0023,0.0037,data-pinned
A196-B55,A196,B55,1,False,0.8386,0.0924,0.0045,0.83,0.7714,0.906,0.0468,0.0023,0.0037,data-pinned
A90-B117,A90,B117,1,False,0.8386,0.0924,0.0045,0.83,0.7707,0.9017,0.0449,0.0023,0.0037,data-pinned
A90-B26,A90,B26,1,False,0.8386,0.0924,0.0045,0.83,0.7707,0.9071,0.0461,0.0023,0.0037,data-pinned
A195-B2,A195,B2,1,False,0.8383,0.0921,0.0042,0.83,0.7709,0.915,0.0444,0.0032,0.0037,data-pinned
A196-B146,A196,B146,1,False,0.8383,0.0921,0.0042,0.83,0.7701,0.9149,0.0451,0.0032,0.0037,data-pinned
A132-B59,A132,B59,1,False,0.8383,0.0921,0.0042,0.83,0.7716,0.9155,0.0461,0.0032,0.0037,data-pinned
A196-B151,A196,B151,1,False,0.8383,0.0921,0.0042,0.83,0.7756,0.9091,0.0416,0.0032,0.0037,data-pinned
A152-B163,A152,B163,1,False,0.8383,0.0921,0.0042,0.83,0.7701,0.9093,0.0438,0.0032,0.0037,data-pinned
A176-B138,A176,B138,1,False,0.8383,0.0921,0.0042,0.83,0.7736,0.9231,0.0481,0.0032,0.0037,data-pinned
A133-B84,A133,B84,1,False,0.8383,0.0921,0.0042,0.83,0.7719,0.8981,0.0413,0.0032,0.0037,data-pinned
A81-B47,A81,B47,1,False,0.8383,0.0921,0.0042,0.83,0.775,0.8865,0.039,0.0032,0.0037,data-pinned
A81-B57,A81,B57,1,False,0.8383,0.0921,0.0042,0.83,0.774,0.9201,0.0468,0.0032,0.0037,data-pinned
A93-B27,A93,B27,1,False,0.8383,0.0921,0.0042,0.83,0.7721,0.9239,0.0452,0.0032,0.0037,data-pinned
A44-B79,A44,B79,1,False,0.8383,0.0921,0.0042,0.83,0.774,0.911,0.0438,0.0032,0.0037,data-pinned
A27-B47,A27,B47,1,False,0.8383,0.0921,0.0042,0.83,0.7703,0.9091,0.0439,0.0032,0.0037,data-pinned
A78-B97,A78,B97,1,False,0.8383,0.0921,0.0042,0.83,0.7731,0.9211,0.0457,0.0032,0.0037,data-pinned
A78-B39,A78,B39,1,False,0.8383,0.0921,0.0042,0.83,0.7719,0.9224,0.0495,0.0032,0.0037,data-pinned
A78-B159,A78,B159,1,False,0.8383,0.0921,0.0042,0.83,0.7742,0.9142,0.0445,0.0032,0.0037,data-pinned
A78-B57,A78,B57,1,False,0.8383,0.0921,0.0042,0.83,0.7719,0.9119,0.0444,0.0032,0.0037,data-pinned
A4-B87,A4,B87,1,False,0.8383,0.0921,0.0042,0.83,0.771,0.9105,0.0441,0.0032,0.0037,data-pinned
A63-B119,A63,B119,1,False,0.8383,0.0921,0.0042,0.83,0.7769,0.9169,0.044,0.0032,0.0037,data-pinned
A189-B174,A189,B174,1,False,0.8383,0.0921,0.0042,0.83,0.7709,0.9187,0.0432,0.0032,0.0037,data-pinned
A196-B118,A196,B118,1,False,0.8383,0.0921,0.0042,0.83,0.7731,0.9113,0.0449,0.0032,0.0037,data-pinned
A156-B30,A156,B30,1,False,0.8383,0.0921,0.0042,0.83,0.7703,0.8986,0.044,0.0032,0.0037,data-pinned
A140-B70,A140,B70,1,False,0.8383,0.0921,0.0042,0.83,0.7742,0.9135,0.0472,0.0032,0.0037,data-pinned
A126-B137,A126,B137,1,False,0.8383,0.0921,0.0042,0.83,0.7765,0.912,0.0444,0.0032,0.0037,data-pinned
A132-B84,A132,B84,1,False,0.8383,0.0921,0.0042,0.83,0.7752,0.909,0.0436,0.0032,0.0037,data-pinned
A176-B120,A176,B120,2,True,0.8376,0.0762,0.0035,0.83,0.7783,0.8877,0.0286,0.003,0.0029,data-pinned
A196-B23,A196,B23,1,True,0.8363,0.0855,0.0021,0.83,0.77,0.8972,0.0335,0.0026,0.0029,data-pinned
A186-B18,A186,B18,2,False,0.8346,0.0846,0.0004,0.83,0.7173,0.8875,0.0388,0.0109,0.0064,data-pinned
A78-B84,A78,B84,3,True,0.8343,0.0183,0.0001,0.83,0.8202,0.8664,0.0125,0.0051,0.0041,data-pinned
A196-B171,A196,B171,3,True,0.8337,0.0191,-0.0004,0.83,0.8005,0.864,0.0161,0.0122,0.0034,data-pinned
A90-B84,A90,B84,2,True,0.8329,0.0736,-0.0013,0.83,0.7946,0.876,0.0217,0.0013,0.0066,data-pinned
A78-B155,A78,B155,1,True,0.8306,0.0906,-0.0035,0.83,0.7295,0.9001,0.0462,0.0022,0.0075,data-pinned
A196-B83,A196,B83,1,True,0.8306,0.0906,-0.0035,0.83,0.7411,0.9177,0.0462,0.0022,0.0075,data-pinned
A20-B117,A20,B117,1,True,0.8302,0.0902,-0.0039,0.83,0.7427,0.9108,0.0477,0.0023,0.0069,data-pinned
A90-B120,A90,B120,3,True,0.8274,0.0273,-0.0067,0.84,0.7896,0.8751,0.0233,0.0207,0.0075,data-pinned
A153-B30,A153,B30,3,True,0.8263,0.0218,-0.0079,0.84,0.8037,0.8578,0.0134,0.0098,0.0116,data-pinned
A90-B18,A90,B18,2,True,0.8253,0.0735,-0.0088,0.84,0.78,0.8675,0.0231,0.0018,0.0058,data-pinned
A81-B40,A81,B40,2,True,0.8252,0.0381,-0.0089,0.84,0.8021,0.8512,0.0128,0.0089,0.0028,data-pinned
A176-B119,A176,B119,2,True,0.8249,0.0796,-0.0092,0.84,0.7599,0.8797,0.0332,0.0126,0.0061,data-pinned
A153-B105,A153,B105,3,True,0.8202,0.0764,-0.0139,0.85,0.7656,0.8657,0.0295,0.0056,0.011,data-pinned
A20-B60,A20,B60,2,True,0.82,0.0827,-0.0142,0.85,0.7837,0.892,0.0283,0.0036,0.0072,data-pinned
A159-B49,A159,B49,2,True,0.8197,0.0647,-0.0145,0.85,0.7929,0.8544,0.016,0.0204,0.0093,data-pinned
A81-B140,A81,B140,3,True,0.8185,0.0381,-0.0156,0.85,0.7813,0.8632,0.022,0.0347,0.0262,mixed
A81-B84,A81,B84,3,True,0.8182,0.029,-0.016,0.85,0.7943,0.8421,0.0137,0.0216,0.0214,mixed
A4-B59,A4,B59,2,False,0.8167,0.0874,-0.0174,0.85,0.7255,0.8768,0.0439,0.0074,0.0079,data-pinned
A78-B102,A78,B102,2,False,0.8167,0.0874,-0.0174,0.85,0.7306,0.8923,0.0395,0.0074,0.0079,data-pinned
