Candidate,verA,verB,n_samples,has_slope_info,r_global_per_h,se_laplace,rel_advantage_per_h,doubling_h,ci_boot_lo,ci_boot_hi,se_boot,loso_heterogeneity_sd,sens_to_OD_weight,identifiability
A63-B117,A63,B117,2,True,0.8026,0.0853,-0.0316,0.86,0.7375,0.8698,0.0351,0.0029,0.007,data-pinned
A186-B30,A186,B30,3,True,0.7992,0.0732,-0.0349,0.87,0.7623,0.855,0.0241,0.0009,0.018,data-pinned
A159-B24,A159,B24,2,True,0.7986,0.0706,-0.0356,0.87,0.7708,0.8411,0.0186,0.011,0.0138,data-pinned
A153-B75,A153,B75,3,True,0.798,0.0785,-0.0362,0.87,0.7519,0.8502,0.0293,0.0035,0.0141,data-pinned
A96-B47,A96,B47,2,True,0.7968,0.0842,-0.0373,0.87,0.7593,0.8547,0.0277,0.013,0.0084,data-pinned
A90-B165,A90,B165,2,True,0.7968,0.0842,-0.0373,0.87,0.7619,0.8501,0.0265,0.013,0.0084,data-pinned
A78-B26,A78,B26,3,True,0.7966,0.049,-0.0376,0.87,0.7714,0.8262,0.016,0.0043,0.0251,mixed
A176-B101,A176,B101,2,True,0.7949,0.081,-0.0392,0.87,0.7468,0.8506,0.0287,0.0143,0.0057,data-pinned
A28-B70,A28,B70,1,False,0.7944,0.0906,-0.0397,0.87,0.7131,0.8477,0.0349,0.0176,0.0065,data-pinned
A159-B77,A159,B77,2,True,0.7944,0.0625,-0.0397,0.87,0.7616,0.8315,0.0186,0.0062,0.0177,data-pinned
A20-B126,A20,B126,3,True,0.794,0.0691,-0.0402,0.87,0.7554,0.8311,0.0212,0.0068,0.0163,data-pinned
A83-B137,A83,B137,2,True,0.7934,0.0781,-0.0408,0.87,0.7497,0.8439,0.0265,0.0105,0.0104,data-pinned
A152-B38,A152,B38,2,False,0.7911,0.0884,-0.043,0.88,0.7112,0.8676,0.0443,0.0085,0.0089,data-pinned
A162-B137,A162,B137,2,True,0.7897,0.0835,-0.0444,0.88,0.7433,0.8364,0.0271,0.0038,0.009,data-pinned
A4-B15,A4,B15,2,False,0.7854,0.0872,-0.0487,0.88,0.7157,0.8528,0.0347,0.0101,0.0071,data-pinned
A90-B174,A90,B174,2,False,0.7854,0.0872,-0.0487,0.88,0.6989,0.8478,0.0366,0.0091,0.007,data-pinned
A152-B151,A152,B151,3,True,0.7786,0.0427,-0.0556,0.89,0.7591,0.8112,0.013,0.0065,0.0363,mixed
A20-B178,A20,B178,3,True,0.7776,0.067,-0.0566,0.89,0.7402,0.8123,0.0197,0.02,0.0184,data-pinned
A90-B47,A90,B47,3,True,0.7751,0.0642,-0.0591,0.89,0.7474,0.8108,0.0172,0.0045,0.027,mixed
A196-B123,A196,B123,3,True,0.7711,0.033,-0.063,0.9,0.7439,0.8333,0.0247,0.0171,0.0552,anchor/prior-driven
A20-B11,A20,B11,3,True,0.7688,0.0606,-0.0653,0.9,0.7429,0.8043,0.0171,0.0102,0.0276,mixed
A176-B65,A176,B65,2,False,0.7608,0.0847,-0.0734,0.91,0.7128,0.8116,0.0275,0.0089,0.0106,data-pinned
A176-B132,A176,B132,3,True,0.76,0.074,-0.0741,0.91,0.7279,0.8027,0.0209,0.0045,0.0145,data-pinned
A143-B145,A143,B145,2,True,0.7557,0.0765,-0.0784,0.92,0.7164,0.7854,0.02,0.0111,0.0133,data-pinned
A20-B8,A20,B8,3,True,0.7542,0.0772,-0.0799,0.92,0.7171,0.812,0.0252,0.0042,0.0195,data-pinned
A90-B154,A90,B154,2,True,0.7542,0.0637,-0.08,0.92,0.7331,0.7849,0.0143,0.0065,0.0231,mixed
A90-B151,A90,B151,3,True,0.7542,0.038,-0.08,0.92,0.7284,0.7813,0.0149,0.0155,0.0633,anchor/prior-driven
A20-B30,A20,B30,3,True,0.7396,0.0491,-0.0945,0.94,0.7163,0.7761,0.0132,0.0093,0.0437,mixed
A81-B4,A81,B4,3,True,0.7393,0.0727,-0.0948,0.94,0.7182,0.7902,0.0181,0.0058,0.0207,mixed
A81-B51,A81,B51,3,True,0.7363,0.0463,-0.0978,0.94,0.708,0.7721,0.0158,0.0175,0.0575,anchor/prior-driven
A63-B75,A63,B75,3,True,0.7348,0.0745,-0.0994,0.94,0.6939,0.7928,0.0227,0.0069,0.0165,data-pinned
A20-B75,A20,B75,2,False,0.7333,0.0818,-0.1009,0.95,0.6786,0.7739,0.0235,0.0115,0.013,data-pinned
A78-B70,A78,B70,3,True,0.7312,0.0583,-0.1029,0.95,0.7119,0.7826,0.017,0.0097,0.0314,mixed
A176-B26,A176,B26,2,False,0.7281,0.0811,-0.106,0.95,0.6747,0.7784,0.0244,0.0123,0.0142,data-pinned
A81-B12,A81,B12,3,True,0.7221,0.0519,-0.1121,0.96,0.6989,0.7561,0.0141,0.0128,0.0429,mixed
A78-B103,A78,B103,2,True,0.7158,0.0709,-0.1183,0.97,0.6906,0.7492,0.0162,0.0114,0.0221,mixed
A90-B119,A90,B119,3,True,0.7131,0.0563,-0.1211,0.97,0.6859,0.7506,0.0164,0.0122,0.0424,mixed
A81-B65,A81,B65,3,True,0.7105,0.0588,-0.1236,0.98,0.6697,0.7477,0.0179,0.0173,0.0442,mixed
A152-B110,A152,B110,3,True,0.7059,0.0628,-0.1283,0.98,0.687,0.7438,0.0129,0.0144,0.0299,mixed
A81-B75,A81,B75,3,True,0.6992,0.0308,-0.135,0.99,0.6857,0.7312,0.013,0.0114,0.0994,anchor/prior-driven
A90-B59,A90,B59,3,True,0.6975,0.0499,-0.1367,0.99,0.6725,0.7309,0.0162,0.0145,0.0536,anchor/prior-driven
A81-B18,A81,B18,3,True,0.6936,0.0403,-0.1406,1.0,0.6601,0.7292,0.0164,0.0304,0.0909,anchor/prior-driven
A90-B159,A90,B159,3,True,0.6907,0.0564,-0.1434,1.0,0.663,0.7171,0.0153,0.0113,0.0406,mixed
A63-B79,A63,B79,3,True,0.6874,0.0701,-0.1468,1.01,0.6668,0.7297,0.0157,0.0113,0.0226,mixed
A81-B42,A81,B42,3,True,0.6842,0.0591,-0.15,1.01,0.6658,0.7138,0.0141,0.0122,0.0401,mixed
A63-B151,A63,B151,3,True,0.663,0.035,-0.1711,1.05,0.6433,0.6989,0.0149,0.0226,0.0911,anchor/prior-driven
A81-B27,A81,B27,3,True,0.6424,0.031,-0.1918,1.08,0.6156,0.6815,0.0162,0.017,0.1348,anchor/prior-driven
A90-B145,A90,B145,3,True,0.6316,0.0384,-0.2025,1.1,0.6181,0.6687,0.0133,0.0254,0.0943,anchor/prior-driven
A81-B171,A81,B171,3,True,0.629,0.048,-0.2051,1.1,0.6039,0.6725,0.0183,0.0223,0.0783,anchor/prior-driven
A90-B155,A90,B155,3,True,0.625,0.04,-0.2092,1.11,0.6045,0.6613,0.0163,0.0114,0.0933,anchor/prior-driven
A78-B171,A78,B171,3,True,0.5992,0.0501,-0.235,1.16,0.5737,0.6348,0.0168,0.035,0.0771,anchor/prior-driven
