Candidate,verA,verB,n_samples,bridged,beta_per_cycle,beta_se,beta_per_generation,allele_pred_per_cycle,beta_pooled_per_cycle,shrinkage_lambda
A196-B8,A196,B8,3,True,-0.0988,0.1527,-0.0297,0.4197,0.4166,0.006
A20-B8,A20,B8,1,False,0.0521,0.0844,0.0157,0.3687,0.3626,0.019
A93-B8,A93,B8,2,True,0.292,0.0689,0.0877,0.2926,0.2926,0.028
A186-B79,A186,B79,3,True,0.322,0.0318,0.0968,0.2736,0.2794,0.121
A81-B8,A81,B8,3,True,0.3714,0.0401,0.1116,0.2633,0.2719,0.08
A101-B8,A101,B8,1,False,0.2628,0.0735,0.079,0.2636,0.2636,0.025
A65-B8,A65,B8,1,False,0.2628,0.0735,0.079,0.2636,0.2636,0.025
A78-B141,A78,B141,1,False,0.264,0.1076,0.0793,0.2631,0.2631,0.012
A138-B79,A138,B79,1,False,0.264,0.1076,0.0793,0.2618,0.2618,0.012
A152-B100,A152,B100,2,True,0.2135,0.0015,0.0642,0.2135,0.2135,0.983
A78-B84,A78,B84,3,True,-0.0205,0.2421,-0.0061,0.1969,0.1964,0.002
A176-B132,A176,B132,2,True,-0.0238,0.1016,-0.0072,0.1881,0.1853,0.013
A186-B30,A186,B30,1,False,-0.0006,0.0636,-0.0002,0.1916,0.1852,0.033
A196-B117,A196,B117,3,True,-0.0247,0.3539,-0.0074,0.1669,0.1667,0.001
A143-B84,A143,B84,3,True,0.1056,0.0575,0.0317,0.1368,0.1355,0.04
A196-B83,A196,B83,1,False,0.124,0.0522,0.0373,0.1237,0.1237,0.048
A96-B127,A96,B127,1,False,0.124,0.0522,0.0373,0.1236,0.1236,0.048
A90-B165,A90,B165,1,False,0.124,0.0522,0.0373,0.1236,0.1236,0.048
A196-B15,A196,B15,3,True,-0.3088,0.0639,-0.0928,0.1335,0.119,0.033
A20-B117,A20,B117,1,False,0.1175,0.0507,0.0353,0.1159,0.116,0.051
A78-B155,A78,B155,1,False,0.124,0.0522,0.0373,0.0976,0.0989,0.048
A196-B91,A196,B91,1,False,0.0999,0.1557,0.03,0.0974,0.0974,0.006
A132-B87,A132,B87,1,False,0.0935,0.154,0.0281,0.0942,0.0942,0.006
A196-B87,A196,B87,3,True,-0.053,0.2036,-0.0159,0.0942,0.0937,0.003
A20-B60,A20,B60,2,True,0.0926,0.0241,0.0278,0.0925,0.0925,0.192
A176-B101,A176,B101,1,False,0.0935,0.154,0.0281,0.0924,0.0924,0.006
A162-B137,A162,B137,1,False,0.0854,0.0274,0.0256,0.0853,0.0853,0.157
A63-B117,A63,B117,1,False,0.0854,0.0274,0.0256,0.0846,0.0847,0.157
A196-B23,A196,B23,1,False,0.0686,0.0736,0.0206,0.0682,0.0682,0.025
A153-B30,A153,B30,3,True,-0.136,0.1414,-0.0409,0.0552,0.0539,0.007
A78-B77,A78,B77,3,True,0.0529,0.0717,0.0159,0.0534,0.0534,0.026
A96-B87,A96,B87,2,True,0.0458,0.0123,0.0138,0.0452,0.0455,0.48
A186-B143,A186,B143,2,True,0.0449,0.008,0.0135,0.0449,0.0449,0.684
A90-B18,A90,B18,2,True,0.046,0.0119,0.0138,0.0433,0.0446,0.495
A78-B137,A78,B137,3,True,-0.0035,0.3135,-0.001,0.0445,0.0445,0.001
