level,allele,n_variants,n_testable,n_accelerating,frac_of_testable_accelerating,mean_acceleration,mean_r_init_adopted,mean_r_final_adopted,modal_breakpoint
verA,A101,1,0,0,,,,,
verA,A132,1,0,0,,,,,
verA,A138,1,0,0,,,,,
verA,A143,4,0,0,,,,,
verA,A152,7,0,0,,,,,
verA,A153,8,0,0,,,,,
verA,A159,6,0,0,,,,,
verA,A162,1,0,0,,,,,
verA,A176,6,0,0,,,,,
verA,A186,6,0,0,,,,,
verA,A196,42,0,0,,,,,
verA,A20,18,0,0,,,,,
verA,A63,10,0,0,,,,,
verA,A65,1,0,0,,,,,
verA,A78,30,0,0,,,,,
verA,A81,42,0,0,,,,,
verA,A83,4,0,0,,,,,
verA,A90,31,0,0,,,,,
verA,A93,2,0,0,,,,,
verA,A96,11,0,0,,,,,
verB,B100,2,0,0,,,,,
verB,B101,1,0,0,,,,,
verB,B103,2,0,0,,,,,
verB,B105,1,0,0,,,,,
verB,B11,3,0,0,,,,,
verB,B110,2,0,0,,,,,
verB,B117,5,0,0,,,,,
verB,B119,4,0,0,,,,,
verB,B12,2,0,0,,,,,
verB,B120,5,0,0,,,,,
verB,B122,2,0,0,,,,,
verB,B123,3,0,0,,,,,
verB,B126,3,0,0,,,,,
verB,B127,1,0,0,,,,,
verB,B130,1,0,0,,,,,
verB,B132,5,0,0,,,,,
verB,B137,5,0,0,,,,,
verB,B140,5,0,0,,,,,
verB,B141,1,0,0,,,,,
verB,B142,2,0,0,,,,,
verB,B143,2,0,0,,,,,
verB,B145,4,0,0,,,,,
verB,B147,2,0,0,,,,,
verB,B15,5,0,0,,,,,
verB,B150,6,0,0,,,,,
verB,B151,12,0,0,,,,,
verB,B154,2,0,0,,,,,
verB,B155,4,0,0,,,,,
verB,B159,3,0,0,,,,,
verB,B165,1,0,0,,,,,
verB,B171,8,0,0,,,,,
verB,B178,2,0,0,,,,,
verB,B18,5,0,0,,,,,
verB,B2,3,0,0,,,,,
verB,B23,1,0,0,,,,,
verB,B24,2,0,0,,,,,
verB,B26,3,0,0,,,,,
verB,B27,6,0,0,,,,,
verB,B3,2,0,0,,,,,
verB,B30,10,0,0,,,,,
verB,B4,2,0,0,,,,,
verB,B40,2,0,0,,,,,
verB,B42,3,0,0,,,,,
verB,B47,4,0,0,,,,,
verB,B49,2,0,0,,,,,
verB,B50,3,0,0,,,,,
verB,B51,3,0,0,,,,,
verB,B59,6,0,0,,,,,
verB,B6,5,0,0,,,,,
verB,B60,2,0,0,,,,,
verB,B65,3,0,0,,,,,
verB,B70,2,0,0,,,,,
verB,B75,10,0,0,,,,,
verB,B77,5,0,0,,,,,
verB,B79,9,0,0,,,,,
verB,B8,11,0,0,,,,,
verB,B83,1,0,0,,,,,
verB,B84,14,0,0,,,,,
verB,B87,6,0,0,,,,,
verB,B91,1,0,0,,,,,
