Sample,DNA_construct,Replicate,Candidate,verA,verB,n_obs_timepoints,total_reads,max_count,transfers_observed,freq_T3,freq_T13,s_per_cycle,se_per_cycle,r2_per_cycle,s_per_generation,se_per_generation,s_per_hour_measured,s_per_hour_nominal,monotonic,quality,estimable,sweep_winner
B4_p_bcfr,pyruvate,bcfr,A196-B59,A196,B59,2,410,247,"3,4",0.04125537838521893,0.0,0.4034354552015429,0.5862006925448903,0.3214117786803099,0.119471547354627,0.1450010222033549,0.015281646030361473,0.04034354552015429,True,fair,True,False
B4_p_bcfr,pyruvate,bcfr,A78-B137,A78,B137,2,260,163,"3,4",0.02455074664641863,0.0,0.344216138522859,0.6537622230543707,0.2170488462214094,0.10888991118069388,0.16658461155767032,0.01303849009556284,0.0344216138522859,True,fair,True,False
B4_p_bcfr,pyruvate,bcfr,A81-B8,A81,B8,3,4031,2983,"3,4,13",0.06276891926094659,0.8464812712826334,0.3424774872779115,0.06467152169625257,0.9655693230023846,0.10479250267367594,0.01851921969244621,0.012972632093860285,0.03424774872779115,True,good,True,True
B4_p_bcfr,pyruvate,bcfr,A89-B121,A89,B121,1,2,2,13,0.0,0.0005675368898978433,0.3420947025844083,0.0024342134676646654,0.999949370616982,0.10379829025644279,0.0006278969643298291,0.01295813267365183,0.03420947025844083,False,none,False,False
B4_p_bcfr,pyruvate,bcfr,A113-B8,A113,B8,1,1,1,13,0.0,0.00028376844494892167,0.28859943570562857,0.006290791614075702,0.9995250877823523,0.08756948725167987,0.000651824488204452,0.010931796807031385,0.028859943570562856,False,none,False,False
B4_p_bcfr,pyruvate,bcfr,A186-B99,A186,B99,1,1,1,13,0.0,0.00028376844494892167,0.28859943570562857,0.006290791614075702,0.9995250877823523,0.08756948725167987,0.000651824488204452,0.010931796807031385,0.028859943570562856,False,none,False,False
B4_p_bcfr,pyruvate,bcfr,A42-B18,A42,B18,1,1,1,13,0.0,0.00028376844494892167,0.28859943570562857,0.006290791614075702,0.9995250877823523,0.08756948725167987,0.000651824488204452,0.010931796807031385,0.028859943570562856,False,none,False,False
B4_p_bcfr,pyruvate,bcfr,A51-B84,A51,B84,1,1,1,13,0.0,0.00028376844494892167,0.28859943570562857,0.006290791614075702,0.9995250877823523,0.08756948725167987,0.000651824488204452,0.010931796807031385,0.028859943570562856,False,none,False,False
B4_p_bcfr,pyruvate,bcfr,A81-B5,A81,B5,1,1,1,13,0.0,0.00028376844494892167,0.28859943570562857,0.006290791614075702,0.9995250877823523,0.08756948725167987,0.000651824488204452,0.010931796807031385,0.028859943570562856,False,none,False,False
B4_p_bcfr,pyruvate,bcfr,A81-B7,A81,B7,1,1,1,13,0.0,0.00028376844494892167,0.28859943570562857,0.006290791614075702,0.9995250877823523,0.08756948725167987,0.000651824488204452,0.010931796807031385,0.028859943570562856,False,none,False,False
