Candidate,verA,verB,n_samples,bridged,beta_per_cycle,beta_se,beta_se_raw,beta_per_generation,I2_heterogeneity,samples
A78-B103,A78,B103,2,True,-0.1023,0.1612,0.1368,-0.0307,0.0,B4_p_bcfr;B4_p_fbcr
A159-B77,A159,B77,2,True,-0.1056,0.0016,0.0014,-0.0317,0.954,B4_p_bcfr;B4_p_fbcr
A20-B11,A20,B11,3,True,-0.1059,0.0414,0.0351,-0.0318,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A63-B79,A63,B79,2,True,-0.109,0.2019,0.1713,-0.0328,0.0,B4_p_bcfr;B4_p_fbcr
A90-B154,A90,B154,2,True,-0.1226,0.0599,0.0509,-0.0368,0.0,B4_p_bcfr;B4_p_fbcr
A78-B70,A78,B70,2,True,-0.1338,0.0761,0.0646,-0.0402,0.0,B4_p_bcfr;B4_p_fbcr
A153-B30,A153,B30,3,True,-0.136,0.1414,0.12,-0.0409,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A152-B110,A152,B110,2,True,-0.1366,0.0813,0.069,-0.041,0.0,B4_p_bcfr;B4_p_fbcr
A78-B26,A78,B26,3,True,-0.139,0.0382,0.0325,-0.0418,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A153-B6,A153,B6,3,True,-0.139,0.114,0.0968,-0.0418,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A96-B79,A96,B79,3,True,-0.1446,0.0323,0.0274,-0.0435,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A20-B30,A20,B30,3,True,-0.1488,0.0229,0.0194,-0.0447,0.602,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A196-B2,A196,B2,3,True,-0.161,0.1687,0.1432,-0.0484,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A90-B159,A90,B159,3,True,-0.1623,0.049,0.0416,-0.0488,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A152-B151,A152,B151,3,True,-0.1647,0.0198,0.0168,-0.0495,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A90-B119,A90,B119,3,True,-0.1657,0.0623,0.0529,-0.0498,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A196-B27,A196,B27,3,True,-0.1661,0.1529,0.1298,-0.0499,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A81-B65,A81,B65,3,True,-0.1759,0.1376,0.1168,-0.0529,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A196-B123,A196,B123,3,True,-0.1764,0.1092,0.0927,-0.053,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A81-B42,A81,B42,3,True,-0.1888,0.0923,0.0783,-0.0567,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A196-B171,A196,B171,3,True,-0.1915,0.1185,0.1006,-0.0576,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A90-B59,A90,B59,3,True,-0.2,0.0488,0.0414,-0.0601,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A81-B171,A81,B171,2,True,-0.2065,0.2424,0.2058,-0.062,0.0,B4_p_bcfr;B4_p_fbcr
A81-B12,A81,B12,2,True,-0.2066,0.0857,0.0728,-0.0621,0.0,B4_p_bcfr;B4_p_fbcr
A81-B51,A81,B51,3,True,-0.2184,0.0081,0.0069,-0.0656,0.684,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A78-B171,A78,B171,3,True,-0.2216,0.0938,0.0796,-0.0666,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A81-B18,A81,B18,3,True,-0.2228,0.0942,0.0799,-0.0669,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A81-B84,A81,B84,3,True,-0.236,0.043,0.0365,-0.0709,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A90-B151,A90,B151,3,True,-0.2405,0.0265,0.0225,-0.0723,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A196-B150,A196,B150,3,True,-0.2712,0.0076,0.0065,-0.0815,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A63-B151,A63,B151,3,True,-0.2934,0.0571,0.0484,-0.0882,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A81-B75,A81,B75,3,True,-0.2988,0.0022,0.0019,-0.0898,0.901,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A90-B145,A90,B145,3,True,-0.3001,0.0877,0.0745,-0.0902,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A196-B15,A196,B15,3,True,-0.3088,0.0639,0.0543,-0.0928,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A90-B155,A90,B155,3,True,-0.3186,0.1291,0.1096,-0.0957,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
A81-B27,A81,B27,3,True,-0.3908,0.077,0.0654,-0.1174,0.0,B4_p_bcfr;B4_p_fbcr;B4_p_fr
