Candidate,B4_p_bcfr,B4_p_fbcr,B4_p_fr
A81-B8,0.1047925026736759,0.1112125999083711,0.1226255274740783
A186-B79,0.0818768138801433,0.090315686398565,0.0756546569123811
A196-B59,0.119471547354627,0.0654977267471097,0.0099854015761689
A143-B84,0.0371355662928802,0.0402941415904032,0.0412933835341683
A78-B137,0.1088899111806938,-0.0049719088352335,-0.0191201997594483
A78-B77,0.0126850507995699,0.0208070170382412,0.0459144051687109
A81-B132,-0.0194325537751008,-0.0101680846772984,0.0262748611369322
A78-B151,-0.0018392634232933,-0.0126374526111306,0.0109467045242523
A196-B30,0.0016245743297835,0.023439334956005,-0.0290626362993194
A78-B84,0.0008730664129044,0.0026973378620219,-0.0180456520752691
A196-B117,0.0083742124855736,-0.0019923854849429,-0.0249563671432291
A196-B27,-0.0116249953195797,0.0116317668490876,-0.0288093123687071
A196-B2,-0.0209821388404835,0.0306510648268595,-0.0403107030804764
A196-B150,-0.0192669916718997,0.0218979256549547,-0.0444546464336276
A20-B126,-0.0389059177389566,-0.0056061429242039,0.0017875787274845
A196-B8,-0.0230805981104186,-0.0110279214310197,-0.009517171652678
A83-B50,-0.0174718397446191,-0.0285807670114534,0.0017875787274845
A196-B87,-0.020788975430883,-0.0055149822250454,-0.0186380583254663
A196-B15,-0.0079444862005379,0.011957182039209,-0.0609737070893687
A20-B84,-0.0384177151312798,-0.0233821469556344,0.0017875787274845
A78-B150,-0.0317686295346958,-0.0213724546843524,-0.011154378145888
A90-B47,-0.0288273009824395,-0.044988150508195,-0.0219792837868693
A96-B79,-0.0541661253059006,-0.0378513782436734,-0.0131479923192903
A78-B26,-0.0390722804366902,-0.0554352733840506,-0.011154378145888
A20-B11,-0.0485465432196788,-0.05549406658851,-0.0042616117653201
A196-B171,-0.0239557334391016,-0.0402650834928654,-0.0484887476730615
A153-B30,-0.0329656078019684,-0.0425061523567689,-0.0372923918324673
A153-B6,-0.0410638365014529,-0.0368711569471714,-0.0357624908321178
A81-B84,-0.0862884723508078,-0.0033704507959555,-0.0245653441412159
A152-B151,-0.0526399998816284,-0.0654054699837632,-0.011154378145888
A90-B120,-0.0685295837717546,-0.0445689008772142,-0.0267097682800686
A20-B30,-0.0808894225731047,-0.0642873070592626,0.0017875787274845
A81-B65,-0.0451625952595262,-0.0939055141340402,-0.0170152839191146
A196-B123,-0.0586672998622974,-0.0826887898303578,-0.0231296816912177
A90-B119,-0.0621926122185544,-0.0844310280691423,-0.0219792837868693
A81-B140,-0.0929301877162915,-0.0272415867353868,-0.048600478738365
A90-B159,-0.0739985958052032,-0.0889246724843067,-0.011154378145888
A81-B42,-0.0676817506747113,-0.0867315796328959,-0.0219792837868693
A81-B51,-0.0516913407621225,-0.0997323007872886,-0.0296041954371091
A90-B151,-0.0550801220178439,-0.0947043038684349,-0.0349988124382035
A90-B59,-0.0761707448679157,-0.09969606852044,-0.0219792837868693
A81-B18,-0.0570248434193835,-0.1365343695489399,-0.0589658704124061
A81-B75,-0.1100801121673521,-0.0995416611136484,-0.0444546464336276
A63-B151,-0.1387197683205499,-0.1056641342817228,-0.0151579541204805
A78-B171,-0.0733242706829321,-0.148385403679885,-0.0442821226367011
A90-B145,-0.1042130327152182,-0.1536381711139625,-0.0385681594402401
A90-B155,-0.1340547587882779,-0.1278130048223114,-0.0385681594402401
A81-B27,-0.1495513217553981,-0.1268437140060568,-0.0730841936824114
A93-B8,0.0623890004846509,0.0767162605264401,
A152-B100,0.0461973115187702,0.0124771584039111,
A81-B15,0.019442942092329,0.0174234721885361,
A196-B75,0.0130987318261211,0.0174234721885361,
A20-B60,0.0071391705039965,0.0174234721885361,
A176-B120,0.0130987318261211,-0.0056061429242039,
A90-B84,-0.0105700926729601,0.0029485888424074,
A186-B143,-0.0035259415584941,-0.0056061429242039,
A196-B6,-0.0037567809800482,-0.0118864151605307,
A90-B18,-0.0035259415584941,-0.0126749254458043,
A196-B122,-0.0151739741069972,-0.0218619517527138,
A159-B24,-0.0454183212417583,0.0008434039717129,
A96-B87,-0.0035259415584941,-0.0411474031617264,
A159-B49,-0.0115643463713966,-0.0387070876032184,
A96-B75,-0.0124996278040736,-0.0379955999500169,
A78-B142,-0.0339797830479693,-0.0176828878474357,
A96-B140,-0.0389059177389566,-0.0131989746686439,
A176-B132,-0.0259416871562483,-0.0270114211370995,
A63-B147,-0.0212340498708467,-0.034954024570983,
A81-B4,-0.0449861688095663,-0.0141773637958551,
A81-B3,-0.0197114066599028,-0.0401543741059798,
A63-B75,-0.0365836529047237,-0.028054924953005,
A20-B178,-0.0152557904585223,-0.0510245202247272,
A81-B40,-0.0243712276694034,-0.0452851776750377,
A159-B77,-0.0491892972938908,-0.0233821469556344,
A78-B103,-0.0365836529047237,-0.0625598473927111,
A90-B154,-0.0454183212417583,-0.0581701886928997,
A63-B79,-0.0527679597348756,-0.0544586171519194,
A78-B70,-0.0468526800098477,-0.0778127707533653,
A152-B110,-0.0591411385399754,-0.0676560590516738,
A81-B12,-0.0836061991137084,-0.0789308831481686,
A81-B171,-0.1075991120596014,-0.0760847562909864,
A138-B79,0.0623890004846509,,
A78-B141,0.0623890004846509,,
