Candidate,B4_p_bcfr,B4_p_fbcr,B4_p_fr
A101-B8,0.0606281533502201,,
A65-B8,0.0606281533502201,,
A196-B83,0.019442942092329,,
A78-B155,0.019442942092329,,
A90-B165,0.019442942092329,,
A96-B127,0.019442942092329,,
A96-B47,0.019442942092329,,
A20-B117,,0.0174234721885361,
A196-B91,0.0130987318261211,,
A132-B87,,0.0110975276905345,
A176-B101,,0.0110975276905345,
A162-B137,0.0071391705039965,,
A63-B117,0.0071391705039965,,
A196-B23,,0.0029485888424074,
A176-B119,0.0028869945462628,,
A20-B8,-0.0033242032798715,,
A153-B105,,-0.0056061429242039,
A153-B75,,-0.0056061429242039,
A78-B130,,-0.0058290802600856,
A83-B137,,-0.0058290802600856,
A186-B30,,-0.0176828878474357,
A143-B145,-0.0231810265953478,,
