Sample,DNA_construct,Replicate,Candidate,verA,verB,n_obs_timepoints,transfers_observed,total_reads,logA_init,r_init_per_cycle,r_final_per_cycle,breakpoint_transfer,r_init_per_generation,r_final_per_generation,r_init_per_hour_measured,r_final_per_hour_measured,model_selected,direction,unconstrained_direction,breakpoint_testable,rel_rate_change,abs_rate_change,delta_bic,r2_selected,r2_constant,r2_two_phase,wrss_constant,wrss_two_phase,s_constant_per_cycle,freq_init,freq_final,estimable
B4_p_bcfr,pyruvate,bcfr,A101-B8,A101,B8,2,"3,13",2,-1.2993,0.2018,0.2018,,0.0606,0.0606,0.00764,0.00764,constant,constant,none,False,,,,0.9128,0.9128,,0.31834,,0.2018,0.00025,0.00028,True
B4_p_bcfr,pyruvate,bcfr,A138-B79,A138,B79,2,"4,13",2,-1.2542,0.2031,0.2031,,0.0624,0.0624,0.00769,0.00769,constant,constant,none,False,,,,0.8319,0.8319,,0.61435,,0.2031,0.0,0.00028,True
B4_p_bcfr,pyruvate,bcfr,A143-B145,A143,B145,2,"3,4",9,0.3263,-0.0759,-0.0759,,-0.0232,-0.0232,-0.00287,-0.00287,constant,constant,none,False,,,,0.8105,0.8105,,0.06275,,-0.0759,0.00152,0.0,True
B4_p_bcfr,pyruvate,bcfr,A143-B84,A143,B84,3,"3,4,13",556,4.0977,0.1197,0.1197,,0.0371,0.0371,0.00453,0.00453,constant,constant,none,False,,,,0.5505,0.5505,,103.01579,,0.1197,0.03341,0.03717,True
B4_p_bcfr,pyruvate,bcfr,A152-B100,A152,B100,3,"3,4,13",38,1.2538,0.1526,0.1526,,0.0462,0.0462,0.00578,0.00578,constant,constant,none,False,,,,0.9999,0.9999,,0.00126,,0.1526,0.0038,0.00312,True
B4_p_bcfr,pyruvate,bcfr,A152-B110,A152,B110,2,"3,4",26,1.3665,-0.1963,-0.1963,,-0.0591,-0.0591,-0.00744,-0.00744,constant,constant,none,False,,,,0.8838,0.8838,,0.26288,,-0.1963,0.00456,0.0,True
B4_p_bcfr,pyruvate,bcfr,A152-B151,A152,B151,2,"3,4",69,2.3098,-0.1957,-0.1957,,-0.0526,-0.0526,-0.00741,-0.00741,constant,constant,none,False,,,,0.7192,0.7192,,0.93643,,-0.1957,0.01038,0.0,True
B4_p_bcfr,pyruvate,bcfr,A153-B30,A153,B30,2,"3,4",165,3.1552,-0.1427,-0.1427,,-0.033,-0.033,-0.00541,-0.00541,constant,constant,none,False,,,,0.2757,0.2757,,4.62168,,-0.1427,0.02379,0.0,True
B4_p_bcfr,pyruvate,bcfr,A153-B6,A153,B6,2,"3,4",120,2.848,-0.1669,-0.1669,,-0.0411,-0.0411,-0.00632,-0.00632,constant,constant,none,False,,,,0.4108,0.4108,,3.0076,,-0.1669,0.01746,0.0,True
B4_p_bcfr,pyruvate,bcfr,A159-B24,A159,B24,2,"3,4",15,0.8429,-0.1472,-0.1472,,-0.0454,-0.0454,-0.00558,-0.00558,constant,constant,none,False,,,,0.6461,0.6461,,0.58179,,-0.1472,0.00278,0.0,True
B4_p_bcfr,pyruvate,bcfr,A159-B49,A159,B49,2,"3,4",15,0.8414,-0.053,-0.053,,-0.0116,-0.0116,-0.00201,-0.00201,constant,constant,none,False,,,,0.045,0.045,,2.78495,,-0.053,0.00152,0.0,True
B4_p_bcfr,pyruvate,bcfr,A159-B77,A159,B77,2,"3,4",25,1.3094,-0.167,-0.167,,-0.0492,-0.0492,-0.00633,-0.00633,constant,constant,none,False,,,,0.9999,0.9999,,0.0001,,-0.167,0.00405,0.0,True
B4_p_bcfr,pyruvate,bcfr,A162-B137,A162,B137,2,"3,4",3,-0.6304,0.0244,0.0244,,0.0071,0.0071,0.00092,0.00092,constant,constant,none,False,,,,0.5246,0.5246,,0.02276,,0.0244,0.00051,0.0,True
B4_p_bcfr,pyruvate,bcfr,A176-B119,A176,B119,2,"3,4",5,-0.1787,0.0043,0.0043,,0.0029,0.0029,0.00016,0.00016,constant,constant,none,False,,,,0.001,0.001,,0.76846,,0.0043,0.00051,0.0,True
B4_p_bcfr,pyruvate,bcfr,A176-B120,A176,B120,2,"3,4",3,-0.5754,0.039,0.039,,0.0131,0.0131,0.00148,0.00148,constant,constant,none,False,,,,0.08,0.08,,0.69855,,0.039,0.00025,0.0,True
B4_p_bcfr,pyruvate,bcfr,A176-B132,A176,B132,2,"3,4",7,0.2065,-0.0812,-0.0812,,-0.0259,-0.0259,-0.00308,-0.00308,constant,constant,none,False,,,,0.1957,0.1957,,1.26143,,-0.0812,0.00152,0.0,True
B4_p_bcfr,pyruvate,bcfr,A186-B143,A186,B143,2,"3,4",5,-0.2177,-0.0121,-0.0121,,-0.0035,-0.0035,-0.00046,-0.00046,constant,constant,none,False,,,,0.5695,0.5695,,0.00487,,-0.0121,0.00076,0.0,True
B4_p_bcfr,pyruvate,bcfr,A186-B79,A186,B79,3,"3,4,13",443,3.1625,0.2715,0.2715,,0.0819,0.0819,0.01028,0.01028,constant,constant,none,False,,,,0.9774,0.9774,,17.33821,,0.2715,0.03214,0.07293,True
B4_p_bcfr,pyruvate,bcfr,A196-B117,A196,B117,3,"3,4,13",540,4.4154,-0.0098,-0.0098,,0.0084,0.0084,-0.00037,-0.00037,constant,constant,none,False,,,,0.0004,0.0004,,195.20092,,-0.0098,0.04126,0.00199,True
B4_p_bcfr,pyruvate,bcfr,A196-B122,A196,B122,2,"3,4",16,0.8851,-0.0637,-0.0637,,-0.0152,-0.0152,-0.00241,-0.00241,constant,constant,none,False,,,,0.0827,0.0827,,2.13326,,-0.0637,0.00177,0.0,True
B4_p_bcfr,pyruvate,bcfr,A196-B123,A196,B123,3,"3,4,13",107,2.756,-0.1902,-0.1902,,-0.0587,-0.0587,-0.0072,-0.0072,constant,constant,none,False,,,,0.6435,0.6435,,5.052,,-0.1902,0.01974,0.00057,True
B4_p_bcfr,pyruvate,bcfr,A196-B15,A196,B15,2,"3,4",118,2.7998,-0.0604,-0.0604,,-0.0079,-0.0079,-0.00229,-0.00229,constant,constant,none,False,,,,0.0321,0.0321,,8.22015,,-0.0604,0.01519,0.0,True
B4_p_bcfr,pyruvate,bcfr,A196-B150,A196,B150,2,"3,4",42,1.8076,-0.0889,-0.0889,,-0.0193,-0.0193,-0.00337,-0.00337,constant,constant,none,False,,,,0.0935,0.0935,,4.22417,,-0.0889,0.00506,0.0,True
B4_p_bcfr,pyruvate,bcfr,A196-B171,A196,B171,2,"3,4",181,3.2366,-0.1129,-0.1129,,-0.024,-0.024,-0.00428,-0.00428,constant,constant,none,False,,,,0.1582,0.1582,,6.13192,,-0.1129,0.02556,0.0,True
B4_p_bcfr,pyruvate,bcfr,A196-B2,A196,B2,3,"3,4,13",133,2.9357,-0.0943,-0.0943,,-0.021,-0.021,-0.00357,-0.00357,constant,constant,none,False,,,,0.1107,0.1107,,11.90312,,-0.0943,0.0162,0.00028,True
