Candidate,B4_p_bcfr,B4_p_fbcr,B4_p_fr
A81-B8,0.3424774872779115,0.3639253136963086,0.4003059043446536
A186-B79,0.2714876308021449,0.2992979484846697,0.2518739195139735
A196-B59,0.4034354552015429,0.1832650351975298,-0.0175529820035668
A143-B84,0.1197068224074792,0.1307549001880984,0.1343461615368595
A78-B77,0.0359927453745928,0.0647259196075975,0.1494876288305078
A78-B137,0.344216138522859,-0.0498524331550649,-0.0934330386025997
A81-B132,-0.0624619619871057,-0.0314894949476733,0.0879701919637389
A78-B151,-0.0077095848553986,-0.0419231461951533,0.0350983924262688
A196-B30,-0.0298978065674594,0.0329140277611463,-0.1105816429468334
A20-B126,-0.1251019667301292,-0.0189814803266553,0.0051915669991145
A78-B84,-0.0280395825364475,-0.0203762287079793,-0.0921945640599126
A196-B117,-0.0098478381959169,-0.0367381279574728,-0.1189808604659509
A83-B50,-0.0605003813514541,-0.1131811172509496,0.0051915669991145
A196-B27,-0.0671851520370356,9.985792409603456e-05,-0.103766733698986
A196-B2,-0.0942712026018396,0.0702358161389501,-0.1486903437057518
A196-B8,-0.0967801086066003,-0.0625986669403993,-0.0374401345452992
A196-B150,-0.0888918175564145,0.0316930529688063,-0.1494343007244258
A20-B84,-0.1339263613910845,-0.0791595621419663,0.0051915669991145
A78-B150,-0.1046667832739422,-0.0752144467812259,-0.0356923191888695
A196-B87,-0.0858016537526061,-0.0517055635747937,-0.0961470940328231
A196-B15,-0.0603891964521734,0.0040104508468035,-0.2024283263165171
A90-B47,-0.0935116324121767,-0.1480203872849135,-0.0701992480077741
A20-B11,-0.1619634843583574,-0.179133989636325,-0.0176695290155634
A78-B26,-0.138763236725105,-0.1955852639109173,-0.0356923191888695
A96-B79,-0.1889026943737963,-0.1413834149815937,-0.0450568221728432
A153-B6,-0.1669448823302663,-0.136741541776508,-0.1304793815424794
A196-B171,-0.1128928386685993,-0.1543539914304803,-0.1747768434939244
A81-B84,-0.2998774690813782,-0.0463341904186227,-0.0989935597797543
A153-B30,-0.1427167892749108,-0.1631402258899537,-0.1453394346547707
A152-B151,-0.1957491696499326,-0.2276847413385761,-0.0356923191888695
A90-B120,-0.231109838843707,-0.149844302884176,-0.1017967724526829
A20-B30,-0.278932279169274,-0.2157363376919423,0.0051915669991145
A81-B65,-0.143085475890332,-0.3053814806913421,-0.0631864073296695
A90-B119,-0.2073003515681037,-0.2742204016324429,-0.0701992480077741
A196-B123,-0.1902088340936465,-0.2731222328880824,-0.0890245471811068
A81-B140,-0.3047511643796973,-0.0893663589104966,-0.1583355252247128
A90-B159,-0.2396545867484734,-0.2912181357641588,-0.0356923191888695
A81-B42,-0.218415058898023,-0.2799906400661958,-0.0701992480077741
A81-B51,-0.1800778400652124,-0.3393382200641803,-0.0989935597797542
A90-B151,-0.2076422761431902,-0.3273156119947117,-0.1180959793230338
A90-B59,-0.2598260054719661,-0.3264724923597247,-0.0701992480077741
A81-B18,-0.2096343388520379,-0.4586698661032155,-0.190942512318741
A78-B171,-0.243374538094431,-0.475541327032425,-0.1429390390064238
A81-B75,-0.3968717471507439,-0.3622101978244098,-0.1494343007244258
A63-B151,-0.4825774051682611,-0.3727677915774555,-0.0544847789805149
A90-B145,-0.3611777161204537,-0.5205712125134598,-0.1234005459903022
A90-B155,-0.4550846638397899,-0.4317603597952298,-0.1234005459903022
A81-B27,-0.5205218554264041,-0.4545407322647581,-0.2401038852297713
A93-B8,0.2031094859417591,0.2503797102559393,
A152-B100,0.1526314272200985,0.0427932750682217,
A81-B15,0.0630539079501414,0.0564087905999387,
A196-B75,0.0389788997129845,0.0564087905999387,
A20-B60,0.0244184818681738,0.0564087905999387,
A176-B120,0.0389788997129845,-0.0189814803266553,
A90-B84,-0.036761134827803,0.007549459822079,
A186-B143,-0.012123907696871,-0.0189814803266553,
A90-B18,-0.012123907696871,-0.0436968910004733,
A196-B6,-0.0268465317265279,-0.0538846548992194,
A159-B24,-0.1471946497167129,-0.0023667704491785,
A196-B122,-0.0636507430925645,-0.0909531452195414,
A96-B87,-0.012123907696871,-0.1443179639092402,
A176-B132,-0.0812070918936003,-0.0862287771709545,
A96-B75,-0.0499764182235374,-0.1210153148855093,
A78-B142,-0.1134581015770128,-0.0616313366129914,
A159-B49,-0.0529893211952103,-0.1224849853296012,
A96-B140,-0.1251019667301292,-0.0548213797859655,
A81-B4,-0.1429256443222756,-0.0436968910004734,
A63-B147,-0.0720742881407758,-0.1206272277274309,
