Candidate,B4_p_bcfr,B4_p_fbcr,B4_p_fr
A81-B3,-0.06432080091446,-0.1288345852770841,
A63-B75,-0.1154419522395105,-0.0882104555799673,
A20-B178,-0.0602977990267867,-0.1621903908365449,
A159-B77,-0.167039484982963,-0.0791595621419663,
A81-B40,-0.1074477001874322,-0.1700740705443907,
A78-B103,-0.1154419522395105,-0.2013076458869181,
A63-B79,-0.1676874085910479,-0.1732698295179386,
A90-B154,-0.1471946497167129,-0.1938298959581583,
A152-B110,-0.1963488524943814,-0.2154270500517313,
A78-B70,-0.1533707014459384,-0.2592628022953146,
A81-B12,-0.2755154331510384,-0.2653975935040185,
A81-B171,-0.342435369264182,-0.2442763842612242,
A138-B79,0.2031094859417591,,
A78-B141,0.2031094859417591,,
A101-B8,0.2018176679838576,,
A65-B8,0.2018176679838576,,
A196-B83,0.0630539079501414,,
A78-B155,0.0630539079501414,,
A90-B165,0.0630539079501414,,
A96-B127,0.0630539079501414,,
A96-B47,0.0630539079501414,,
A20-B117,,0.0564087905999387,
A196-B91,0.0389788997129845,,
A132-B87,,0.0324145153690227,
A176-B101,,0.0324145153690227,
A162-B137,0.0244184818681738,,
A63-B117,0.0244184818681738,,
A196-B23,,0.007549459822079,
A176-B119,0.0043425230475461,,
A20-B8,-0.0088009469730117,,
A153-B105,,-0.0189814803266553,
A153-B75,,-0.0189814803266553,
A78-B130,,-0.0226494896852368,
A83-B137,,-0.0226494896852368,
A186-B30,,-0.0616313366129914,
A143-B145,-0.0758834743935077,,
