allele_kind,allele,marginal_s_per_cycle,marginal_s_per_generation,se,n_pairs,n_samples,drift_null_p,exceeds_drift_null,robust_selection,R_allele_OD_clock_per_h,R_allele_lo,R_allele_hi,correction_frac_of_mubulk,flag_anchor_is_community_level,flag_correction_is_few_pct_of_mubulk,flag_OD_not_biomass,flag_derived_not_measured
verA,A93,0.2309640681054861,0.0694,0.058507752867562,2,3,0.0,True,False,0.9073,0.9073,0.9073,0.088,True,True,True,True
verA,A138,0.2031094859417591,0.061,0.0912917159775577,1,2,0.0066666666666666,True,False,0.8985,0.8985,0.8985,0.077,True,True,True,True
verA,A65,0.2018176679838576,0.0606,0.0623614996401341,1,3,0.0066666666666666,True,False,0.8981,0.8981,0.8981,0.077,True,True,True,True
verA,A101,0.2018176679838576,0.0606,0.0623614996401341,1,1,0.0166666666666666,True,False,0.8981,0.8981,0.8981,0.077,True,True,True,True
verA,A152,0.1503758917382999,0.0452,0.0012917210714385,7,3,0.0,True,True,0.8818,0.8818,0.8818,0.057,True,True,True,True
verA,A132,0.0324145153690227,0.0097,0.1307125004695568,1,2,0.7033333333333334,False,False,0.8445,0.8445,0.8445,0.012,True,True,True,True
verA,A162,0.0244184818681738,0.0073,0.0232471004050024,1,2,0.76,False,False,0.8419,0.8419,0.8419,0.009,True,True,True,True
verA,A186,0.0006770205167294,0.0002,0.0065355721294121,6,3,0.9866666666666668,False,False,0.8344,0.8344,0.8344,0.0,True,True,True,True
verA,A143,-0.0015275741324301,-0.0005,0.0293306538393099,4,3,0.9733333333333334,False,False,0.8337,0.8337,0.8337,0.001,True,True,True,True
verA,A83,-0.0127578052455295,-0.0038,0.0208642232321785,4,3,0.9133333333333332,False,False,0.8302,0.8302,0.8302,0.005,True,True,True,True
verA,A176,-0.0190774550426876,-0.0057,0.0087694139866843,6,3,0.8133333333333334,False,False,0.8282,0.8282,0.8282,0.007,True,True,True,True
verA,A153,-0.0198592264607526,-0.006,0.0062534032407549,8,3,0.75,False,False,0.8279,0.8279,0.8279,0.008,True,True,True,True
verA,A96,-0.0216036167168522,-0.0065,0.0092274762903636,11,3,0.7433333333333333,False,False,0.8274,0.8274,0.8274,0.008,True,True,True,True
verA,A20,-0.0304055516229143,-0.0091,0.0062356090733342,18,3,0.4633333333333333,False,False,0.8246,0.8246,0.8246,0.012,True,True,True,True
verA,A78,-0.0479716934392364,-0.0144,0.0043386689189357,30,3,0.0,True,True,0.819,0.819,0.819,0.018,True,True,True,True
verA,A63,-0.0629382622754388,-0.0189,0.0140176478810306,10,3,0.2066666666666666,False,False,0.8143,0.8143,0.8143,0.024,True,True,True,True
verA,A90,-0.0840237418670925,-0.0252,0.0065817434800512,31,3,0.0133333333333333,True,True,0.8076,0.8076,0.8076,0.032,True,True,True,True
verA,A196,-0.1385641690911046,-0.0416,0.0061990647030884,42,3,0.02,True,True,0.7904,0.7904,0.7904,0.053,True,True,True,True
verA,A159,-0.1665320362042556,-0.05,0.0013953145232887,6,2,0.0,True,False,0.7815,0.7815,0.7815,0.063,True,True,True,True
verA,A81,-0.3224813300627736,-0.0969,0.001777365713256,42,3,0.0,True,True,0.7321,0.7321,0.7321,0.122,True,False,True,True
verB,B8,0.2523019287232091,0.0758,0.0227904263080337,11,3,0.0,True,True,0.914,0.914,0.914,0.096,True,True,True,True
verB,B141,0.2031094859417591,0.061,0.0912917159775577,1,1,0.0066666666666666,True,False,0.8985,0.8985,0.8985,0.077,True,True,True,True
verB,B100,0.1525659992158995,0.0458,0.0012957677072162,2,3,0.0,True,False,0.8825,0.8825,0.8825,0.058,True,True,True,True
verB,B79,0.0857240848873695,0.0258,0.0186990998979795,9,3,0.0,True,True,0.8613,0.8613,0.8613,0.033,True,True,True,True
verB,B127,0.0630539079501414,0.0189,0.0442995166930288,1,2,0.6066666666666667,False,False,0.8542,0.8542,0.8542,0.024,True,True,True,True
verB,B165,0.0630539079501414,0.0189,0.0442995166930288,1,2,0.52,False,False,0.8542,0.8542,0.8542,0.024,True,True,True,True
verB,B83,0.0630539079501414,0.0189,0.0442995166930288,1,1,0.52,False,False,0.8542,0.8542,0.8542,0.024,True,True,True,True
verB,B91,0.0389788997129845,0.0117,0.1321508173773957,1,2,0.7033333333333334,False,False,0.8465,0.8465,0.8465,0.015,True,True,True,True
verB,B101,0.0324145153690227,0.0097,0.1307125004695568,1,2,0.7266666666666667,False,False,0.8445,0.8445,0.8445,0.012,True,True,True,True
verB,B60,0.0316492102536521,0.0095,0.0204517848518848,2,2,0.6333333333333333,False,False,0.8442,0.8442,0.8442,0.012,True,True,True,True
verB,B117,0.0312933193105821,0.0094,0.0204045353455827,5,3,0.6633333333333333,False,False,0.8441,0.8441,0.8441,0.012,True,True,True,True
verB,B137,0.0205312256510626,0.0062,0.0222255760306978,5,3,0.7666666666666667,False,False,0.8407,0.8407,0.8407,0.008,True,True,True,True
verB,B155,0.0127906987482278,0.0038,0.0410704019337702,4,3,0.85,False,False,0.8382,0.8382,0.8382,0.005,True,True,True,True
verB,B23,0.007549459822079,0.0023,0.0624546621803542,1,1,0.8966666666666666,False,False,0.8366,0.8366,0.8366,0.003,True,True,True,True
verB,B132,-0.0025370726418562,-0.0008,0.0317116680953179,5,3,0.8666666666666667,False,False,0.8334,0.8334,0.8334,0.001,True,True,True,True
verB,B15,-0.0025703684871406,-0.0008,0.0268277044712757,5,3,0.96,False,False,0.8334,0.8334,0.8334,0.001,True,True,True,True
verB,B50,-0.0120178725712747,-0.0036,0.021630509931039,3,3,0.9333333333333332,False,False,0.8304,0.8304,0.8304,0.005,True,True,True,True
verB,B87,-0.0150963679072911,-0.0045,0.0103685414448657,6,3,0.84,False,False,0.8294,0.8294,0.8294,0.006,True,True,True,True
verB,B143,-0.0161373950133506,-0.0048,0.0067890394986856,2,3,0.8166666666666667,False,False,0.8291,0.8291,0.8291,0.006,True,True,True,True
verB,B126,-0.0168392011638829,-0.0051,0.0083426630600286,3,3,0.82,False,False,0.8289,0.8289,0.8289,0.006,True,True,True,True
verB,B18,-0.0182876762873224,-0.0055,0.0099833388407115,5,3,0.8066666666666666,False,False,0.8284,0.8284,0.8284,0.007,True,True,True,True
verB,B105,-0.0189814803266553,-0.0057,0.0088742691412784,1,3,0.8,False,False,0.8282,0.8282,0.8282,0.007,True,True,True,True
verB,B130,-0.0226494896852368,-0.0068,0.0790871238225184,1,2,0.7966666666666666,False,False,0.827,0.827,0.827,0.009,True,True,True,True
verB,B47,-0.0303484323619479,-0.0091,0.0302036051693518,4,3,0.58,False,False,0.8246,0.8246,0.8246,0.012,True,True,True,True
verB,B151,-0.0581207180824292,-0.0175,0.0044706182014683,12,3,0.0,True,True,0.8158,0.8158,0.8158,0.022,True,True,True,True
verB,B159,-0.0584045982212507,-0.0176,0.0415707615962083,3,3,0.5,False,False,0.8157,0.8157,0.8157,0.022,True,True,True,True
verB,B84,-0.0646287038588701,-0.0194,0.0120021067230138,14,3,0.1166666666666666,False,False,0.8137,0.8137,0.8137,0.025,True,True,True,True
verB,B120,-0.0662451712565778,-0.0199,0.0071285875744791,5,3,0.2466666666666666,False,False,0.8132,0.8132,0.8132,0.025,True,True,True,True
verB,B4,-0.0687077321024798,-0.0206,0.0954967401744135,2,3,0.3333333333333333,False,False,0.8125,0.8125,0.8125,0.026,True,True,True,True
verB,B3,-0.0688947689316212,-0.0207,0.0343977760847525,2,3,0.0966666666666666,False,False,0.8124,0.8124,0.8124,0.026,True,True,True,True
verB,B122,-0.0758230502562385,-0.0228,0.1577832509568751,2,3,0.0766666666666666,False,False,0.8102,0.8102,0.8102,0.029,True,True,True,True
verB,B147,-0.0802363628801002,-0.0241,0.0191796241761005,2,3,0.1933333333333333,False,False,0.8088,0.8088,0.8088,0.03,True,True,True,True
verB,B24,-0.0890088398042336,-0.0267,0.0842537741975443,2,2,0.0933333333333333,False,False,0.806,0.806,0.806,0.034,True,True,True,True
verB,B178,-0.0908496939896035,-0.0273,0.1388075447752512,2,3,0.0666666666666666,False,False,0.8055,0.8055,0.8055,0.034,True,True,True,True
verB,B49,-0.0933883538864396,-0.0281,0.1579157792209802,2,2,0.0766666666666666,False,False,0.8046,0.8046,0.8046,0.035,True,True,True,True
verB,B30,-0.0965162449713257,-0.029,0.018003300538157,10,3,0.0933333333333333,False,False,0.8037,0.8037,0.8037,0.037,True,True,True,True
verB,B26,-0.0994035684848944,-0.0299,0.0324603663092076,3,3,0.0733333333333333,False,False,0.8027,0.8027,0.8027,0.038,True,True,True,True
verB,B51,-0.1022136216606573,-0.0307,0.0068633095461716,3,3,0.1466666666666666,False,False,0.8019,0.8019,0.8019,0.039,True,True,True,True
verB,B140,-0.1061181453125199,-0.0319,0.0336613350885731,5,3,0.0033333333333333,True,True,0.8006,0.8006,0.8006,0.04,True,True,True,True
