allele,marginal_s_per_cycle,se,n_pairs,n_samples,sweep_wins,drift_null_p,null_lo,null_hi,exceeds_drift_null,robust_selection
B8,0.25230192872320917,0.022790426308033778,11,3,0,0.0,-0.04444818255352834,0.035146011180966066,True,True
B141,0.2031094859417591,0.0912917159775577,1,1,0,0.006666666666666667,-0.15509577337122113,0.13477316763909503,True,False
B100,0.15256599921589958,0.0012957677072162053,2,3,0,0.0,-0.08281435780560595,0.057673287114841765,True,False
B79,0.08572408488736956,0.018699099897979514,9,3,0,0.0,-0.05583521160996066,0.03699387403855486,True,True
B127,0.0630539079501414,0.0442995166930288,1,2,0,0.6066666666666667,-0.1512306406494762,0.1815489634723571,False,False
B165,0.0630539079501414,0.0442995166930288,1,2,0,0.52,-0.1490615599681403,0.1734550146601304,False,False
B83,0.0630539079501414,0.0442995166930288,1,1,0,0.52,-0.15675912047915344,0.1697284719306348,False,False
B91,0.0389788997129845,0.1321508173773957,1,2,0,0.7033333333333334,-0.18294261012240376,0.17859027653968695,False,False
B101,0.0324145153690227,0.1307125004695568,1,2,0,0.7266666666666667,-0.18772167524690964,0.16812174355398482,False,False
B60,0.031649210253652124,0.020451784851884827,2,2,0,0.6333333333333333,-0.1599477292445235,0.1274545410148474,False,False
B117,0.03129331931058213,0.020404535345582748,5,3,0,0.6633333333333333,-0.15518169299954662,0.10339874009045105,False,False
B137,0.020531225651062645,0.02222557603069787,5,3,0,0.7666666666666667,-0.17968198308671,0.16317819836340705,False,False
B155,0.012790698748227898,0.04107040193377025,4,3,0,0.85,-0.13380595598574027,0.1440022559188668,False,False
B23,0.007549459822079,0.062454662180354295,1,1,0,0.8966666666666666,-0.187098417109691,0.16837112118688047,False,False
B132,-0.0025370726418562726,0.03171166809531797,5,3,0,0.8666666666666667,-0.02533873706774216,0.036307728793159716,False,False
B15,-0.0025703684871406095,0.026827704471275735,5,3,0,0.96,-0.09517547255237008,0.09036676397428946,False,False
B50,-0.012017872571274754,0.02163050993103905,3,3,0,0.9333333333333333,-0.1700095371384721,0.08307263375459835,False,False
B87,-0.015096367907291157,0.01036854144486573,6,3,0,0.84,-0.20242145946162626,0.17230325550454564,False,False
B143,-0.016137395013350684,0.006789039498685662,2,3,0,0.8166666666666667,-0.13350834630769762,0.09602769028989465,False,False
B126,-0.01683920116388293,0.008342663060028628,3,3,0,0.82,-0.17787514060829407,0.11527412107926319,False,False
B18,-0.01828767628732244,0.00998333884071155,5,3,0,0.8066666666666666,-0.16627588365900461,0.12126215101952838,False,False
B105,-0.0189814803266553,0.0088742691412784,1,3,0,0.8,-0.19079660148900293,0.16756293768892028,False,False
B130,-0.0226494896852368,0.0790871238225184,1,2,0,0.7966666666666666,-0.19920489783959983,0.12423916293278771,False,False
B47,-0.03034843236194793,0.030203605169351815,4,3,0,0.58,-0.09308558931204361,0.08355555516530645,False,False
B151,-0.05812071808242923,0.004470618201468356,12,3,0,0.0,-0.021931880049868947,0.02032312526746494,True,True
B159,-0.05840459822125075,0.04157076159620836,3,3,0,0.5,-0.17829624468070224,0.12778317570777128,False,False
B84,-0.06462870385887015,0.012002106723013824,14,3,0,0.11666666666666667,-0.09388421108752996,0.05548537575835781,False,False
B120,-0.06624517125657783,0.007128587574479195,5,3,0,0.24666666666666667,-0.13934818925796846,0.08387809562355868,False,False
B4,-0.06870773210247984,0.09549674017441359,2,3,0,0.3333333333333333,-0.16653560168753792,0.09704380098504872,False,False
