transfer,hours_from_T0,delta_g,cumgen,is_sampled_transfer,measured_hours_per_transfer
0,0.0,,,0,26.385
1,0.12,0.5,0.5,0,26.385
2,26.54,1.0961,1.5961,0,26.385
3,53.05,3.856,5.4522,1,26.385
4,79.69,4.5881,10.0403,1,26.385
5,106.36,3.0187,13.059,0,26.385
6,132.83,3.2631,16.3221,0,26.385
7,159.27,3.3417,19.6638,0,26.385
8,185.94,3.3214,22.9852,0,26.385
9,212.26,3.1563,26.1415,0,26.385
10,238.59,3.2715,29.4129,0,26.385
11,264.93,3.2678,32.6808,0,26.385
12,291.27,3.2004,35.8812,0,26.385
13,317.6,3.1736,39.0548,1,26.385
14,343.84,2.8795,41.9342,0,26.385
