Sample,DNA_construct,Replicate,Microtiter_plate_well,Transfer,verA,verB,Candidate,Count,depth,freq
B4_M_bcfr,4MXB,bcfr,B4,3,A132,B117,A132-B117,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A132,B171,A132-B171,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A143,B145,A143-B145,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A143,B77,A143-B77,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A143,B84,A143-B84,375,3894,0.0963020030816641
B4_M_bcfr,4MXB,bcfr,B4,3,A147,B6,A147-B6,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A15,B84,A15-B84,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A152,B100,A152-B100,9,3894,0.0023112480739599386
B4_M_bcfr,4MXB,bcfr,B4,3,A152,B110,A152-B110,3,3894,0.0007704160246533128
B4_M_bcfr,4MXB,bcfr,B4,3,A152,B149,A152-B149,2,3894,0.0005136106831022085
B4_M_bcfr,4MXB,bcfr,B4,3,A152,B151,A152-B151,23,3894,0.005906522855675398
B4_M_bcfr,4MXB,bcfr,B4,3,A153,B30,A153-B30,49,3894,0.012583461736004109
B4_M_bcfr,4MXB,bcfr,B4,3,A153,B6,A153-B6,36,3894,0.009244992295839754
B4_M_bcfr,4MXB,bcfr,B4,3,A153,B8,A153-B8,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A159,B24,A159-B24,2,3894,0.0005136106831022085
B4_M_bcfr,4MXB,bcfr,B4,3,A159,B49,A159-B49,5,3894,0.0012840267077555213
B4_M_bcfr,4MXB,bcfr,B4,3,A159,B77,A159-B77,9,3894,0.0023112480739599386
B4_M_bcfr,4MXB,bcfr,B4,3,A162,B137,A162-B137,3,3894,0.0007704160246533128
B4_M_bcfr,4MXB,bcfr,B4,3,A176,B120,A176-B120,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A176,B132,A176-B132,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A186,B115,A186-B115,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A186,B143,A186-B143,2,3894,0.0005136106831022085
B4_M_bcfr,4MXB,bcfr,B4,3,A186,B30,A186-B30,5,3894,0.0012840267077555213
B4_M_bcfr,4MXB,bcfr,B4,3,A186,B75,A186-B75,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A186,B79,A186-B79,16,3894,0.004108885464817668
B4_M_bcfr,4MXB,bcfr,B4,3,A191,B84,A191-B84,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B117,A196-B117,257,3894,0.0659989727786338
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B120,A196-B120,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B122,A196-B122,10,3894,0.0025680534155110425
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B123,A196-B123,4,3894,0.001027221366204417
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B15,A196-B15,49,3894,0.012583461736004109
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B150,A196-B150,13,3894,0.003338469440164355
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B163,A196-B163,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B171,A196-B171,62,3894,0.015921931176168466
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B19,A196-B19,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B2,A196-B2,38,3894,0.009758602978941962
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B23,A196-B23,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B27,A196-B27,106,3894,0.027221366204417053
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B30,A196-B30,13,3894,0.003338469440164355
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B59,A196-B59,120,3894,0.030816640986132512
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B6,A196-B6,2,3894,0.0005136106831022085
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B75,A196-B75,2,3894,0.0005136106831022085
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B8,A196-B8,12,3894,0.0030816640986132513
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B85,A196-B85,2,3894,0.0005136106831022085
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B86,A196-B86,2,3894,0.0005136106831022085
B4_M_bcfr,4MXB,bcfr,B4,3,A196,B87,A196-B87,276,3894,0.07087827426810478
B4_M_bcfr,4MXB,bcfr,B4,3,A20,B178,A20-B178,4,3894,0.001027221366204417
B4_M_bcfr,4MXB,bcfr,B4,3,A20,B30,A20-B30,6,3894,0.0015408320493066256
B4_M_bcfr,4MXB,bcfr,B4,3,A20,B8,A20-B8,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A20,B84,A20-B84,3,3894,0.0007704160246533128
B4_M_bcfr,4MXB,bcfr,B4,3,A23,B151,A23-B151,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A23,B87,A23-B87,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A25,B30,A25-B30,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A4,B171,A4-B171,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A60,B151,A60-B151,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A63,B147,A63-B147,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A63,B151,A63-B151,14,3894,0.0035952747817154596
B4_M_bcfr,4MXB,bcfr,B4,3,A63,B23,A63-B23,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A63,B75,A63-B75,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A68,B27,A68-B27,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A74,B23,A74-B23,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A78,B103,A78-B103,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A78,B137,A78-B137,230,3894,0.05906522855675398
B4_M_bcfr,4MXB,bcfr,B4,3,A78,B142,A78-B142,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A78,B150,A78-B150,2,3894,0.0005136106831022085
B4_M_bcfr,4MXB,bcfr,B4,3,A78,B151,A78-B151,151,3894,0.03877760657421674
B4_M_bcfr,4MXB,bcfr,B4,3,A78,B171,A78-B171,3,3894,0.0007704160246533128
B4_M_bcfr,4MXB,bcfr,B4,3,A78,B23,A78-B23,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A78,B26,A78-B26,7,3894,0.0017976373908577298
B4_M_bcfr,4MXB,bcfr,B4,3,A78,B70,A78-B70,10,3894,0.0025680534155110425
B4_M_bcfr,4MXB,bcfr,B4,3,A78,B77,A78-B77,475,3894,0.12198253723677452
B4_M_bcfr,4MXB,bcfr,B4,3,A78,B84,A78-B84,61,3894,0.01566512583461736
B4_M_bcfr,4MXB,bcfr,B4,3,A78,B9,A78-B9,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A78,B93,A78-B93,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A78,B97,A78-B97,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B12,A81-B12,3,3894,0.0007704160246533128
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B132,A81-B132,78,3894,0.020030816640986132
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B137,A81-B137,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B140,A81-B140,14,3894,0.0035952747817154596
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B15,A81-B15,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B171,A81-B171,6,3894,0.0015408320493066256
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B18,A81-B18,31,3894,0.007960965588084233
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B27,A81-B27,33,3894,0.00847457627118644
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B3,A81-B3,5,3894,0.0012840267077555213
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B4,A81-B4,2,3894,0.0005136106831022085
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B40,A81-B40,10,3894,0.0025680534155110425
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B42,A81-B42,3,3894,0.0007704160246533128
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B5,A81-B5,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B51,A81-B51,6,3894,0.0015408320493066256
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B65,A81-B65,5,3894,0.0012840267077555213
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B75,A81-B75,17,3894,0.004365690806368772
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B77,A81-B77,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B8,A81-B8,1010,3894,0.2593733949666153
B4_M_bcfr,4MXB,bcfr,B4,3,A81,B84,A81-B84,18,3894,0.004622496147919877
B4_M_bcfr,4MXB,bcfr,B4,3,A83,B50,A83-B50,10,3894,0.0025680534155110425
B4_M_bcfr,4MXB,bcfr,B4,3,A89,B119,A89-B119,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A90,B119,A90-B119,9,3894,0.0023112480739599386
B4_M_bcfr,4MXB,bcfr,B4,3,A90,B120,A90-B120,28,3894,0.007190549563430919
B4_M_bcfr,4MXB,bcfr,B4,3,A90,B145,A90-B145,20,3894,0.005136106831022085
B4_M_bcfr,4MXB,bcfr,B4,3,A90,B151,A90-B151,31,3894,0.007960965588084233
B4_M_bcfr,4MXB,bcfr,B4,3,A90,B154,A90-B154,3,3894,0.0007704160246533128
B4_M_bcfr,4MXB,bcfr,B4,3,A90,B155,A90-B155,19,3894,0.004879301489470981
B4_M_bcfr,4MXB,bcfr,B4,3,A90,B159,A90-B159,3,3894,0.0007704160246533128
B4_M_bcfr,4MXB,bcfr,B4,3,A90,B18,A90-B18,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A90,B47,A90-B47,2,3894,0.0005136106831022085
B4_M_bcfr,4MXB,bcfr,B4,3,A90,B59,A90-B59,3,3894,0.0007704160246533128
B4_M_bcfr,4MXB,bcfr,B4,3,A90,B84,A90-B84,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,3,A96,B140,A96-B140,2,3894,0.0005136106831022085
B4_M_bcfr,4MXB,bcfr,B4,3,A96,B75,A96-B75,3,3894,0.0007704160246533128
B4_M_bcfr,4MXB,bcfr,B4,3,A96,B79,A96-B79,4,3894,0.001027221366204417
B4_M_bcfr,4MXB,bcfr,B4,3,A96,B87,A96-B87,2,3894,0.0005136106831022085
B4_M_bcfr,4MXB,bcfr,B4,3,A98,B77,A98-B77,1,3894,0.00025680534155110427
B4_M_bcfr,4MXB,bcfr,B4,4,A1,B87,A1-B87,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A135,B84,A135-B84,3,4139,0.000724812756704518
B4_M_bcfr,4MXB,bcfr,B4,4,A143,B148,A143-B148,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A143,B84,A143-B84,845,4139,0.20415559313843923
B4_M_bcfr,4MXB,bcfr,B4,4,A143,B93,A143-B93,2,4139,0.00048320850446967865
B4_M_bcfr,4MXB,bcfr,B4,4,A145,B8,A145-B8,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A151,B19,A151-B19,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A152,B100,A152-B100,19,4139,0.004590480792461948
B4_M_bcfr,4MXB,bcfr,B4,4,A152,B151,A152-B151,7,4139,0.0016912297656438754
B4_M_bcfr,4MXB,bcfr,B4,4,A153,B30,A153-B30,42,4139,0.010147378593863252
B4_M_bcfr,4MXB,bcfr,B4,4,A153,B6,A153-B6,30,4139,0.00724812756704518
B4_M_bcfr,4MXB,bcfr,B4,4,A159,B24,A159-B24,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A159,B49,A159-B49,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A159,B77,A159-B77,9,4139,0.002174438270113554
B4_M_bcfr,4MXB,bcfr,B4,4,A176,B104,A176-B104,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A176,B119,A176-B119,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A186,B30,A186-B30,3,4139,0.000724812756704518
B4_M_bcfr,4MXB,bcfr,B4,4,A186,B79,A186-B79,10,4139,0.0024160425223483935
B4_M_bcfr,4MXB,bcfr,B4,4,A191,B84,A191-B84,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A193,B77,A193-B77,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B107,A196-B107,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B117,A196-B117,236,4139,0.05701860352742208
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B122,A196-B122,7,4139,0.0016912297656438754
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B123,A196-B123,10,4139,0.0024160425223483935
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B139,A196-B139,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B15,A196-B15,29,4139,0.007006523314810341
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B150,A196-B150,17,4139,0.004107272287992268
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B151,A196-B151,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B171,A196-B171,60,4139,0.01449625513409036
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B2,A196-B2,32,4139,0.007731336071514858
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B27,A196-B27,84,4139,0.020294757187726505
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B30,A196-B30,13,4139,0.0031408552790529115
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B39,A196-B39,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B59,A196-B59,124,4139,0.029958927277120077
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B6,A196-B6,4,4139,0.0009664170089393573
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B75,A196-B75,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B8,A196-B8,11,4139,0.0026576467745832327
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B85,A196-B85,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B86,A196-B86,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A196,B87,A196-B87,226,4139,0.05460256100507369
B4_M_bcfr,4MXB,bcfr,B4,4,A20,B178,A20-B178,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A20,B30,A20-B30,5,4139,0.0012080212611741967
B4_M_bcfr,4MXB,bcfr,B4,4,A20,B60,A20-B60,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A20,B84,A20-B84,2,4139,0.00048320850446967865
B4_M_bcfr,4MXB,bcfr,B4,4,A63,B117,A63-B117,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A63,B151,A63-B151,9,4139,0.002174438270113554
B4_M_bcfr,4MXB,bcfr,B4,4,A78,B103,A78-B103,2,4139,0.00048320850446967865
B4_M_bcfr,4MXB,bcfr,B4,4,A78,B109,A78-B109,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A78,B137,A78-B137,159,4139,0.03841507610533945
B4_M_bcfr,4MXB,bcfr,B4,4,A78,B150,A78-B150,3,4139,0.000724812756704518
B4_M_bcfr,4MXB,bcfr,B4,4,A78,B151,A78-B151,96,4139,0.023194008214544575
B4_M_bcfr,4MXB,bcfr,B4,4,A78,B171,A78-B171,2,4139,0.00048320850446967865
B4_M_bcfr,4MXB,bcfr,B4,4,A78,B26,A78-B26,3,4139,0.000724812756704518
B4_M_bcfr,4MXB,bcfr,B4,4,A78,B68,A78-B68,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A78,B70,A78-B70,4,4139,0.0009664170089393573
B4_M_bcfr,4MXB,bcfr,B4,4,A78,B73,A78-B73,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A78,B77,A78-B77,319,4139,0.07707175646291375
B4_M_bcfr,4MXB,bcfr,B4,4,A78,B84,A78-B84,39,4139,0.009422565837158734
B4_M_bcfr,4MXB,bcfr,B4,4,A81,B12,A81-B12,4,4139,0.0009664170089393573
B4_M_bcfr,4MXB,bcfr,B4,4,A81,B132,A81-B132,31,4139,0.007489731819280019
B4_M_bcfr,4MXB,bcfr,B4,4,A81,B136,A81-B136,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A81,B140,A81-B140,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A81,B18,A81-B18,8,4139,0.0019328340178787146
B4_M_bcfr,4MXB,bcfr,B4,4,A81,B27,A81-B27,20,4139,0.004832085044696787
B4_M_bcfr,4MXB,bcfr,B4,4,A81,B40,A81-B40,10,4139,0.0024160425223483935
B4_M_bcfr,4MXB,bcfr,B4,4,A81,B42,A81-B42,4,4139,0.0009664170089393573
B4_M_bcfr,4MXB,bcfr,B4,4,A81,B51,A81-B51,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A81,B65,A81-B65,4,4139,0.0009664170089393573
B4_M_bcfr,4MXB,bcfr,B4,4,A81,B75,A81-B75,14,4139,0.0033824595312877508
B4_M_bcfr,4MXB,bcfr,B4,4,A81,B8,A81-B8,1452,4139,0.3508093742449867
B4_M_bcfr,4MXB,bcfr,B4,4,A81,B84,A81-B84,16,4139,0.003865668035757429
B4_M_bcfr,4MXB,bcfr,B4,4,A83,B137,A83-B137,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A83,B50,A83-B50,3,4139,0.000724812756704518
B4_M_bcfr,4MXB,bcfr,B4,4,A90,B119,A90-B119,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A90,B120,A90-B120,20,4139,0.004832085044696787
B4_M_bcfr,4MXB,bcfr,B4,4,A90,B145,A90-B145,7,4139,0.0016912297656438754
B4_M_bcfr,4MXB,bcfr,B4,4,A90,B151,A90-B151,27,4139,0.006523314810340662
B4_M_bcfr,4MXB,bcfr,B4,4,A90,B154,A90-B154,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A90,B155,A90-B155,5,4139,0.0012080212611741967
B4_M_bcfr,4MXB,bcfr,B4,4,A90,B18,A90-B18,3,4139,0.000724812756704518
B4_M_bcfr,4MXB,bcfr,B4,4,A90,B26,A90-B26,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A90,B47,A90-B47,3,4139,0.000724812756704518
B4_M_bcfr,4MXB,bcfr,B4,4,A90,B59,A90-B59,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A90,B84,A90-B84,2,4139,0.00048320850446967865
B4_M_bcfr,4MXB,bcfr,B4,4,A93,B8,A93-B8,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,4,A96,B140,A96-B140,3,4139,0.000724812756704518
B4_M_bcfr,4MXB,bcfr,B4,4,A96,B75,A96-B75,2,4139,0.00048320850446967865
B4_M_bcfr,4MXB,bcfr,B4,4,A96,B79,A96-B79,2,4139,0.00048320850446967865
B4_M_bcfr,4MXB,bcfr,B4,4,A96,B87,A96-B87,1,4139,0.00024160425223483932
B4_M_bcfr,4MXB,bcfr,B4,13,A113,B8,A113-B8,1,3809,0.00026253609871357313
B4_M_bcfr,4MXB,bcfr,B4,13,A122,B79,A122-B79,1,3809,0.00026253609871357313
B4_M_bcfr,4MXB,bcfr,B4,13,A143,B76,A143-B76,1,3809,0.00026253609871357313
