Seqsample,Seqorder,Microtiter_plate_well,Sample,Experiment,Plate_name,Strain,DNA_construct,Replicate,Transfer,Isolate,Transformation_library,verA,verB,Candidate,Count
TFMN4.exp2.ACN3788.concX_largeLib_EcorI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B3,TFMN4.exp2.ACN3788.concX_largeLib_EcorI.1,TFMN4,exp2,ACN3788,concX_largeLib_EcorI,1,3,P,verABLib_large,A78,B3,A78-B3,1
TFMN4.exp2.ACN3788.concX_largeLib_EcorI.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B3,TFMN4.exp2.ACN3788.concX_largeLib_EcorI.1,TFMN4,exp2,ACN3788,concX_largeLib_EcorI,1,3,P,verABLib_large,A83,B151,A83-B151,38
TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B8,TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.1,TFMN4,exp2,ACN3788,concX_largeLib_PCR_DpnI_cleanup,1,3,P,verABLib_large,A145,B151,A145-B151,1
TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B8,TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.1,TFMN4,exp2,ACN3788,concX_largeLib_PCR_DpnI_cleanup,1,3,P,verABLib_large,A153,B151,A153-B151,10
TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.1.T3.P,SeqCenter_2026-05-26_QUO1022807,B8,TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.1,TFMN4,exp2,ACN3788,concX_largeLib_PCR_DpnI_cleanup,1,3,P,verABLib_large,A153,B168,A153-B168,2
TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B8,TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.1,TFMN4,exp2,ACN3788,concX_largeLib_PCR_DpnI_cleanup,1,4,P,verABLib_large,A153,B151,A153-B151,230
TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B8,TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.1,TFMN4,exp2,ACN3788,concX_largeLib_PCR_DpnI_cleanup,1,4,P,verABLib_large,A153,B168,A153-B168,16
TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.1.T4.P,SeqCenter_2026-05-26_QUO1022807,B8,TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.1,TFMN4,exp2,ACN3788,concX_largeLib_PCR_DpnI_cleanup,1,4,P,verABLib_large,A155,B151,A155-B151,1
TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.3.T3.P,SeqCenter_2026-05-26_QUO1022807,D8,TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.3,TFMN4,exp2,ACN3788,concX_largeLib_PCR_DpnI_cleanup,3,3,P,verABLib_large,A78,B117,A78-B117,1
TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.3.T4.P,SeqCenter_2026-05-26_QUO1022807,D8,TFMN4.exp2.ACN3788.concX_largeLib_PCR_DpnI_cleanup.3,TFMN4,exp2,ACN3788,concX_largeLib_PCR_DpnI_cleanup,3,4,P,verABLib_large,A78,B117,A78-B117,24
