region,lineage,sample,transfer,copy_number
dgoA*,TFMN1.fba.pgi.3,TFMN1.fba.pgi.3.T8.P,8,1.228
dgoA*,TFMN1.fba.pgi.3,TFMN1.fba.pgi.3.T20.P,20,1.563
dgoA*,TFMN1.fba.pgi.3,TFMN1.fba.pgi.3.T25.P,25,1.384
dgoA*,TFMN1.fba.pgi.3,TFMN1.fba.pgi.3.T25.L1,25,1.225
dgoA*,TFMN1.fba.pgi.3,TFMN1.fba.pgi.3.T25.L2,25,1.150
dgoA*,TFMN1.fba.pgi.3,TFMN1.fba.pgi.3.T25.S1,25,1.729
dgoA*,TFMN1.fba.pgi.3,TFMN1.fba.pgi.3.T25.S2,25,0.782
dgoA*,TFMN1.fba.pgi.3,TFMN1.fba.pgi.3.T32.P,32,1.134
dgoA*,TFMN1.fba.pgi.4,TFMN1.fba.pgi.4.T1.P,1,0.623
dgoA*,TFMN1.fba.pgi.4,TFMN1.fba.pgi.4.T5.P,5,0.937
dgoA*,TFMN1.fba.pgi.4,TFMN1.fba.pgi.4.T8.P,8,0.827
dgoA*,TFMN1.fba.pgi.4,TFMN1.fba.pgi.4.T20.P,20,0.900
dgoA*,TFMN1.fba.pgi.4,TFMN1.fba.pgi.4.T25.P,25,0.759
dgoA*,TFMN1.fba.pgi.4,TFMN1.fba.pgi.4.T25.L1,25,1.300
dgoA*,TFMN1.fba.pgi.4,TFMN1.fba.pgi.4.T25.L2,25,1.345
dgoA*,TFMN1.fba.pgi.4,TFMN1.fba.pgi.4.T25.S1,25,0.836
dgoA*,TFMN1.fba.pgi.4,TFMN1.fba.pgi.4.T25.S2,25,0.850
dgoA*,TFMN1.fba.pgi.4,TFMN1.fba.pgi.4.T32.P,32,1.075
dgoA*,TFMN1.fba.sohB.1,TFMN1.fba.sohB.1.T1.P,1,0.711
dgoA*,TFMN1.fba.sohB.1,TFMN1.fba.sohB.1.T5.P,5,0.802
dgoA*,TFMN1.fba.sohB.1,TFMN1.fba.sohB.1.T8.P,8,0.869
dgoA*,TFMN1.fba.sohB.1,TFMN1.fba.sohB.1.T20.P,20,0.750
dgoA*,TFMN1.fba.sohB.1,TFMN1.fba.sohB.1.T32.P,32,0.717
dgoA*,TFMN1.fba.sohB.2,TFMN1.fba.sohB.2.T25.P,25,1.174
dgoA*,TFMN1.fba.sohB.2,TFMN1.fba.sohB.2.T25.L1,25,1.683
dgoA*,TFMN1.fba.sohB.2,TFMN1.fba.sohB.2.T25.L2,25,1.525
dgoA*,TFMN1.fba.sohB.2,TFMN1.fba.sohB.2.T25.S1,25,0.794
dgoA*,TFMN1.fba.sohB.2,TFMN1.fba.sohB.2.T25.S2,25,0.753
dgoA*,TFMN1.fba.sohB.3,TFMN1.fba.sohB.3.T1.P,1,0.705
dgoA*,TFMN1.fba.sohB.3,TFMN1.fba.sohB.3.T5.P,5,0.945
dgoA*,TFMN1.fba.sohB.3,TFMN1.fba.sohB.3.T8.P,8,1.183
dgoA*,TFMN1.fba.sohB.3,TFMN1.fba.sohB.3.T20.P,20,0.826
dgoA*,TFMN1.fba.sohB.3,TFMN1.fba.sohB.3.T32.P,32,0.710
dgoA*,TFMN1.fba.sohB.4,TFMN1.fba.sohB.4.T1.P,1,0.655
dgoA*,TFMN1.fba.sohB.4,TFMN1.fba.sohB.4.T5.P,5,0.736
dgoA*,TFMN1.fba.sohB.4,TFMN1.fba.sohB.4.T8.P,8,1.269
dgoA*,TFMN1.fba.sohB.4,TFMN1.fba.sohB.4.T20.P,20,1.186
dgoA*,TFMN1.fba.sohB.4,TFMN1.fba.sohB.4.T25.P,25,0.918
dgoA*,TFMN1.fba.sohB.4,TFMN1.fba.sohB.4.T25.L1,25,0.602
dgoA*,TFMN1.fba.sohB.4,TFMN1.fba.sohB.4.T25.L2,25,0.690
dgoA*,TFMN1.fba.sohB.4,TFMN1.fba.sohB.4.T25.S1,25,2.322
dgoA*,TFMN1.fba.sohB.4,TFMN1.fba.sohB.4.T25.S2,25,2.689
dgoA*,TFMN1.fba.sohB.4,TFMN1.fba.sohB.4.T32.P,32,1.010
dgoA*,TFMN1.fba.tpiA.1,TFMN1.fba.tpiA.1.T1.P,1,0.686
dgoA*,TFMN1.fba.tpiA.1,TFMN1.fba.tpiA.1.T5.P,5,0.646
dgoA*,TFMN1.fba.tpiA.1,TFMN1.fba.tpiA.1.T8.P,8,0.671
dgoA*,TFMN1.fba.tpiA.1,TFMN1.fba.tpiA.1.T20.P,20,0.712
dgoA*,TFMN1.fba.tpiA.1,TFMN1.fba.tpiA.1.T32.P,32,0.734
dgoA*,TFMN1.fba.tpiA.3,TFMN1.fba.tpiA.3.T1.P,1,0.704
dgoA*,TFMN1.fba.tpiA.3,TFMN1.fba.tpiA.3.T5.P,5,0.725
dgoA*,TFMN1.fba.tpiA.3,TFMN1.fba.tpiA.3.T8.P,8,0.763
dgoA*,TFMN1.fba.tpiA.3,TFMN1.fba.tpiA.3.T20.P,20,0.759
dgoA*,TFMN1.fba.tpiA.3,TFMN1.fba.tpiA.3.T32.P,32,0.691
dgoA*,TFMN1.fba.tpiA.4,TFMN1.fba.tpiA.4.T1.P,1,0.740
dgoA*,TFMN1.fba.tpiA.4,TFMN1.fba.tpiA.4.T5.P,5,0.673
dgoA*,TFMN1.fba.tpiA.4,TFMN1.fba.tpiA.4.T8.P,8,0.780
dgoA*,TFMN1.fba.tpiA.4,TFMN1.fba.tpiA.4.T20.P,20,0.681
dgoA*,TFMN1.fba.tpiA.4,TFMN1.fba.tpiA.4.T32.P,32,0.710
dgoA*,TFMN1.noDNA.2,TFMN1.noDNA.2.T1.P,1,0.705
dgoA*,TFMN1.noDNA.2,TFMN1.noDNA.2.T5.P,5,1.552
dgoA*,TFMN1.noDNA.2,TFMN1.noDNA.2.T10.P,10,1.877
dgoA*,TFMN1.noDNA.2,TFMN1.noDNA.2.T11.P,11,1.796
dgoA*,TFMN1.noDNA.2,TFMN1.noDNA.2.T11.S1,11,2.979
dgoA*,TFMN1.noDNA.2,TFMN1.noDNA.2.T11.S2,11,3.197
dgoA*,TFMN1.noDNA.2,TFMN1.noDNA.2.T12.P,12,1.839
dgoA*,TFMN1.noDNA.2,TFMN1.noDNA.2.T20.P,20,2.321
dgoA*,TFMN1.noDNA.2,TFMN1.noDNA.2.T20.S1,20,3.079
dgoA*,TFMN1.noDNA.2,TFMN1.noDNA.2.T20.S2,20,2.880
dgoA*,TFMN1.noDNA.2,TFMN1.noDNA.2.T32.P,32,2.170
dgoA*,TFMN1.noDNA.2,TFMN1.noDNA.2.T32.S1,32,2.139
dgoA*,TFMN1.noDNA.2,TFMN1.noDNA.2.T32.S2,32,2.317
dgoA*,TFMN1.noDNA.5,TFMN1.noDNA.5.T1.P,1,0.670
dgoA*,TFMN1.noDNA.5,TFMN1.noDNA.5.T5.P,5,0.686
dgoA*,TFMN1.pgi.1,TFMN1.pgi.1.T1.P,1,0.685
dgoA*,TFMN1.pgi.1,TFMN1.pgi.1.T5.P,5,1.558
dgoA*,TFMN1.pgi.1,TFMN1.pgi.1.T8.P,8,2.428
dgoA*,TFMN1.pgi.1,TFMN1.pgi.1.T9.P,9,2.277
dgoA*,TFMN1.pgi.1,TFMN1.pgi.1.T10.P,10,2.305
dgoA*,TFMN1.pgi.1,TFMN1.pgi.1.T11.P,11,2.328
dgoA*,TFMN1.pgi.1,TFMN1.pgi.1.T11.S1,11,3.092
dgoA*,TFMN1.pgi.1,TFMN1.pgi.1.T11.S2,11,3.168
dgoA*,TFMN1.pgi.1,TFMN1.pgi.1.T18.P,18,2.800
dgoA*,TFMN1.pgi.1,TFMN1.pgi.1.T32.P,32,10.616
dgoA*,TFMN1.pgi.1,TFMN1.pgi.1.T32.S1,32,9.697
dgoA*,TFMN1.pgi.1,TFMN1.pgi.1.T32.S2,32,7.827
dgoA*,TFMN1.pgi.2,TFMN1.pgi.2.T1.P,1,0.720
dgoA*,TFMN1.pgi.2,TFMN1.pgi.2.T5.P,5,1.022
dgoA*,TFMN1.pgi.2,TFMN1.pgi.2.T18.P,18,1.617
dgoA*,TFMN1.pgi.2,TFMN1.pgi.2.T18.S1,18,1.829
dgoA*,TFMN1.pgi.2,TFMN1.pgi.2.T18.S2,18,2.215
dgoA*,TFMN1.pgi.2,TFMN1.pgi.2.T32.P,32,2.213
dgoA*,TFMN1.pgi.2,TFMN1.pgi.2.T32.S1,32,1.857
dgoA*,TFMN1.pgi.2,TFMN1.pgi.2.T32.S2,32,1.900
dgoA*,TFMN1.pgi.3,TFMN1.pgi.3.T1.P,1,0.758
dgoA*,TFMN1.pgi.3,TFMN1.pgi.3.T5.P,5,0.872
dgoA*,TFMN1.pgi.tpiA.1,TFMN1.pgi.tpiA.1.T1.P,1,0.685
dgoA*,TFMN1.pgi.tpiA.1,TFMN1.pgi.tpiA.1.T5.P,5,0.664
dgoA*,TFMN1.pgi.tpiA.1,TFMN1.pgi.tpiA.1.T11.P,11,0.717
dgoA*,TFMN1.pgi.tpiA.1,TFMN1.pgi.tpiA.1.T20.P,20,0.788
dgoA*,TFMN1.pgi.tpiA.1,TFMN1.pgi.tpiA.1.T32.P,32,0.645
dgoA*,TFMN1.pgi.tpiA.2,TFMN1.pgi.tpiA.2.T1.P,1,0.612
dgoA*,TFMN1.pgi.tpiA.2,TFMN1.pgi.tpiA.2.T5.P,5,0.706
dgoA*,TFMN1.pgi.tpiA.2,TFMN1.pgi.tpiA.2.T11.P,11,0.659
dgoA*,TFMN1.pgi.tpiA.2,TFMN1.pgi.tpiA.2.T20.P,20,0.693
dgoA*,TFMN1.pgi.tpiA.2,TFMN1.pgi.tpiA.2.T32.P,32,0.698
dgoA*,TFMN1.pgi.tpiA.3,TFMN1.pgi.tpiA.3.T1.P,1,0.699
dgoA*,TFMN1.pgi.tpiA.3,TFMN1.pgi.tpiA.3.T5.P,5,0.632
dgoA*,TFMN1.pgi.tpiA.3,TFMN1.pgi.tpiA.3.T11.P,11,0.646
dgoA*,TFMN1.pgi.tpiA.3,TFMN1.pgi.tpiA.3.T20.P,20,0.620
dgoA*,TFMN1.pgi.tpiA.3,TFMN1.pgi.tpiA.3.T32.P,32,0.659
dgoA*,TFMN1.sohB.1,TFMN1.sohB.1.T1.P,1,0.704
dgoA*,TFMN1.sohB.1,TFMN1.sohB.1.T5.P,5,0.972
dgoA*,TFMN1.sohB.1,TFMN1.sohB.1.T6.P,6,1.085
dgoA*,TFMN1.sohB.1,TFMN1.sohB.1.T6.S1,6,1.968
dgoA*,TFMN1.sohB.1,TFMN1.sohB.1.T6.S2,6,1.948
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T1.P,1,0.668
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T5.P,5,1.003
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T13.P,13,2.575
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T14.P,14,2.737
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T14.S1,14,2.894
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T14.S2,14,2.742
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T15.P,15,2.566
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T18.P,18,2.637
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T25.P,25,2.164
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T25.L1,25,2.620
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T25.L2,25,2.091
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T25.S1,25,1.644
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T25.S2,25,2.867
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T32.P,32,2.451
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T32.S1,32,2.352
dgoA*,TFMN1.sohB.4,TFMN1.sohB.4.T32.S2,32,1.843
dgoA*,TFMN1.sohB.5,TFMN1.sohB.5.T1.P,1,0.701
dgoA*,TFMN1.sohB.5,TFMN1.sohB.5.T5.P,5,0.931
dgoA*,TFMN1.sohB.5,TFMN1.sohB.5.T18.P,18,1.531
dgoA*,TFMN1.sohB.5,TFMN1.sohB.5.T18.S1,18,2.022
dgoA*,TFMN1.sohB.5,TFMN1.sohB.5.T18.S2,18,1.853
dgoA*,TFMN1.sohB.5,TFMN1.sohB.5.T25.P,25,1.425
dgoA*,TFMN1.sohB.5,TFMN1.sohB.5.T25.L1,25,2.001
dgoA*,TFMN1.sohB.5,TFMN1.sohB.5.T25.L2,25,1.848
dgoA*,TFMN1.sohB.5,TFMN1.sohB.5.T25.S1,25,1.842
dgoA*,TFMN1.sohB.5,TFMN1.sohB.5.T25.S2,25,1.974
dgoA*,TFMN1.sohB.5,TFMN1.sohB.5.T32.P,32,1.635
dgoA*,TFMN1.sohB.5,TFMN1.sohB.5.T32.S1,32,1.752
dgoA*,TFMN1.sohB.5,TFMN1.sohB.5.T32.S2,32,1.788
dgoA*,TFMN1.sohB.pgi.2,TFMN1.sohB.pgi.2.T1.P,1,0.650
dgoA*,TFMN1.sohB.pgi.2,TFMN1.sohB.pgi.2.T5.P,5,0.666
dgoA*,TFMN1.sohB.pgi.5,TFMN1.sohB.pgi.5.T1.P,1,0.699
dgoA*,TFMN1.sohB.pgi.5,TFMN1.sohB.pgi.5.T5.P,5,0.683
dgoA*,TFMN1.sohB.tpiA.2,TFMN1.sohB.tpiA.2.T1.P,1,0.704
dgoA*,TFMN1.sohB.tpiA.2,TFMN1.sohB.tpiA.2.T5.P,5,0.676
dgoA*,TFMN1.sohB.tpiA.2,TFMN1.sohB.tpiA.2.T11.P,11,0.628
dgoA*,TFMN1.sohB.tpiA.2,TFMN1.sohB.tpiA.2.T20.P,20,0.731
dgoA*,TFMN1.sohB.tpiA.2,TFMN1.sohB.tpiA.2.T32.P,32,0.783
dgoA*,TFMN1.sohB.tpiA.5,TFMN1.sohB.tpiA.5.T1.P,1,0.710
dgoA*,TFMN1.sohB.tpiA.5,TFMN1.sohB.tpiA.5.T5.P,5,0.889
dgoA*,TFMN1.sohB.tpiA.5,TFMN1.sohB.tpiA.5.T11.P,11,1.819
dgoA*,TFMN1.sohB.tpiA.5,TFMN1.sohB.tpiA.5.T20.P,20,1.768
dgoA*,TFMN1.sohB.tpiA.5,TFMN1.sohB.tpiA.5.T32.P,32,1.360
dgoA*,TFMN1.tpiA.2,TFMN1.tpiA.2.T1.P,1,0.681
dgoA*,TFMN1.tpiA.2,TFMN1.tpiA.2.T5.P,5,0.717
dgoA*,TFMN1.tpiA.2,TFMN1.tpiA.2.T11.P,11,0.743
dgoA*,TFMN1.tpiA.2,TFMN1.tpiA.2.T20.P,20,0.759
dgoA*,TFMN1.tpiA.2,TFMN1.tpiA.2.T32.P,32,0.785
dgoA*,TFMN1.tpiA.5,TFMN1.tpiA.5.T1.P,1,0.740
dgoA*,TFMN1.tpiA.5,TFMN1.tpiA.5.T5.P,5,0.757
dgoA*,TFMN1.tpiA.5,TFMN1.tpiA.5.T11.P,11,0.941
dgoA*,TFMN1.tpiA.5,TFMN1.tpiA.5.T20.P,20,0.773
dgoA*,TFMN1.tpiA.5,TFMN1.tpiA.5.T32.P,32,0.649
dgoA*,TFMN4.exp1.combo10MUT.1,TFMN4.exp1.combo10MUT.1.T8.P,8,0.696
dgoA*,TFMN4.exp1.combo10MUT.1,TFMN4.exp1.combo10MUT.1.T9.P,9,0.805
dgoA*,TFMN4.exp1.combo10MUT.1,TFMN4.exp1.combo10MUT.1.T30.P,30,0.920
dgoA*,TFMN4.exp1.combo10MUT.2,TFMN4.exp1.combo10MUT.2.T8.P,8,0.815
dgoA*,TFMN4.exp1.combo10MUT.2,TFMN4.exp1.combo10MUT.2.T9.P,9,0.755
dgoA*,TFMN4.exp1.combo10MUT.2,TFMN4.exp1.combo10MUT.2.T30.P,30,0.832
dgoA*,TFMN4.exp1.combo10MUT.3,TFMN4.exp1.combo10MUT.3.T8.P,8,0.798
dgoA*,TFMN4.exp1.combo10MUT.3,TFMN4.exp1.combo10MUT.3.T9.P,9,0.812
dgoA*,TFMN4.exp1.combo10MUT.3,TFMN4.exp1.combo10MUT.3.T30.P,30,0.781
dgoA*,TFMN4.exp1.combo10MUT.4,TFMN4.exp1.combo10MUT.4.T8.P,8,0.867
dgoA*,TFMN4.exp1.combo10MUT.4,TFMN4.exp1.combo10MUT.4.T9.P,9,0.817
dgoA*,TFMN4.exp1.combo10MUT.4,TFMN4.exp1.combo10MUT.4.T30.P,30,0.946
dgoA*,TFMN4.exp1.combo10MUT.5,TFMN4.exp1.combo10MUT.5.T8.P,8,0.806
dgoA*,TFMN4.exp1.combo10MUT.5,TFMN4.exp1.combo10MUT.5.T9.P,9,0.818
dgoA*,TFMN4.exp1.combo10MUT.5,TFMN4.exp1.combo10MUT.5.T30.P,30,0.821
dgoA*,TFMN4.exp1.combo10WT.1,TFMN4.exp1.combo10WT.1.T9.P,9,1.507
dgoA*,TFMN4.exp1.combo10WT.1,TFMN4.exp1.combo10WT.1.T30.P,30,2.629
dgoA*,TFMN4.exp1.combo10WT.2,TFMN4.exp1.combo10WT.2.T9.P,9,2.734
dgoA*,TFMN4.exp1.combo10WT.2,TFMN4.exp1.combo10WT.2.T30.P,30,4.714
dgoA*,TFMN4.exp1.combo10WT.3,TFMN4.exp1.combo10WT.3.T8.P,8,1.080
dgoA*,TFMN4.exp1.combo10WT.3,TFMN4.exp1.combo10WT.3.T9.P,9,1.426
dgoA*,TFMN4.exp1.combo10WT.3,TFMN4.exp1.combo10WT.3.T30.P,30,3.718
dgoA*,TFMN4.exp1.combo10WT.4,TFMN4.exp1.combo10WT.4.T8.P,8,1.129
dgoA*,TFMN4.exp1.combo10WT.4,TFMN4.exp1.combo10WT.4.T9.P,9,1.775
dgoA*,TFMN4.exp1.combo10WT.4,TFMN4.exp1.combo10WT.4.T30.P,30,3.810
dgoA*,TFMN4.exp1.combo10WT.5,TFMN4.exp1.combo10WT.5.T8.P,8,1.073
dgoA*,TFMN4.exp1.combo10WT.5,TFMN4.exp1.combo10WT.5.T9.P,9,1.435
dgoA*,TFMN4.exp1.combo10WT.5,TFMN4.exp1.combo10WT.5.T30.P,30,2.538
dgoA*,TFMN4.exp1.combo5aMUT.1,TFMN4.exp1.combo5aMUT.1.T8.P,8,1.323
dgoA*,TFMN4.exp1.combo5aMUT.1,TFMN4.exp1.combo5aMUT.1.T9.P,9,1.447
dgoA*,TFMN4.exp1.combo5aMUT.1,TFMN4.exp1.combo5aMUT.1.T30.P,30,0.815
dgoA*,TFMN4.exp1.combo5aMUT.2,TFMN4.exp1.combo5aMUT.2.T8.P,8,1.353
dgoA*,TFMN4.exp1.combo5aMUT.2,TFMN4.exp1.combo5aMUT.2.T9.P,9,1.455
dgoA*,TFMN4.exp1.combo5aMUT.2,TFMN4.exp1.combo5aMUT.2.T30.P,30,3.446
dgoA*,TFMN4.exp1.combo5aMUT.3,TFMN4.exp1.combo5aMUT.3.T8.P,8,0.962
dgoA*,TFMN4.exp1.combo5aMUT.3,TFMN4.exp1.combo5aMUT.3.T9.P,9,1.592
dgoA*,TFMN4.exp1.combo5aMUT.3,TFMN4.exp1.combo5aMUT.3.T30.P,30,2.437
dgoA*,TFMN4.exp1.combo5aMUT.4,TFMN4.exp1.combo5aMUT.4.T8.P,8,1.075
dgoA*,TFMN4.exp1.combo5aMUT.4,TFMN4.exp1.combo5aMUT.4.T9.P,9,1.065
dgoA*,TFMN4.exp1.combo5aMUT.4,TFMN4.exp1.combo5aMUT.4.T30.P,30,0.977
dgoA*,TFMN4.exp1.combo5aMUT.5,TFMN4.exp1.combo5aMUT.5.T8.P,8,0.980
dgoA*,TFMN4.exp1.combo5aMUT.5,TFMN4.exp1.combo5aMUT.5.T9.P,9,1.328
dgoA*,TFMN4.exp1.combo5aMUT.5,TFMN4.exp1.combo5aMUT.5.T30.P,30,3.699
dgoA*,TFMN4.exp1.combo5aWT.1,TFMN4.exp1.combo5aWT.1.T8.P,8,1.259
dgoA*,TFMN4.exp1.combo5aWT.1,TFMN4.exp1.combo5aWT.1.T9.P,9,1.428
dgoA*,TFMN4.exp1.combo5aWT.1,TFMN4.exp1.combo5aWT.1.T30.P,30,3.874
dgoA*,TFMN4.exp1.combo5aWT.2,TFMN4.exp1.combo5aWT.2.T9.P,9,1.319
dgoA*,TFMN4.exp1.combo5aWT.2,TFMN4.exp1.combo5aWT.2.T30.P,30,1.287
dgoA*,TFMN4.exp1.combo5aWT.3,TFMN4.exp1.combo5aWT.3.T8.P,8,1.111
dgoA*,TFMN4.exp1.combo5aWT.3,TFMN4.exp1.combo5aWT.3.T9.P,9,1.937
dgoA*,TFMN4.exp1.combo5aWT.3,TFMN4.exp1.combo5aWT.3.T30.P,30,5.128
dgoA*,TFMN4.exp1.combo5aWT.4,TFMN4.exp1.combo5aWT.4.T8.P,8,3.026
dgoA*,TFMN4.exp1.combo5aWT.4,TFMN4.exp1.combo5aWT.4.T9.P,9,4.691
dgoA*,TFMN4.exp1.combo5aWT.4,TFMN4.exp1.combo5aWT.4.T30.P,30,4.495
dgoA*,TFMN4.exp1.combo5aWT.5,TFMN4.exp1.combo5aWT.5.T8.P,8,2.083
dgoA*,TFMN4.exp1.combo5aWT.5,TFMN4.exp1.combo5aWT.5.T9.P,9,2.095
dgoA*,TFMN4.exp1.combo5aWT.5,TFMN4.exp1.combo5aWT.5.T30.P,30,2.494
dgoA*,TFMN4.exp1.combo5bMUT.1,TFMN4.exp1.combo5bMUT.1.T8.P,8,1.319
dgoA*,TFMN4.exp1.combo5bMUT.1,TFMN4.exp1.combo5bMUT.1.T9.P,9,1.814
dgoA*,TFMN4.exp1.combo5bMUT.1,TFMN4.exp1.combo5bMUT.1.T30.P,30,3.077
dgoA*,TFMN4.exp1.combo5bMUT.2,TFMN4.exp1.combo5bMUT.2.T8.P,8,1.035
dgoA*,TFMN4.exp1.combo5bMUT.2,TFMN4.exp1.combo5bMUT.2.T9.P,9,1.217
dgoA*,TFMN4.exp1.combo5bMUT.2,TFMN4.exp1.combo5bMUT.2.T30.P,30,1.612
dgoA*,TFMN4.exp1.combo5bMUT.3,TFMN4.exp1.combo5bMUT.3.T8.P,8,1.133
dgoA*,TFMN4.exp1.combo5bMUT.3,TFMN4.exp1.combo5bMUT.3.T9.P,9,1.313
dgoA*,TFMN4.exp1.combo5bMUT.3,TFMN4.exp1.combo5bMUT.3.T30.P,30,1.580
dgoA*,TFMN4.exp1.combo5bMUT.4,TFMN4.exp1.combo5bMUT.4.T8.P,8,1.605
dgoA*,TFMN4.exp1.combo5bMUT.4,TFMN4.exp1.combo5bMUT.4.T9.P,9,1.491
dgoA*,TFMN4.exp1.combo5bMUT.4,TFMN4.exp1.combo5bMUT.4.T30.P,30,1.212
dgoA*,TFMN4.exp1.combo5bMUT.5,TFMN4.exp1.combo5bMUT.5.T8.P,8,1.385
dgoA*,TFMN4.exp1.combo5bMUT.5,TFMN4.exp1.combo5bMUT.5.T9.P,9,1.532
dgoA*,TFMN4.exp1.combo5bMUT.5,TFMN4.exp1.combo5bMUT.5.T30.P,30,3.126
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.1,TFMN4.exp1.fbaMUT-tpiAMUT.1.T8.P,8,0.832
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.1,TFMN4.exp1.fbaMUT-tpiAMUT.1.T9.P,9,0.784
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.1,TFMN4.exp1.fbaMUT-tpiAMUT.1.T30.P,30,0.900
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.2,TFMN4.exp1.fbaMUT-tpiAMUT.2.T8.P,8,0.923
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.2,TFMN4.exp1.fbaMUT-tpiAMUT.2.T9.P,9,1.165
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.2,TFMN4.exp1.fbaMUT-tpiAMUT.2.T30.P,30,1.537
dgoA*,TFMN4.exp1.fbaMUT-tpiAMUT.3,TFMN4.exp1.fbaMUT-tpiAMUT.3.T8.P,8,0.795
