region,lineage,sample,transfer,copy_number
dgoA*,ANLstock.ACN2586.colony3,ANLstock.ACN2586.colony3,,0.530
dgoA*,TFMN1.fba.1,TFMN1.fba.1.T1.P,1,0.716
dgoA*,TFMN1.fba.1,TFMN1.fba.1.T5.P,5,1.693
dgoA*,TFMN1.fba.1,TFMN1.fba.1.T11.P,11,4.456
dgoA*,TFMN1.fba.1,TFMN1.fba.1.T20.P,20,4.645
dgoA*,TFMN1.fba.1,TFMN1.fba.1.T32.P,32,4.456
dgoA*,TFMN1.fba.2,TFMN1.fba.2.T1.P,1,0.774
dgoA*,TFMN1.fba.2,TFMN1.fba.2.T5.P,5,0.837
dgoA*,TFMN1.fba.2,TFMN1.fba.2.T11.P,11,1.342
dgoA*,TFMN1.fba.2,TFMN1.fba.2.T20.P,20,1.363
dgoA*,TFMN1.fba.2,TFMN1.fba.2.T25.P,25,0.885
dgoA*,TFMN1.fba.2,TFMN1.fba.2.T25.L1,25,1.233
dgoA*,TFMN1.fba.2,TFMN1.fba.2.T25.L2,25,1.172
dgoA*,TFMN1.fba.2,TFMN1.fba.2.T25.S1,25,0.842
dgoA*,TFMN1.fba.2,TFMN1.fba.2.T25.S2,25,0.771
dgoA*,TFMN1.fba.2,TFMN1.fba.2.T32.P,32,0.748
dgoA*,TFMN1.fba.3,TFMN1.fba.3.T25.P,25,1.107
dgoA*,TFMN1.fba.3,TFMN1.fba.3.T25.L1,25,0.832
dgoA*,TFMN1.fba.3,TFMN1.fba.3.T25.L2,25,0.762
dgoA*,TFMN1.fba.3,TFMN1.fba.3.T25.S1,25,1.685
dgoA*,TFMN1.fba.3,TFMN1.fba.3.T25.S2,25,1.717
dgoA*,TFMN1.fba.5,TFMN1.fba.5.T1.P,1,0.670
dgoA*,TFMN1.fba.5,TFMN1.fba.5.T5.P,5,1.145
dgoA*,TFMN1.fba.5,TFMN1.fba.5.T6.P,6,1.146
dgoA*,TFMN1.fba.5,TFMN1.fba.5.T7.P,7,1.074
dgoA*,TFMN1.fba.5,TFMN1.fba.5.T11.P,11,1.054
dgoA*,TFMN1.fba.5,TFMN1.fba.5.T20.P,20,1.559
dgoA*,TFMN1.fba.5,TFMN1.fba.5.T32.P,32,1.721
dgoA*,TFMN1.fba.pgi.2,TFMN1.fba.pgi.2.T1.P,1,0.596
dgoA*,TFMN1.fba.pgi.2,TFMN1.fba.pgi.2.T5.P,5,0.871
dgoA*,TFMN1.fba.pgi.2,TFMN1.fba.pgi.2.T7.P,7,0.891
dgoA*,TFMN1.fba.pgi.2,TFMN1.fba.pgi.2.T8.P,8,1.020
dgoA*,TFMN1.fba.pgi.2,TFMN1.fba.pgi.2.T8.S1,8,0.694
dgoA*,TFMN1.fba.pgi.2,TFMN1.fba.pgi.2.T8.S2,8,0.702
dgoA*,TFMN1.fba.pgi.2,TFMN1.fba.pgi.2.T20.P,20,0.767
dgoA*,TFMN1.fba.pgi.2,TFMN1.fba.pgi.2.T32.P,32,0.681
dgoA*,TFMN1.fba.pgi.2,TFMN1.fba.pgi.2.T32.L1,32,1.182
dgoA*,TFMN1.fba.pgi.2,TFMN1.fba.pgi.2.T32.L2,32,1.135
dgoA*,TFMN1.fba.pgi.2,TFMN1.fba.pgi.2.T32.S1,32,0.724
dgoA*,TFMN1.fba.pgi.2,TFMN1.fba.pgi.2.T32.S2,32,0.630
dgoA*,TFMN1.fba.pgi.3,TFMN1.fba.pgi.3.T1.P,1,0.737
dgoA*,TFMN1.fba.pgi.3,TFMN1.fba.pgi.3.T5.P,5,0.832
