Candidate,r_WGS_B4,r_ampl_B4
A143-B84,0.3507,0.3899
A152-B110,0.2282,0.274
A152-B151,0.2282,0.2538
A153-B30,0.2622,0.3237
A153-B6,0.2804,0.3239
A176-B120,0.2282,0.3191
A186-B78,0.3692,0.4073
A186-B79,0.3785,0.4482
A196-B117,0.3146,0.3305
A196-B122,0.2158,0.2977
A196-B123,0.2439,0.347
A196-B150,0.2659,0.3327
A196-B151,0.3006,0.3502
A196-B171,0.3199,0.3253
A196-B2,0.343,0.313
A196-B27,0.3082,0.3012
A196-B30,0.2439,0.325
A196-B59,0.3243,0.332
A196-B8,0.3008,0.3327
A196-B87,0.3306,0.3285
A20-B126,0.2659,0.3502
A20-B60,0.2659,0.2866
A63-B117,0.2439,0.3502
A63-B147,0.2439,0.2726
A63-B151,0.2439,0.3394
A63-B75,0.2659,0.325
A78-B103,0.2439,0.3154
A78-B137,0.2586,0.2878
A78-B150,0.2659,0.3689
A78-B151,0.3084,0.351
A78-B171,0.2271,0.3321
A78-B70,0.2588,0.2735
A78-B77,0.3376,0.3363
A78-B84,0.1885,0.3213
A81-B132,0.344,0.3767
A81-B137,0.3006,0.2663
A81-B140,0.2439,0.2214
A81-B171,0.2185,0.3389
A81-B18,0.2708,0.2746
A81-B27,0.2745,0.3154
A81-B3,0.2659,0.3937
A81-B40,0.2282,0.2951
A81-B51,0.301,0.2884
A81-B75,0.1813,0.3038
A81-B8,0.3833,0.4025
A81-B84,0.2802,0.2967
A83-B50,0.2659,0.3606
A90-B120,0.2054,0.2883
A90-B151,0.2638,0.3184
A90-B155,0.3026,0.1661
A90-B59,0.2659,0.2158
A96-B79,0.2439,0.3008
A96-B87,0.2282,0.3222
