Candidate,verA,verB,r_counts_only_per_h,se_counts_only
A83-B42,A83,B42,0.4497,0.01
A78-B79,A78,B79,0.4184,0.0074
A83-B26,A83,B26,0.4019,0.0495
A81-B12,A81,B12,0.386,0.0214
A138-B79,A138,B79,0.377,0.0257
A97-B6,A97,B6,0.3749,0.0258
A78-B30,A78,B30,0.3749,0.0063
A81-B8,A81,B8,0.3736,0.0071
A196-B4,A196,B4,0.3715,0.0068
A81-B6,A81,B6,0.362,0.0059
A90-B108,A90,B108,0.36,0.0109
A186-B79,A186,B79,0.3596,0.0095
A81-B174,A81,B174,0.3588,0.0063
A89-B174,A89,B174,0.3574,0.0264
A84-B174,A84,B174,0.3574,0.0264
A81-B151,A81,B151,0.3554,0.0066
A83-B6,A83,B6,0.3539,0.026
A83-B134,A83,B134,0.3539,0.026
A196-B55,A196,B55,0.3539,0.026
A196-B164,A196,B164,0.3539,0.026
A83-B104,A83,B104,0.3518,0.026
A96-B3,A96,B3,0.3518,0.026
A78-B26,A78,B26,0.3508,0.0065
A186-B126,A186,B126,0.3473,0.0298
A186-B78,A186,B78,0.3468,0.0217
A97-B155,A97,B155,0.3457,0.0262
A78-B117,A78,B117,0.3457,0.0065
A90-B150,A90,B150,0.3442,0.0246
A153-B6,A153,B6,0.343,0.0067
A83-B40,A83,B40,0.3428,0.006
A81-B47,A81,B47,0.3422,0.0209
A153-B77,A153,B77,0.3418,0.0061
A153-B127,A153,B127,0.3417,0.0415
A81-B51,A81,B51,0.3414,0.0059
A185-B30,A185,B30,0.3409,0.0752
A185-B26,A185,B26,0.3402,0.0098
A96-B26,A96,B26,0.3393,0.0122
A143-B84,A143,B84,0.3389,0.0096
A78-B3,A78,B3,0.338,0.0058
A83-B138,A83,B138,0.3377,0.0115
A81-B26,A81,B26,0.337,0.0122
A63-B6,A63,B6,0.3363,0.0076
A63-B145,A63,B145,0.3352,0.0384
A79-B77,A79,B77,0.3352,0.0384
A176-B120,A176,B120,0.335,0.012
A20-B151,A20,B151,0.3344,0.0106
A96-B6,A96,B6,0.3337,0.0399
A63-B26,A63,B26,0.3337,0.0399
A90-B18,A90,B18,0.3317,0.0131
A81-B117,A81,B117,0.3315,0.0129
A20-B95,A20,B95,0.3305,0.016
A20-B66,A20,B66,0.3288,0.0119
A78-B77,A78,B77,0.3288,0.0106
A90-B123,A90,B123,0.3284,0.0197
A78-B59,A78,B59,0.3277,0.0453
A81-B130,A81,B130,0.3265,0.0264
A83-B101,A83,B101,0.3261,0.014
A78-B122,A78,B122,0.326,0.0157
A196-B168,A196,B168,0.326,0.0061
A81-B30,A81,B30,0.3251,0.0059
A78-B137,A78,B137,0.3245,0.0071
A176-B30,A176,B30,0.3242,0.0104
A90-B26,A90,B26,0.3241,0.0121
A78-B2,A78,B2,0.322,0.009
A196-B2,A196,B2,0.3219,0.0083
A83-B84,A83,B84,0.3205,0.01
A78-B159,A78,B159,0.3189,0.0221
A81-B132,A81,B132,0.318,0.0121
A81-B2,A81,B2,0.3172,0.0067
A16-B137,A16,B137,0.317,0.0112
A196-B6,A196,B6,0.3169,0.0149
A63-B40,A63,B40,0.3168,0.0171
A196-B59,A196,B59,0.3165,0.021
A63-B122,A63,B122,0.3163,0.027
A15-B117,A15,B117,0.3148,0.0357
A20-B69,A20,B69,0.3148,0.0357
A176-B18,A176,B18,0.3148,0.0357
A196-B145,A196,B145,0.3147,0.0164
A81-B137,A81,B137,0.3144,0.0139
A90-B3,A90,B3,0.3143,0.0102
A176-B154,A176,B154,0.3141,0.0386
A38-B128,A38,B128,0.3141,0.0386
A196-B139,A196,B139,0.3141,0.0386
A97-B174,A97,B174,0.3141,0.0386
A90-B103,A90,B103,0.3141,0.0386
A113-B174,A113,B174,0.3141,0.0386
A196-B87,A196,B87,0.3133,0.0069
A20-B71,A20,B71,0.3128,0.0152
A90-B6,A90,B6,0.312,0.0172
A196-B51,A196,B51,0.3117,0.0097
A196-B117,A196,B117,0.3105,0.0133
A16-B154,A16,B154,0.3105,0.018
A96-B132,A96,B132,0.3097,0.026
A81-B120,A81,B120,0.3095,0.0102
A186-B26,A186,B26,0.3087,0.0131
A153-B30,A153,B30,0.3084,0.0065
A78-B47,A78,B47,0.308,0.0247
A159-B49,A159,B49,0.3074,0.0262
A196-B18,A196,B18,0.3065,0.0169
A83-B120,A83,B120,0.3064,0.0346
A21-B6,A21,B6,0.3062,0.0107
A153-B137,A153,B137,0.3053,0.0097
A186-B3,A186,B3,0.3046,0.0133
A81-B84,A81,B84,0.304,0.0104
A78-B40,A78,B40,0.3035,0.0229
A32-B151,A32,B151,0.3028,0.0526
A196-B79,A196,B79,0.3028,0.0099
A28-B151,A28,B151,0.3028,0.0526
A83-B151,A83,B151,0.3025,0.0057
A78-B151,A78,B151,0.3011,0.0177
A96-B27,A96,B27,0.2998,0.021
A83-B137,A83,B137,0.2996,0.0345
A20-B75,A20,B75,0.299,0.0647
A81-B103,A81,B103,0.299,0.0647
A90-B70,A90,B70,0.297,0.0336
A96-B47,A96,B47,0.2965,0.0596
A81-B101,A81,B101,0.2961,0.017
A196-B8,A196,B8,0.2957,0.0495
A78-B144,A78,B144,0.2956,0.0638
A152-B2,A152,B2,0.2956,0.0638
A90-B102,A90,B102,0.2955,0.0605
A159-B128,A159,B128,0.2945,0.056
A63-B18,A63,B18,0.2939,0.0337
A90-B75,A90,B75,0.2927,0.0088
A143-B151,A143,B151,0.2919,0.0503
A153-B165,A153,B165,0.2919,0.0551
A196-B151,A196,B151,0.2915,0.0058
A176-B177,A176,B177,0.2901,0.0516
A196-B65,A196,B65,0.2898,0.0495
A81-B177,A81,B177,0.2887,0.0182
A196-B136,A196,B136,0.2884,0.016
A186-B62,A186,B62,0.2873,0.0346
A196-B40,A196,B40,0.2873,0.0346
A196-B147,A196,B147,0.2867,0.0398
A96-B84,A96,B84,0.2864,0.0832
