Candidate,verA,verB,r_counts_only_per_h,se_counts_only,r_joint_per_h,se_joint,r_ampl_only,se_ampl_only,evidence_tier,in_B4,dr_joint_minus_counts,se_ratio_counts_over_joint
A81-B3,A81,B3,0.2632,0.0711,0.369,0.0076,0.3937,0.0107,both-deep,True,0.1058,9.355
A78-B150,A78,B150,0.2632,0.0711,0.3432,0.0156,0.3689,0.0171,both-deep,True,0.08,4.558
A78-B84,A78,B84,0.1928,0.0426,0.2894,0.0113,0.3213,0.0133,both-deep,True,0.0966,3.77
A196-B30,A196,B30,0.2408,0.0667,0.299,0.0181,0.325,0.0192,both-deep,True,0.0582,3.685
A78-B155,A78,B155,0.218,0.0709,0.3445,0.0216,0.4073,0.0241,both-deep,True,0.1265,3.282
A78-B151,A78,B151,0.3011,0.0177,0.3277,0.0056,0.351,0.0094,both-deep,True,0.0266,3.161
A196-B59,A196,B59,0.3165,0.021,0.3099,0.0068,0.332,0.0102,both-deep,True,-0.0066,3.088
A90-B151,A90,B151,0.2587,0.0437,0.2948,0.0154,0.3184,0.0176,both-deep,True,0.0361,2.838
A81-B27,A81,B27,0.2693,0.0439,0.293,0.0155,0.3154,0.0178,both-deep,True,0.0237,2.832
A196-B8,A196,B8,0.2957,0.0495,0.3115,0.0177,0.3327,0.0205,both-deep,True,0.0158,2.797
A81-B132,A81,B132,0.318,0.0121,0.3516,0.005,0.3767,0.0091,both-deep,True,0.0336,2.42
A63-B151,A63,B151,0.17,0.0394,0.2681,0.0171,0.3394,0.0164,both-deep,True,0.0981,2.304
A196-B117,A196,B117,0.3105,0.0133,0.3096,0.0059,0.3305,0.0097,both-deep,True,-0.0009,2.254
A196-B150,A196,B150,0.2136,0.0349,0.2853,0.016,0.3327,0.016,both-deep,True,0.0717,2.181
A83-B50,A83,B50,0.2814,0.0253,0.3217,0.0116,0.3606,0.0132,both-deep,True,0.0403,2.181
A196-B122,A196,B122,0.2124,0.0626,0.264,0.0298,0.2977,0.0306,both-deep,True,0.0516,2.101
A143-B84,A143,B84,0.3389,0.0096,0.3662,0.0046,0.3899,0.0088,both-deep,True,0.0273,2.087
A78-B77,A78,B77,0.3288,0.0106,0.3152,0.0053,0.3363,0.0092,both-deep,True,-0.0136,2.0
A186-B79,A186,B79,0.3596,0.0095,0.4225,0.0049,0.4482,0.009,both-deep,True,0.0629,1.939
A90-B120,A90,B120,0.2572,0.0388,0.2668,0.0203,0.2883,0.0233,both-deep,True,0.0096,1.911
A81-B40,A81,B40,0.194,0.047,0.247,0.0248,0.2951,0.0285,both-deep,True,0.053,1.895
A81-B18,A81,B18,0.2611,0.0391,0.2552,0.0208,0.2746,0.0239,both-deep,True,-0.0059,1.88
A196-B27,A196,B27,0.2794,0.0176,0.2785,0.0094,0.3012,0.013,both-deep,True,-0.0009,1.872
A81-B12,A81,B12,0.386,0.0214,0.3445,0.0125,0.3222,0.0413,both-deep,True,-0.0415,1.712
A81-B171,A81,B171,0.204,0.0513,0.2912,0.0303,0.3389,0.0245,both-deep,True,0.0872,1.693
A152-B151,A152,B151,0.1898,0.0362,0.2097,0.0226,0.2538,0.0288,both-deep,True,0.0199,1.602
A196-B171,A196,B171,0.2836,0.0127,0.2931,0.0081,0.3253,0.0122,both-deep,True,0.0095,1.568
A81-B42,A81,B42,0.2407,0.0699,0.2692,0.0448,0.3131,0.0473,both-deep,True,0.0285,1.56
A81-B8,A81,B8,0.3736,0.0071,0.379,0.0046,0.4025,0.0088,both-deep,True,0.0054,1.543
A81-B75,A81,B75,0.2065,0.0263,0.2448,0.0173,0.3038,0.0237,both-deep,True,0.0383,1.52
A186-B78,A186,B78,0.3468,0.0217,0.3714,0.0144,0.4073,0.0241,both-deep,True,0.0246,1.507
A78-B103,A78,B103,0.2408,0.0667,0.2792,0.0451,0.3154,0.0437,both-deep,True,0.0384,1.479
A78-B171,A78,B171,0.1369,0.0389,0.1986,0.0274,0.3321,0.0288,both-deep,True,0.0617,1.42
A90-B47,A90,B47,0.2624,0.0332,0.2867,0.0238,0.3427,0.0257,both-deep,True,0.0243,1.395
A78-B70,A78,B70,0.2506,0.041,0.2525,0.0296,0.2735,0.035,both-deep,True,0.0019,1.385
A196-B15,A196,B15,0.2541,0.019,0.2511,0.0138,0.2722,0.02,both-deep,True,-0.003,1.377
A196-B87,A196,B87,0.3133,0.0069,0.3064,0.0053,0.3285,0.0096,both-deep,True,-0.0069,1.302
A96-B140,A96,B140,0.2457,0.043,0.2643,0.0332,0.321,0.0447,both-deep,True,0.0186,1.295
A152-B110,A152,B110,0.2249,0.0642,0.2307,0.0507,0.274,0.0532,both-deep,True,0.0058,1.266
A90-B154,A90,B154,0.1859,0.0628,0.1907,0.0497,0.2538,0.0606,both-deep,True,0.0048,1.264
A153-B6,A153,B6,0.343,0.0067,0.3288,0.0057,0.3239,0.0146,both-deep,True,-0.0142,1.175
A196-B123,A196,B123,0.2569,0.0134,0.27,0.0114,0.347,0.0167,both-deep,True,0.0131,1.175
A196-B2,A196,B2,0.3219,0.0083,0.3107,0.0072,0.313,0.0162,both-deep,True,-0.0112,1.153
A138-B79,A138,B79,0.377,0.0257,0.3816,0.0223,,,WGS-only,False,0.0046,1.152
A143-B130,A143,B130,0.218,0.0709,0.2455,0.0618,0.3364,0.0705,both-deep,True,0.0275,1.147
A63-B75,A63,B75,0.2083,0.0495,0.225,0.0432,0.325,0.0591,both-deep,True,0.0167,1.146
A196-B139,A196,B139,0.3141,0.0386,0.3159,0.0338,0.3364,0.0705,both-deep,True,0.0018,1.142
A90-B103,A90,B103,0.3141,0.0386,0.3159,0.0338,0.3364,0.0705,both-deep,True,0.0018,1.142
A96-B87,A96,B87,0.2717,0.0231,0.2773,0.0203,0.3222,0.0413,both-deep,True,0.0056,1.138
A196-B75,A196,B75,0.2782,0.0209,0.2793,0.0185,0.3351,0.0383,both-deep,True,0.0011,1.13
A81-B140,A81,B140,0.2778,0.0314,0.2392,0.0278,0.2214,0.0386,both-deep,True,-0.0386,1.129
A63-B145,A63,B145,0.3352,0.0384,0.3494,0.034,,,WGS-only,False,0.0142,1.129
A79-B77,A79,B77,0.3352,0.0384,0.3494,0.034,,,WGS-only,False,0.0142,1.129
A78-B137,A78,B137,0.3245,0.0071,0.2938,0.0063,0.2878,0.0114,both-deep,True,-0.0307,1.127
A83-B137,A83,B137,0.2996,0.0345,0.2999,0.0307,0.3364,0.0705,both-deep,True,0.0003,1.124
A78-B26,A78,B26,0.3508,0.0065,0.3457,0.0058,0.2888,0.043,both-deep,True,-0.0051,1.121
A90-B155,A90,B155,0.2682,0.0335,0.1766,0.0299,0.1661,0.0349,both-deep,True,-0.0916,1.12
A196-B6,A196,B6,0.3169,0.0149,0.3161,0.0133,0.3447,0.031,both-deep,True,-0.0008,1.12
A96-B79,A96,B79,0.2407,0.0222,0.2469,0.0199,0.3008,0.0422,both-deep,True,0.0062,1.116
A153-B30,A153,B30,0.3084,0.0065,0.3061,0.0059,0.3237,0.0139,both-deep,True,-0.0023,1.102
A63-B117,A63,B117,0.2457,0.0339,0.2604,0.0308,0.3502,0.048,both-deep,True,0.0147,1.101
A81-B65,A81,B65,0.2741,0.034,0.2609,0.031,0.267,0.0468,both-deep,True,-0.0132,1.097
A81-B84,A81,B84,0.304,0.0104,0.2994,0.0096,0.2967,0.0249,both-deep,True,-0.0046,1.083
A90-B18,A90,B18,0.3317,0.0131,0.3269,0.0122,0.346,0.0414,both-deep,True,-0.0048,1.074
A81-B51,A81,B51,0.3414,0.0059,0.3401,0.0055,0.2884,0.0384,both-deep,True,-0.0013,1.073
A81-B6,A81,B6,0.362,0.0059,0.3579,0.0055,0.2523,0.0782,both-deep,True,-0.0041,1.073
A152-B9,A152,B9,0.2488,0.0748,0.235,0.0702,0.2806,0.0854,both-deep,True,-0.0138,1.066
A186-B75,A186,B75,0.2394,0.0738,0.2281,0.0694,0.2806,0.0854,both-deep,True,-0.0113,1.063
A196-B11,A196,B11,0.2766,0.0095,0.2771,0.009,,,WGS-only,False,0.0005,1.056
A196-B151,A196,B151,0.2915,0.0058,0.2921,0.0055,0.3502,0.048,both-deep,True,0.0006,1.055
A78-B3,A78,B3,0.338,0.0058,0.3372,0.0055,,,WGS-only,False,-0.0008,1.055
A81-B30,A81,B30,0.3251,0.0059,0.3243,0.0056,,,WGS-only,False,-0.0008,1.054
A196-B168,A196,B168,0.326,0.0061,0.3255,0.0058,,,WGS-only,False,-0.0005,1.052
A96-B75,A96,B75,0.272,0.0352,0.2539,0.0335,0.245,0.0596,both-deep,True,-0.0181,1.051
A81-B47,A81,B47,0.3422,0.0209,0.3447,0.0199,0.3364,0.0705,both-deep,True,0.0025,1.05
A81-B174,A81,B174,0.3588,0.0063,0.3561,0.006,,,WGS-only,False,-0.0027,1.05
A196-B4,A196,B4,0.3715,0.0068,0.3679,0.0065,,,WGS-only,False,-0.0036,1.046
A20-B126,A20,B126,0.2606,0.0166,0.2642,0.0159,0.3502,0.048,both-deep,True,0.0036,1.044
A176-B120,A176,B120,0.335,0.012,0.342,0.0115,0.3191,0.0727,both-deep,True,0.007,1.043
A196-B79,A196,B79,0.3028,0.0099,0.2964,0.0095,,,WGS-only,False,-0.0064,1.042
A20-B84,A20,B84,0.2579,0.0152,0.2598,0.0146,0.3163,0.055,both-deep,True,0.0019,1.041
A63-B6,A63,B6,0.3363,0.0076,0.3288,0.0073,,,WGS-only,False,-0.0075,1.041
A176-B101,A176,B101,0.2639,0.0637,0.2514,0.0613,0.2806,0.0854,both-deep,True,-0.0125,1.039
A78-B130,A78,B130,0.2279,0.0653,0.2131,0.063,0.2663,0.0814,both-deep,True,-0.0148,1.037
A83-B151,A83,B151,0.3025,0.0057,0.3021,0.0055,,,WGS-only,False,-0.0004,1.036
A196-B85,A196,B85,0.2759,0.0299,0.2703,0.0289,0.2726,0.0703,both-deep,True,-0.0056,1.035
A196-B132,A196,B132,0.2731,0.0236,0.2739,0.0228,,,WGS-only,False,0.0008,1.035
A20-B60,A20,B60,0.2632,0.0711,0.2588,0.0687,0.2866,0.072,both-deep,True,-0.0044,1.035
A90-B75,A90,B75,0.2927,0.0088,0.291,0.0085,,,WGS-only,False,-0.0017,1.035
A90-B26,A90,B26,0.3241,0.0121,0.3244,0.0117,0.3191,0.0727,both-deep,True,0.0003,1.034
A176-B59,A176,B59,0.2843,0.0545,0.2798,0.0528,,,WGS-only,False,-0.0045,1.032
A196-B51,A196,B51,0.3117,0.0097,0.3043,0.0094,,,WGS-only,False,-0.0074,1.032
A81-B11,A81,B11,0.2843,0.0545,0.2798,0.0528,,,WGS-only,False,-0.0045,1.032
A20-B101,A20,B101,0.2843,0.0545,0.2798,0.0528,,,WGS-only,False,-0.0045,1.032
A78-B117,A78,B117,0.3457,0.0065,0.3493,0.0063,,,WGS-only,False,0.0036,1.032
A152-B27,A152,B27,0.2843,0.0545,0.2798,0.0528,,,WGS-only,False,-0.0045,1.032
A81-B151,A81,B151,0.3554,0.0066,0.3544,0.0064,,,WGS-only,False,-0.001,1.031
A176-B30,A176,B30,0.3242,0.0104,0.3213,0.0101,,,WGS-only,False,-0.0029,1.03
A196-B18,A196,B18,0.3065,0.0169,0.3053,0.0164,,,WGS-only,False,-0.0012,1.03
A81-B66,A81,B66,0.2729,0.0317,0.2738,0.0308,,,WGS-only,False,0.0009,1.029
A21-B6,A21,B6,0.3062,0.0107,0.2988,0.0104,,,WGS-only,False,-0.0074,1.029
A16-B137,A16,B137,0.317,0.0112,0.3096,0.0109,,,WGS-only,False,-0.0074,1.028
A90-B70,A90,B70,0.297,0.0336,0.2978,0.0327,,,WGS-only,False,0.0008,1.028
A97-B174,A97,B174,0.3141,0.0386,0.3133,0.0376,,,WGS-only,False,-0.0008,1.027
A113-B174,A113,B174,0.3141,0.0386,0.3133,0.0376,,,WGS-only,False,-0.0008,1.027
A38-B128,A38,B128,0.3141,0.0386,0.3133,0.0376,,,WGS-only,False,-0.0008,1.027
A176-B154,A176,B154,0.3141,0.0386,0.3133,0.0376,,,WGS-only,False,-0.0008,1.027
A12-B60,A12,B60,0.278,0.0469,0.2729,0.0457,,,WGS-only,False,-0.0051,1.026
A20-B66,A20,B66,0.3288,0.0119,0.3267,0.0116,,,WGS-only,False,-0.0021,1.026
A16-B65,A16,B65,0.278,0.0469,0.2729,0.0457,,,WGS-only,False,-0.0051,1.026
A196-B136,A196,B136,0.2884,0.016,0.2822,0.0156,,,WGS-only,False,-0.0062,1.026
A196-B9,A196,B9,0.2725,0.0261,0.2724,0.0255,,,WGS-only,False,-0.0001,1.024
A143-B117,A143,B117,0.2687,0.036,0.2665,0.0352,,,WGS-only,False,-0.0022,1.023
A20-B70,A20,B70,0.2812,0.0351,0.282,0.0343,,,WGS-only,False,0.0008,1.023
A196-B147,A196,B147,0.2867,0.0398,0.2862,0.0389,,,WGS-only,False,-0.0005,1.023
A96-B6,A96,B6,0.3337,0.0399,0.3316,0.039,,,WGS-only,False,-0.0021,1.023
A186-B3,A186,B3,0.3046,0.0133,0.2973,0.013,,,WGS-only,False,-0.0073,1.023
A78-B2,A78,B2,0.322,0.009,0.3214,0.0088,,,WGS-only,False,-0.0006,1.023
A63-B26,A63,B26,0.3337,0.0399,0.3316,0.039,,,WGS-only,False,-0.0021,1.023
A81-B177,A81,B177,0.2887,0.0182,0.29,0.0178,,,WGS-only,False,0.0013,1.022
A16-B79,A16,B79,0.2747,0.0421,0.2692,0.0412,,,WGS-only,False,-0.0055,1.022
A196-B65,A196,B65,0.2898,0.0495,0.2893,0.0485,,,WGS-only,False,-0.0005,1.021
A81-B127,A81,B127,0.2521,0.026,0.2538,0.0255,,,WGS-only,False,0.0017,1.02
A83-B84,A83,B84,0.3205,0.01,0.3143,0.0098,,,WGS-only,False,-0.0062,1.02
A153-B101,A153,B101,0.2785,0.046,0.279,0.0451,,,WGS-only,False,0.0005,1.02
A15-B117,A15,B117,0.3148,0.0357,0.3087,0.035,,,WGS-only,False,-0.0061,1.02
A20-B71,A20,B71,0.3128,0.0152,0.3062,0.0149,,,WGS-only,False,-0.0066,1.02
A20-B69,A20,B69,0.3148,0.0357,0.3087,0.035,,,WGS-only,False,-0.0061,1.02
A176-B18,A176,B18,0.3148,0.0357,0.3087,0.035,,,WGS-only,False,-0.0061,1.02
A90-B3,A90,B3,0.3143,0.0102,0.3149,0.01,,,WGS-only,False,0.0006,1.02
A81-B120,A81,B120,0.3095,0.0102,0.3091,0.01,,,WGS-only,False,-0.0004,1.02
A63-B122,A63,B122,0.3163,0.027,0.3096,0.0265,,,WGS-only,False,-0.0067,1.019
A90-B171,A90,B171,0.2528,0.0491,0.2548,0.0482,,,WGS-only,False,0.002,1.019
A96-B27,A96,B27,0.2998,0.021,0.2929,0.0206,,,WGS-only,False,-0.0069,1.019
A78-B42,A78,B42,0.2792,0.0527,0.28,0.0517,,,WGS-only,False,0.0008,1.019
A193-B11,A193,B11,0.278,0.0585,0.279,0.0574,,,WGS-only,False,0.001,1.019
A196-B34,A196,B34,0.2792,0.0527,0.28,0.0517,,,WGS-only,False,0.0008,1.019
A152-B2,A152,B2,0.2956,0.0638,0.2953,0.0626,,,WGS-only,False,-0.0003,1.019
A78-B144,A78,B144,0.2956,0.0638,0.2953,0.0626,,,WGS-only,False,-0.0003,1.019
A153-B165,A153,B165,0.2919,0.0551,0.2914,0.0541,,,WGS-only,False,-0.0005,1.018
A78-B40,A78,B40,0.3035,0.0229,0.2966,0.0225,,,WGS-only,False,-0.0069,1.018
