Candidate,verA,verB,r_joint_per_h,se_joint,se_wgs_only,se_ampl_only,se_reduction_ratio,ESS_fold_vs_wgs,r_wgs_only,r_ampl_only,evidence_tier,in_B4,se_heterogeneity_loso,r_sensitivity_to_b_amp,se_combined
A83-B84,A83,B84,0.3143,0.0098,0.01,,1.025,1.05,0.3205,,WGS-only,False,0.0056,0.0228,0.0113
A113-B174,A113,B174,0.3133,0.0376,0.0386,,1.024,1.05,0.3141,,WGS-only,False,0.0022,0.0121,0.0377
A38-B128,A38,B128,0.3133,0.0376,0.0386,,1.024,1.05,0.3141,,WGS-only,False,0.0022,0.0121,0.0377
A176-B154,A176,B154,0.3133,0.0376,0.0386,,1.024,1.05,0.3141,,WGS-only,False,0.0022,0.0121,0.0377
A20-B178,A20,B178,0.251,0.0602,,0.0617,1.024,,,0.2634,amplicon-B4-only,True,0.0024,0.0609,0.0602
A97-B174,A97,B174,0.3133,0.0376,0.0386,,1.024,1.05,0.3141,,WGS-only,False,0.0022,0.0121,0.0377
A63-B26,A63,B26,0.3316,0.039,0.0399,,1.023,1.05,0.3337,,WGS-only,False,0.0056,0.032,0.0394
A153-B77,A153,B77,0.3433,0.006,0.0061,,1.023,1.05,0.3418,,WGS-only,False,0.0053,0.0081,0.008
A143-B117,A143,B117,0.2665,0.0352,0.036,,1.023,1.05,0.2687,,WGS-only,False,0.0172,0.0527,0.0392
A78-B117,A78,B117,0.3493,0.0063,0.0065,,1.023,1.05,0.3457,,WGS-only,False,0.0135,0.0044,0.0149
A96-B6,A96,B6,0.3316,0.039,0.0399,,1.023,1.05,0.3337,,WGS-only,False,0.0056,0.032,0.0394
A81-B120,A81,B120,0.3091,0.01,0.0102,,1.023,1.05,0.3095,,WGS-only,False,0.0033,0.0233,0.0105
A78-B2,A78,B2,0.3214,0.0088,0.009,,1.023,1.05,0.322,,WGS-only,False,0.0219,0.0184,0.0236
A20-B66,A20,B66,0.3267,0.0116,0.0119,,1.023,1.05,0.3288,,WGS-only,False,0.0026,0.0102,0.0119
A15-B117,A15,B117,0.3087,0.035,0.0357,,1.022,1.04,0.3148,,WGS-only,False,0.0025,0.0044,0.0351
A196-B147,A196,B147,0.2862,0.0389,0.0398,,1.022,1.05,0.2867,,WGS-only,False,0.0037,0.01,0.0391
A186-B26,A186,B26,0.3015,0.0129,0.0131,,1.022,1.04,0.3087,,WGS-only,False,0.0029,0.0292,0.0132
A186-B3,A186,B3,0.2973,0.013,0.0133,,1.022,1.05,0.3046,,WGS-only,False,0.0029,0.0277,0.0133
A20-B69,A20,B69,0.3087,0.035,0.0357,,1.022,1.04,0.3148,,WGS-only,False,0.0025,0.0044,0.0351
A176-B18,A176,B18,0.3087,0.035,0.0357,,1.022,1.04,0.3148,,WGS-only,False,0.0025,0.0044,0.0351
