Candidate,verA,verB,r_joint_per_h,se_joint,se_wgs_only,se_ampl_only,se_reduction_ratio,ESS_fold_vs_wgs,r_wgs_only,r_ampl_only,evidence_tier,in_B4,se_heterogeneity_loso,r_sensitivity_to_b_amp,se_combined
A83-B101,A83,B101,0.327,0.0139,0.014,,1.007,1.01,0.3261,,WGS-only,False,0.0096,0.0009,0.0169
A63-B18,A63,B18,0.2931,0.0335,0.0337,,1.006,1.01,0.2939,,WGS-only,False,0.003,0.0164,0.0336
A20-B95,A20,B95,0.33,0.0159,0.016,,1.006,1.01,0.3305,,WGS-only,False,0.0048,0.0024,0.0166
A81-B130,A81,B130,0.3269,0.0263,0.0264,,1.005,1.01,0.3265,,WGS-only,False,0.0055,0.0205,0.0269
A81-B38,A81,B38,0.2568,0.0714,0.0718,,1.005,1.01,0.2567,,WGS-only,False,0.0015,0.0144,0.0714
A81-B145,A81,B145,0.2708,0.0141,0.0141,,1.005,1.01,0.2699,,WGS-only,False,0.01,0.0454,0.0173
A20-B103,A20,B103,0.246,0.0685,0.0688,,1.005,1.01,0.2444,,WGS-only,False,0.0018,0.0199,0.0685
A63-B40,A63,B40,0.3163,0.017,0.0171,,1.005,1.01,0.3168,,WGS-only,False,0.0048,0.0159,0.0177
A20-B151,A20,B151,0.3333,0.0105,0.0106,,1.005,1.01,0.3344,,WGS-only,False,0.0211,0.0054,0.0236
A81-B101,A81,B101,0.2956,0.0169,0.017,,1.005,1.01,0.2961,,WGS-only,False,0.0047,0.0279,0.0175
A78-B51,A78,B51,0.246,0.0685,0.0688,,1.005,1.01,0.2444,,WGS-only,False,0.0018,0.0199,0.0685
A186-B165,A186,B165,0.1982,0.0486,0.0488,,1.004,1.01,0.199,,WGS-only,False,0.0022,0.0937,0.0486
A90-B108,A90,B108,0.359,0.0108,0.0109,,1.004,1.01,0.36,,WGS-only,False,0.005,0.0036,0.0119
A152-B32,A152,B32,0.1992,0.0598,0.0601,,1.004,1.01,0.1981,,WGS-only,False,0.0017,0.0926,0.0598
A78-B101,A78,B101,0.2654,0.02,0.0201,,1.004,1.01,0.2646,,WGS-only,False,0.0145,0.0312,0.0247
A186-B137,A186,B137,0.2492,0.0746,0.0748,,1.003,1.01,0.2488,,WGS-only,False,0.0012,0.0167,0.0746
A143-B123,A143,B123,0.2228,0.0563,0.0565,,1.003,1.01,0.2208,,WGS-only,False,0.0019,0.06,0.0563
A90-B11,A90,B11,0.1958,0.0682,0.0684,,1.003,1.01,0.1948,,WGS-only,False,0.0013,0.06,0.0682
A196-B165,A196,B165,0.2492,0.0746,0.0748,,1.003,1.01,0.2488,,WGS-only,False,0.0012,0.0167,0.0746
A81-B61,A81,B61,0.2803,0.022,0.0221,,1.003,1.01,0.2808,,WGS-only,False,0.0045,0.034,0.0225
A16-B101,A16,B101,0.2492,0.0746,0.0748,,1.003,1.01,0.2488,,WGS-only,False,0.0012,0.0167,0.0746
A16-B12,A16,B12,0.2492,0.0746,0.0748,,1.003,1.01,0.2488,,WGS-only,False,0.0012,0.0167,0.0746
A81-B70,A81,B70,0.1958,0.0682,0.0684,,1.003,1.01,0.1948,,WGS-only,False,0.0013,0.06,0.0682
A83-B130,A83,B130,0.2187,0.0707,0.0709,,1.003,1.01,0.218,,WGS-only,False,0.0013,0.0428,0.0707
A83-B104,A83,B104,0.3512,0.0259,0.026,,1.003,1.01,0.3518,,WGS-only,False,0.0045,0.0228,0.0263
A152-B15,A152,B15,0.1958,0.0682,0.0684,,1.003,1.01,0.1948,,WGS-only,False,0.0013,0.06,0.0682
A196-B150,A196,B150,0.2853,0.016,0.0349,0.016,1.003,4.77,0.2136,0.3327,both-deep,True,0.007,0.039,0.0175
A96-B3,A96,B3,0.3512,0.0259,0.026,,1.003,1.01,0.3518,,WGS-only,False,0.0045,0.0228,0.0263
A96-B101,A96,B101,0.2187,0.0707,0.0709,,1.003,1.01,0.218,,WGS-only,False,0.0013,0.0428,0.0707
A16-B75,A16,B75,0.2187,0.0707,0.0709,,1.003,1.01,0.218,,WGS-only,False,0.0013,0.0428,0.0707
A78-B143,A78,B143,0.2492,0.0746,0.0748,,1.003,1.01,0.2488,,WGS-only,False,0.0012,0.0167,0.0746
A63-B2,A63,B2,0.2187,0.0707,0.0709,,1.003,1.01,0.218,,WGS-only,False,0.0013,0.0428,0.0707
A32-B151,A32,B151,0.3019,0.0524,0.0526,,1.003,1.01,0.3028,,WGS-only,False,0.0029,0.0132,0.0525
A28-B151,A28,B151,0.3019,0.0524,0.0526,,1.003,1.01,0.3028,,WGS-only,False,0.0029,0.0132,0.0525
A153-B84,A153,B84,0.1877,0.0543,0.0544,,1.002,1.0,0.1853,,WGS-only,False,0.002,0.098,0.0543
A97-B155,A97,B155,0.3451,0.0262,0.0262,,1.002,1.0,0.3457,,WGS-only,False,0.003,0.018,0.0264
A169-B27,A169,B27,0.2411,0.0689,0.069,,1.002,1.0,0.2395,,WGS-only,False,0.0015,0.0197,0.0689
A96-B77,A96,B77,0.2677,0.0716,0.0718,,1.002,1.0,0.2684,,WGS-only,False,0.0016,0.02,0.0716
A89-B27,A89,B27,0.2411,0.0689,0.069,,1.002,1.0,0.2395,,WGS-only,False,0.0015,0.0197,0.0689
A83-B70,A83,B70,0.2788,0.0372,0.0373,,1.002,1.0,0.2793,,WGS-only,False,0.0041,0.0172,0.0374
A143-B137,A143,B137,0.2663,0.0174,0.0174,,1.002,1.0,0.2656,,WGS-only,False,0.0059,0.0419,0.0184
A82-B108,A82,B108,0.2425,0.0689,0.069,,1.002,1.0,0.2431,,WGS-only,False,0.0019,0.0472,0.0689
A196-B52,A196,B52,0.2691,0.0144,0.0144,,1.002,1.0,0.2708,,WGS-only,False,0.0054,0.0439,0.0154
A176-B177,A176,B177,0.2897,0.0515,0.0516,,1.002,1.0,0.2901,,WGS-only,False,0.0035,0.0142,0.0516
A153-B151,A153,B151,0.1923,0.0524,0.0526,,1.002,1.0,0.1897,,WGS-only,False,0.0269,0.0685,0.0589
A81-B143,A81,B143,0.2167,0.066,0.0662,,1.002,1.0,0.2142,,WGS-only,False,0.0019,0.0476,0.066
A81-B156,A81,B156,0.2167,0.066,0.0662,,1.002,1.0,0.2142,,WGS-only,False,0.0019,0.0476,0.066
A153-B27,A153,B27,0.2411,0.0689,0.069,,1.002,1.0,0.2395,,WGS-only,False,0.0015,0.0197,0.0689
A153-B55,A153,B55,0.2808,0.0403,0.0404,,1.002,1.0,0.2813,,WGS-only,False,0.004,0.0246,0.0405
A78-B18,A78,B18,0.1914,0.0562,0.0563,,1.002,1.0,0.1895,,WGS-only,False,0.0247,0.0853,0.0614
A153-B26,A153,B26,0.2656,0.0439,0.044,,1.001,1.0,0.2646,,WGS-only,False,0.0095,0.0164,0.0449
A90-B150,A90,B150,0.3439,0.0245,0.0246,,1.001,1.0,0.3442,,WGS-only,False,0.0236,0.0223,0.034
A83-B103,A83,B103,0.2101,0.065,0.0651,,1.001,1.0,0.2082,,WGS-only,False,0.0016,0.0465,0.065
A81-B87,A81,B87,0.2579,0.0189,0.0189,,1.001,1.0,0.2573,,WGS-only,False,0.0121,0.0464,0.0224
A84-B174,A84,B174,0.3556,0.0264,0.0264,,1.001,1.0,0.3574,,WGS-only,False,0.0023,0.034,0.0265
A16-B161,A16,B161,0.2197,0.0701,0.0701,,1.001,1.0,0.2201,,WGS-only,False,0.0023,0.0353,0.0701
A63-B79,A63,B79,0.2209,0.0355,0.0355,,1.001,1.0,0.2202,,WGS-only,False,0.0081,0.0734,0.0364
A89-B174,A89,B174,0.3556,0.0264,0.0264,,1.001,1.0,0.3574,,WGS-only,False,0.0023,0.034,0.0265
A90-B2,A90,B2,0.2197,0.0701,0.0701,,1.001,1.0,0.2201,,WGS-only,False,0.0023,0.0353,0.0701
A196-B46,A196,B46,0.2643,0.021,0.021,,1.0,1.0,0.2637,,WGS-only,False,0.0058,0.0439,0.0218
A16-B145,A16,B145,0.2393,0.0233,0.0234,,1.0,1.0,0.2387,,WGS-only,False,0.0056,0.0602,0.024
A176-B103,A176,B103,0.2404,0.0544,0.0544,,1.0,1.0,0.2401,,WGS-only,False,0.007,0.0261,0.0548
A97-B6,A97,B6,0.3722,0.0258,0.0258,,1.0,1.0,0.3749,,WGS-only,False,0.003,0.0467,0.026
A143-B13,A143,B13,0.2116,0.0484,0.0484,,0.999,1.0,0.2114,,WGS-only,False,0.0045,0.0723,0.0486
A196-B164,A196,B164,0.3472,0.026,0.026,,0.999,1.0,0.3539,,WGS-only,False,0.0027,0.0305,0.0261
A81-B123,A81,B123,0.2263,0.0315,0.0315,,0.999,1.0,0.2236,,WGS-only,False,0.0057,0.0905,0.032
A196-B55,A196,B55,0.3472,0.026,0.026,,0.999,1.0,0.3539,,WGS-only,False,0.0027,0.0305,0.0261
A83-B134,A83,B134,0.3472,0.026,0.026,,0.999,1.0,0.3539,,WGS-only,False,0.0027,0.0305,0.0261
A83-B6,A83,B6,0.3472,0.026,0.026,,0.999,1.0,0.3539,,WGS-only,False,0.0027,0.0305,0.0261
A186-B70,A186,B70,0.1582,0.0596,0.0595,,0.999,1.0,0.1581,,WGS-only,False,0.0037,0.0586,0.0597
A20-B13,A20,B13,0.1972,0.0629,0.0628,,0.998,1.0,0.1972,,WGS-only,False,0.0034,0.0467,0.063
A152-B47,A152,B47,0.2404,0.0367,0.0366,,0.998,1.0,0.24,,WGS-only,False,0.0051,0.046,0.0371
A78-B59,A78,B59,0.3301,0.0454,0.0453,,0.998,1.0,0.3277,,WGS-only,False,0.0105,0.0237,0.0466
A186-B84,A186,B84,0.208,0.0542,0.0541,,0.998,1.0,0.2078,,WGS-only,False,0.0041,0.063,0.0544
A186-B117,A186,B117,0.269,0.0277,0.0277,,0.998,1.0,0.2684,,WGS-only,False,0.0055,0.0381,0.0282
A90-B52,A90,B52,0.1972,0.0629,0.0628,,0.998,1.0,0.1972,,WGS-only,False,0.0034,0.0467,0.063
A20-B165,A20,B165,0.2027,0.0537,0.0535,,0.997,0.99,0.2004,,WGS-only,False,0.0044,0.1034,0.0539
A90-B99,A90,B99,0.2298,0.0723,0.0721,,0.997,0.99,0.2284,,WGS-only,False,0.0061,0.0637,0.0726
A90-B61,A90,B61,0.2873,0.0835,0.0832,,0.997,0.99,0.2864,,WGS-only,False,0.0034,0.0123,0.0836
A63-B103,A63,B103,0.2278,0.0655,0.0653,,0.997,0.99,0.2279,,WGS-only,False,0.0032,0.0187,0.0656
A96-B84,A96,B84,0.2873,0.0835,0.0832,,0.997,0.99,0.2864,,WGS-only,False,0.0034,0.0123,0.0836
A20-B157,A20,B157,0.2002,0.0679,0.0677,,0.997,0.99,0.198,,WGS-only,False,0.0031,0.0709,0.068
A66-B30,A66,B30,0.2873,0.0835,0.0832,,0.997,0.99,0.2864,,WGS-only,False,0.0034,0.0123,0.0836
A176-B34,A176,B34,0.2873,0.0835,0.0832,,0.997,0.99,0.2864,,WGS-only,False,0.0034,0.0123,0.0836
A196-B40,A196,B40,0.2878,0.0347,0.0346,,0.997,0.99,0.2873,,WGS-only,False,0.0052,0.0014,0.0351
A153-B171,A153,B171,0.2873,0.0835,0.0832,,0.997,0.99,0.2864,,WGS-only,False,0.0034,0.0123,0.0836
A176-B27,A176,B27,0.2504,0.0437,0.0435,,0.997,0.99,0.2477,,WGS-only,False,0.0049,0.0708,0.044
A186-B62,A186,B62,0.2878,0.0347,0.0346,,0.997,0.99,0.2873,,WGS-only,False,0.0052,0.0014,0.0351
A186-B63,A186,B63,0.2278,0.0655,0.0653,,0.997,0.99,0.2279,,WGS-only,False,0.0032,0.0187,0.0656
A152-B102,A152,B102,0.2228,0.0704,0.0702,,0.997,0.99,0.2206,,WGS-only,False,0.0028,0.0518,0.0705
A81-B59,A81,B59,0.2873,0.0835,0.0832,,0.997,0.99,0.2864,,WGS-only,False,0.0034,0.0123,0.0836
A186-B151,A186,B151,0.2873,0.0835,0.0832,,0.997,0.99,0.2864,,WGS-only,False,0.0034,0.0123,0.0836
A186-B74,A186,B74,0.2873,0.0835,0.0832,,0.997,0.99,0.2864,,WGS-only,False,0.0034,0.0123,0.0836
A16-B140,A16,B140,0.2595,0.036,0.0359,,0.996,0.99,0.2591,,WGS-only,False,0.0051,0.0365,0.0364
A65-B161,A65,B161,0.2531,0.0746,0.0743,,0.996,0.99,0.251,,WGS-only,False,0.0023,0.0227,0.0746
A20-B144,A20,B144,0.2531,0.0746,0.0743,,0.996,0.99,0.251,,WGS-only,False,0.0023,0.0227,0.0746
A160-B27,A160,B27,0.2531,0.0746,0.0743,,0.996,0.99,0.251,,WGS-only,False,0.0023,0.0227,0.0746
A78-B158,A78,B158,0.2531,0.0746,0.0743,,0.996,0.99,0.251,,WGS-only,False,0.0023,0.0227,0.0746
A91-B101,A91,B101,0.2531,0.0746,0.0743,,0.996,0.99,0.251,,WGS-only,False,0.0023,0.0227,0.0746
A185-B30,A185,B30,0.3422,0.0756,0.0752,,0.996,0.99,0.3409,,WGS-only,False,0.0053,0.0131,0.0758
A90-B38,A90,B38,0.2601,0.0515,0.0512,,0.995,0.99,0.2599,,WGS-only,False,0.0042,0.0179,0.0517
A63-B171,A63,B171,0.2751,0.0508,0.0505,,0.995,0.99,0.2724,,WGS-only,False,0.0043,0.0524,0.051
A176-B138,A176,B138,0.2601,0.0515,0.0512,,0.995,0.99,0.2599,,WGS-only,False,0.0042,0.0179,0.0517
A186-B145,A186,B145,0.2601,0.0515,0.0512,,0.995,0.99,0.2599,,WGS-only,False,0.0042,0.0179,0.0517
A90-B136,A90,B136,0.2684,0.0634,0.0631,,0.995,0.99,0.2659,,WGS-only,False,0.0033,0.052,0.0635
A186-B2,A186,B2,0.278,0.0436,0.0433,,0.994,0.99,0.2751,,WGS-only,False,0.0048,0.0556,0.0439
A81-B26,A81,B26,0.342,0.0123,0.0122,,0.991,0.98,0.337,,WGS-only,False,0.0055,0.0212,0.0135
A83-B26,A83,B26,0.4042,0.05,0.0495,,0.991,0.98,0.4019,,WGS-only,False,0.0093,0.0561,0.0509
A143-B151,A143,B151,0.2949,0.0508,0.0503,,0.99,0.98,0.2919,,WGS-only,False,0.0042,0.0272,0.051
A159-B128,A159,B128,0.2974,0.0566,0.056,,0.989,0.98,0.2945,,WGS-only,False,0.0037,0.0158,0.0567
A81-B103,A81,B103,0.3018,0.0655,0.0647,,0.988,0.98,0.299,,WGS-only,False,0.003,0.0228,0.0656
A63-B147,A63,B147,0.2415,0.0539,0.0532,0.0703,0.988,0.98,0.25,0.2726,both-deep,True,0.0088,0.0074,0.0546
A20-B75,A20,B75,0.3018,0.0655,0.0647,,0.988,0.98,0.299,,WGS-only,False,0.003,0.0228,0.0656
A78-B122,A78,B122,0.3306,0.0159,0.0157,,0.985,0.97,0.326,,WGS-only,False,0.0055,0.03,0.0168
A186-B126,A186,B126,0.3523,0.0303,0.0298,,0.984,0.97,0.3473,,WGS-only,False,0.0049,0.0233,0.0307
A153-B127,A153,B127,0.3462,0.0425,0.0415,,0.978,0.96,0.3417,,WGS-only,False,0.0044,0.0211,0.0427
A78-B103,A78,B103,0.2792,0.0451,0.0667,0.0437,0.97,2.19,0.2408,0.3154,both-deep,True,0.0072,0.0137,0.0457
A63-B151,A63,B151,0.2681,0.0171,0.0394,0.0164,0.96,5.3,0.17,0.3394,both-deep,True,0.0142,0.0441,0.0222
A90-B59,A90,B59,0.2282,0.0389,0.0372,0.0564,0.957,0.92,0.2611,0.2158,both-deep,True,0.0115,0.07,0.0406
A162-B137,A162,B137,0.269,0.0423,0.0404,0.0703,0.955,0.91,0.2813,0.2726,both-deep,True,0.0038,0.0211,0.0425
A96-B47,A96,B47,0.3112,0.0693,0.0596,,0.86,0.74,0.2965,,WGS-only,False,0.0018,0.2525,0.0693
A159-B49,A159,B49,0.2868,0.0316,0.0262,0.0642,0.831,0.69,0.3074,0.2296,both-deep,True,0.0209,0.0116,0.0379
A81-B171,A81,B171,0.2912,0.0303,0.0513,0.0245,0.81,2.86,0.204,0.3389,both-deep,True,0.0085,0.0248,0.0315
