sample_name,A143-B84,A153-B30,A153-B6,A186-B79,A196-B117,A196-B15,A196-B171,A196-B2,A196-B27,A196-B59,A196-B87,A78-B137,A78-B151,A78-B77,A78-B84,A81-B132,A81-B27,A81-B75,A81-B8,Other
B4_3M_bcfr,9.544413336726903,1.247136675998982,0.9162636803257826,0.4072283023670145,6.541104606770171,1.247136675998982,1.578009671672181,0.9671672181216595,2.697887503181471,3.0542122677526087,7.0246882158310004,5.853906846525834,3.8432171035886995,12.089590226520743,1.5525579027742427,1.9852379740391957,0.8399083736319674,0.43268007126495295,25.70628658691779,12.471366759989818
B4_3M_fbcr,8.16631130063966,1.300639658848614,1.3646055437100213,0.42643923240938164,5.991471215351813,1.1087420042643923,2.1535181236673773,1.279317697228145,3.113006396588486,3.4541577825159915,7.803837953091684,7.569296375266525,3.4328358208955225,10.93816631130064,1.7270788912579957,2.1535181236673773,1.0021321961620469,0.511727078891258,23.04904051172708,13.45415778251599
B4_3M_fr,9.42578548212351,0.8667388949079089,0.7583965330444203,0.21668472372697722,4.225352112676056,1.3001083423618636,1.7334777898158178,0.6500541711809318,3.358613217768147,3.358613217768147,8.884073672806068,4.225352112676056,2.925243770314193,8.017334777898158,1.6251354279523293,3.791982665222102,0.9750812567713976,0.8667388949079089,26.652221018418203,16.143011917659805
B4_3p_bcfr,3.3074417439238286,2.3552994237033325,1.7288900025056377,3.1821598596842895,4.08418942620897,1.5033826108744675,2.530694061638687,1.6036081182660988,2.530694061638687,4.08418942620897,7.466800300676522,2.4304685542470557,4.8358807316462045,3.132047105988474,2.906539714357304,3.8336256577298924,3.132047105988474,2.981708844901027,6.213981458281133,36.156351791530945
B4_3p_fbcr,3.128371089536138,2.1143473570658036,1.8770226537216828,1.8554476806903992,3.4519956850053934,1.423948220064725,3.042071197411003,1.9201725997842503,2.7831715210355985,4.53074433656958,8.4789644012945,3.2793959007551243,4.854368932038835,3.042071197411003,3.0204962243797198,4.077669902912621,2.8694714131607335,2.373247033441208,6.472491909385113,35.40453074433657
B4_3p_fr,5.128205128205128,3.3333333333333335,1.7948717948717947,2.8205128205128207,0.7692307692307693,2.8205128205128207,3.3333333333333335,2.564102564102564,3.5897435897435894,3.8461538461538463,11.025641025641026,1.5384615384615385,3.8461538461538463,3.076923076923077,2.307692307692308,4.615384615384616,3.5897435897435894,1.7948717948717947,5.897435897435897,32.30769230769231
B4_4M_bcfr,20.2686495562485,1.0074358359318782,0.7195970256656272,0.23986567522187577,5.660829935236268,0.6956104581434397,1.4391940513312544,0.7675701607100024,2.0148716718637565,2.9743343727512594,5.420964260014392,3.8138642360278245,2.3027104821300073,7.651715039577836,0.9354761333653155,0.7435835931878149,0.47973135044375154,0.3358119453106261,34.82849604221636,7.699688174622212
B4_4M_fbcr,18.65284974093264,0.9067357512953367,0.6994818652849741,0.3367875647668394,5.829015544041451,0.4922279792746114,1.5803108808290156,0.9844559585492229,1.865284974093264,3.2642487046632125,6.424870466321243,3.9378238341968914,2.2020725388601035,6.398963730569948,1.1398963730569949,0.7512953367875648,0.31088082901554404,0.233160621761658,35.67357512953368,8.316062176165802
B4_4M_fr,19.78704525288376,0.7542147293700089,0.4880212954747116,0.1774622892635315,5.013309671694765,0.44365572315882873,0.8429458740017746,0.5323868677905945,1.730257320319432,2.9724933451641524,6.965394853593611,2.9281277728482697,2.3513753327417923,5.279503105590062,1.1535048802129548,0.5323868677905945,0.44365572315882873,0.4880212954747116,38.8642413487134,8.251996450754215
B4_4p_bcfr,6.857009127076995,1.6615960683360638,1.1935408378188626,1.380762930025743,8.659021764568218,1.357360168499883,1.872220922068804,1.5913877837584836,2.9019424292066462,5.780482096887432,7.839925111163117,3.8146501287151886,3.8146501287151886,8.027147203369998,2.4338871986894453,1.708401591387784,0.912707699508542,1.2169435993447226,18.72220922068804,18.254153990170842
