level,allele,n_variants,n_testable,n_accelerating,frac_of_testable_accelerating,mean_acceleration,mean_r_init_adopted,mean_r_final_adopted,modal_breakpoint
verA,A143,3,0,0,,,,,
verA,A15,1,0,0,,,,,
verA,A152,8,0,0,,,,,
verA,A153,6,0,0,,,,,
verA,A159,6,0,0,,,,,
verA,A162,1,0,0,,,,,
verA,A186,5,0,0,,,,,
verA,A191,1,0,0,,,,,
verA,A196,42,0,0,,,,,
verA,A20,5,0,0,,,,,
verA,A4,2,0,0,,,,,
verA,A63,5,0,0,,,,,
verA,A65,2,0,0,,,,,
verA,A77,1,0,0,,,,,
verA,A78,26,0,0,,,,,
verA,A81,37,0,0,,,,,
verA,A83,3,0,0,,,,,
verA,A90,24,0,0,,,,,
verA,A93,1,0,0,,,,,
verA,A96,7,0,0,,,,,
verB,B100,3,0,0,,,,,
verB,B103,2,0,0,,,,,
verB,B109,1,0,0,,,,,
verB,B110,2,0,0,,,,,
verB,B117,4,0,0,,,,,
verB,B119,3,0,0,,,,,
verB,B12,2,0,0,,,,,
verB,B120,3,0,0,,,,,
verB,B122,3,0,0,,,,,
verB,B123,2,0,0,,,,,
verB,B132,3,0,0,,,,,
verB,B137,4,0,0,,,,,
verB,B140,5,0,0,,,,,
verB,B142,1,0,0,,,,,
verB,B145,3,0,0,,,,,
verB,B15,3,0,0,,,,,
verB,B150,5,0,0,,,,,
verB,B151,12,0,0,,,,,
verB,B154,2,0,0,,,,,
verB,B155,3,0,0,,,,,
verB,B171,8,0,0,,,,,
verB,B178,2,0,0,,,,,
verB,B18,4,0,0,,,,,
verB,B2,3,0,0,,,,,
verB,B24,2,0,0,,,,,
verB,B26,2,0,0,,,,,
verB,B27,6,0,0,,,,,
verB,B3,3,0,0,,,,,
verB,B30,10,0,0,,,,,
verB,B40,2,0,0,,,,,
verB,B42,2,0,0,,,,,
verB,B47,3,0,0,,,,,
verB,B49,1,0,0,,,,,
verB,B50,3,0,0,,,,,
verB,B51,3,0,0,,,,,
verB,B59,5,0,0,,,,,
verB,B6,5,0,0,,,,,
verB,B65,2,0,0,,,,,
verB,B70,3,0,0,,,,,
verB,B75,7,0,0,,,,,
verB,B77,6,0,0,,,,,
verB,B79,5,0,0,,,,,
verB,B8,10,0,0,,,,,
verB,B84,14,0,0,,,,,
verB,B85,1,0,0,,,,,
verB,B86,1,0,0,,,,,
verB,B87,6,0,0,,,,,
verB,B91,1,0,0,,,,,
