Candidate,verA,verB,s_amplicon,n_primer_reps,s_barcode,model_barcode,nobs_barcode,s_integrated,model_integrated,nobs_integrated
A186-B79,A186,B79,0.5614333333333333,3.0,0.2005,constant,3.0,0.5384,constant,3
A81-B8,A81,B8,0.21330000000000002,3.0,0.2115,constant,4.0,0.2134,constant,4
A186-B78,A186,B78,,,0.1256,constant,2.0,0.2078,constant,2
A143-B92,A143,B92,,,,,,0.2078,constant,2
A65-B8,A65,B8,0.18159999999999998,2.0,,,,0.1917,constant,3
A93-B8,A93,B8,0.2203,1.0,,,,0.1842,constant,3
A143-B8,A143,B8,,,,,,0.1539,constant,2
A81-B77,A81,B77,,,,,,0.1539,constant,2
A81-B5,A81,B5,,,,,,0.1539,constant,2
A81-B3,A81,B3,0.12946666666666667,3.0,,,,0.145,constant,3
A191-B84,A191,B84,0.0273,1.0,,,,0.128,constant,3
A143-B84,A143,B84,0.11169999999999998,3.0,0.0278,constant,4.0,0.1071,constant,4
A15-B84,A15,B84,0.1662,1.0,,,,0.094,constant,3
A81-B132,A81,B132,0.039933333333333335,3.0,0.045,constant,4.0,0.0301,two_phase,4
A63-B84,A63,B84,0.0276,1.0,,,,0.0222,constant,2
A4-B117,A4,B117,0.0276,1.0,,,,0.0222,constant,2
A90-B26,A90,B26,,,,,,0.0222,constant,2
A77-B8,A77,B8,0.0276,1.0,,,,0.0222,constant,2
A78-B109,A78,B109,0.0276,1.0,,,,-0.0055,constant,2
A20-B126,A20,B126,,,,,,-0.0055,constant,2
A78-B150,A78,B150,0.0348,2.0,,,,-0.0066,constant,3
A196-B86,A196,B86,-0.0111,1.0,,,,-0.0176,constant,2
A81-B137,A81,B137,,,,,,-0.0176,constant,2
A90-B18,A90,B18,-0.0175,1.0,,,,-0.03,constant,2
A63-B117,A63,B117,,,,,,-0.0311,constant,2
A90-B84,A90,B84,0.0031,1.0,,,,-0.0311,constant,2
A4-B87,A4,B87,-0.0187,1.0,,,,-0.0311,constant,2
A152-B100,A152,B100,-0.015866666666666668,3.0,,,,-0.0403,constant,3
A159-B24,A159,B24,0.00825,2.0,,,,-0.0592,constant,2
A63-B75,A63,B75,-0.0051,1.0,,,,-0.0592,constant,2
A196-B91,A196,B91,-0.0385,1.0,,,,-0.0592,constant,2
A83-B50,A83,B50,-0.07176666666666666,3.0,,,,-0.0696,constant,3
A176-B120,A176,B120,,,,,,-0.0836,constant,2
A20-B60,A20,B60,,,,,,-0.0836,constant,2
A196-B85,A196,B85,-0.0111,1.0,,,,-0.0836,constant,2
A162-B137,A162,B137,0.0276,1.0,,,,-0.0836,constant,2
A196-B6,A196,B6,-0.01945,2.0,,,,-0.0849,constant,2
A20-B84,A20,B84,-0.0475,1.0,,,,-0.0883,constant,2
A196-B75,A196,B75,-0.0252,2.0,,,,-0.0936,constant,2
A78-B142,A78,B142,-0.0651,1.0,,,,-0.1099,constant,2
A90-B47,A90,B47,-0.030133333333333335,3.0,,,,-0.1177,constant,2
A196-B150,A196,B150,-0.10306666666666665,3.0,,,,-0.1199,constant,2
A196-B59,A196,B59,-0.09073333333333333,3.0,-0.0775,constant,3.0,-0.1233,constant,4
