lineage,genotype,context,rate_per_transfer,se,ci95_lo,ci95_hi,p_value,fold_change_per_transfer,r2,n_points,n_transfers,dof,tier,raw_ci_excludes_0,q_value,call
TFMN1.fba.tpiA.3,fba.tpiA,TFMN1 double-KO,-0.00078,0.00196,-0.00702,0.00547,0.71905,0.9992,0.0495,5,5,3,reliable,False,0.7844,flat
TFMN1.pgi.tpiA.3,pgi.tpiA,TFMN1 double-KO,-0.00115,0.00204,-0.00763,0.00534,0.61355,0.9989,0.0952,5,5,3,reliable,False,0.7363,flat
TFMN1.fba.tpiA.4,fba.tpiA,TFMN1 double-KO,-0.0013,0.00267,-0.0098,0.00719,0.65854,0.9987,0.0737,5,5,3,reliable,False,0.7526,flat
TFMN1.fba.sohB.1,fba.sohB,TFMN1 double-KO,-0.00235,0.00359,-0.01377,0.00907,0.55938,0.9977,0.125,5,5,3,reliable,False,0.7075,flat
TFMN1.sohB.pgi.5,sohB.pgi,TFMN1 double-KO,-0.00579,,,,,0.9942,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
TFMN1.fba.sohB.3,fba.sohB,TFMN1 double-KO,-0.00604,0.00925,-0.03547,0.02339,0.56008,0.994,0.1246,5,5,3,reliable,False,0.7075,flat
TFMN1.sohB.1,sohB,TFMN1 single-KO,0.14106,0.06976,-0.74531,1.02742,0.29238,1.1515,0.8035,5,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN1.pgi.1,pgi,TFMN1 single-KO,0.07057,0.01128,0.04296,0.09818,0.00077,1.0731,0.867,12,8,6,reliable,True,0.0186,amplifying
TFMN1.fba.1,fba,TFMN1 single-KO,0.052,0.02424,-0.02513,0.12913,0.12123,1.0534,0.6054,5,5,3,reliable,False,0.2909,flat
TFMN1.sohB.4,sohB,TFMN1 single-KO,0.03603,0.01606,-0.00327,0.07533,0.06604,1.0367,0.4562,16,8,6,reliable,False,0.2431,flat
TFMN1.pgi.3,pgi,TFMN1 single-KO,0.03503,,,,,1.0356,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
TFMN1.pgi.2,pgi,TFMN1 single-KO,0.03205,0.00973,-0.00979,0.0739,0.08102,1.0326,0.8445,8,4,2,reliable,False,0.2431,flat
TFMN1.sohB.5,sohB,TFMN1 single-KO,0.03065,0.00817,0.00466,0.05663,0.03304,1.0311,0.8244,13,5,3,reliable,True,0.1983,flat
TFMN1.fba.5,fba,TFMN1 single-KO,0.02433,0.00651,0.00759,0.04108,0.0135,1.0246,0.7362,7,7,5,reliable,True,0.1271,flat
TFMN1.tpiA.2,tpiA,TFMN1 single-KO,0.00414,0.00084,0.00147,0.00681,0.01589,1.0041,0.8906,5,5,3,reliable,True,0.1271,flat
TFMN1.fba.2,fba,TFMN1 single-KO,0.00074,0.01117,-0.03027,0.03175,0.95039,1.0007,0.0011,10,6,4,reliable,False,0.9737,flat
TFMN1.tpiA.5,tpiA,TFMN1 single-KO,-0.00483,0.00553,-0.02243,0.01277,0.44652,0.9952,0.2029,5,5,3,reliable,False,0.6698,flat
TFMN4.exp1.fbaMUT.5,fbaMUT,TFMN4 exp1,0.06925,,,,,1.0717,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaWT-tpiAWT.2,fbaWT-tpiAWT,TFMN4 exp1,0.06576,0.02589,-0.26314,0.39467,0.23872,1.068,0.8659,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaWT.1,fbaWT,TFMN4 exp1,0.06213,0.01764,-0.16202,0.28627,0.17612,1.0641,0.9254,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.tpiAWT.1,tpiAWT,TFMN4 exp1,0.05954,0.01367,-0.1141,0.23318,0.14363,1.0613,0.95,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo5aWT.3,combo5aWT,TFMN4 exp1,0.05902,0.02001,-0.19528,0.31332,0.20814,1.0608,0.8969,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaWT.2,fbaWT,TFMN4 exp1,0.05772,0.01224,-0.09786,0.2133,0.13308,1.0594,0.9569,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo5aMUT.5,combo5aMUT,TFMN4 exp1,0.05512,0.01002,-0.0722,0.18243,0.11449,1.0567,0.968,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaWT-tpiAWT.1,fbaWT-tpiAWT,TFMN4 exp1,0.05363,0.00539,-0.01482,0.12209,0.06374,1.0551,0.99,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.tpiAWT.4,tpiAWT,TFMN4 exp1,0.0536,0.01775,-0.17192,0.27912,0.20357,1.0551,0.9012,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaWT.5,fbaWT,TFMN4 exp1,0.05355,0.00857,-0.05536,0.16246,0.10105,1.055,0.975,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo10WT.3,combo10WT,TFMN4 exp1,0.0514,0.00912,-0.06453,0.16733,0.11183,1.0527,0.9695,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaMUT.1,fbaMUT,TFMN4 exp1,0.05119,0.00764,-0.04589,0.14827,0.09432,1.0525,0.9782,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo5aWT.1,combo5aWT,TFMN4 exp1,0.04947,0.00308,0.01033,0.08862,0.03959,1.0507,0.9961,3,3,1,low-leverage (3 transfers),True,,uncertain (low leverage)
TFMN4.exp1.combo10WT.4,combo10WT,TFMN4 exp1,0.04671,0.01634,-0.16096,0.25438,0.21429,1.0478,0.8909,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.tpiAWT.2,tpiAWT,TFMN4 exp1,0.04599,0.00888,-0.06682,0.15879,0.12142,1.0471,0.9641,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo5aMUT.2,combo5aMUT,TFMN4 exp1,0.04184,0.00124,0.02606,0.05763,0.01889,1.0427,0.9991,3,3,1,low-leverage (3 transfers),True,,uncertain (low leverage)
TFMN4.exp1.fbaWT-tpiAWT.4,fbaWT-tpiAWT,TFMN4 exp1,0.03869,,,,,1.0394,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo5bMUT.5,combo5bMUT,TFMN4 exp1,0.03562,0.00263,0.00223,0.06902,0.04689,1.0363,0.9946,3,3,1,low-leverage (3 transfers),True,,uncertain (low leverage)
TFMN4.exp1.fbaMUT.2,fbaMUT,TFMN4 exp1,0.0351,0.01207,-0.11823,0.18843,0.21083,1.0357,0.8943,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo10WT.5,combo10WT,TFMN4 exp1,0.0337,0.01035,-0.09784,0.16524,0.18974,1.0343,0.9138,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo5bMUT.1,combo5bMUT,TFMN4 exp1,0.03245,0.01153,-0.11403,0.17894,0.2173,1.033,0.8879,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo5aMUT.3,combo5aMUT,TFMN4 exp1,0.03228,0.01899,-0.20901,0.27357,0.33851,1.0328,0.7429,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo10WT.1,combo10WT,TFMN4 exp1,0.0265,,,,,1.0269,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo10WT.2,combo10WT,TFMN4 exp1,0.02594,,,,,1.0263,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaWT-tpiAWT.5,fbaWT-tpiAWT,TFMN4 exp1,0.0243,,,,,1.0246,1.0,2,2,0,rate-only (2 transfers),False,,uncertain (low leverage)
TFMN4.exp1.tpiAWT.5,tpiAWT,TFMN4 exp1,0.02202,0.01239,-0.13544,0.17949,0.32631,1.0223,0.7595,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaWT.3,fbaWT,TFMN4 exp1,0.01965,0.01484,-0.16889,0.20818,0.4118,1.0198,0.6368,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaMUT-tpiAMUT.2,fbaMUT-tpiAMUT,TFMN4 exp1,0.01865,0.00863,-0.09098,0.12828,0.27583,1.0188,0.8237,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.combo5bMUT.2,combo5bMUT,TFMN4 exp1,0.01708,0.00584,-0.05709,0.09124,0.20969,1.0172,0.8954,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaMUT-tpiAMUT.3,fbaMUT-tpiAMUT,TFMN4 exp1,0.01538,0.00032,0.01136,0.0194,0.0131,1.0155,0.9996,3,3,1,low-leverage (3 transfers),True,,uncertain (low leverage)
TFMN4.exp1.combo5bMUT.3,combo5bMUT,TFMN4 exp1,0.01226,0.00545,-0.05693,0.08145,0.26613,1.0123,0.8352,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.fbaMUT-tpiAMUT.5,fbaMUT-tpiAMUT,TFMN4 exp1,0.01083,0.00079,0.00077,0.0209,0.04647,1.0109,0.9947,3,3,1,low-leverage (3 transfers),True,,uncertain (low leverage)
TFMN4.exp1.combo10MUT.1,combo10MUT,TFMN4 exp1,0.00981,0.00547,-0.05963,0.07926,0.32346,1.0099,0.7633,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
TFMN4.exp1.tpiAMUT.2,tpiAMUT,TFMN4 exp1,0.00936,0.0012,-0.00595,0.02467,0.08151,1.0094,0.9837,3,3,1,low-leverage (3 transfers),False,,uncertain (low leverage)
