lineage,genotype,context,model_selected,direction,unconstrained_direction,breakpoint_testable,logA_init,r_init_per_transfer,r_final_per_transfer,breakpoint_transfer,rel_rate_change,delta_bic,r2_constant,r2_two_phase,s_constant_per_transfer,n_transfers
TFMN1.fba.tpiA.4,fba.tpiA,TFMN1 double-KO,constant,constant,accelerating,True,-0.3185,-0.0013,-0.0013,,0.1098,-1.198,0.0737,0.147,-0.0013,5
TFMN1.fba.1,fba,TFMN1 single-KO,constant,constant,decelerating,True,0.2778,0.052,0.052,,,,0.6054,,0.052,5
TFMN1.fba.2,fba,TFMN1 single-KO,constant,constant,decelerating,True,-0.0371,0.00074,0.00074,,,,0.0011,,0.00074,6
TFMN1.fba.5,fba,TFMN1 single-KO,constant,constant,decelerating,True,-0.1204,0.02433,0.02433,,,,0.7362,,0.02433,7
TFMN1.fba.pgi.2,fba.pgi,TFMN1 double-KO,constant,constant,decelerating,True,-0.2868,0.00413,0.00413,,,,0.1067,,0.00413,6
TFMN1.fba.pgi.3,fba.pgi,TFMN1 double-KO,constant,constant,decelerating,True,-0.1231,0.01437,0.01437,,,,0.4088,,0.01437,6
TFMN1.fba.pgi.4,fba.pgi,TFMN1 double-KO,constant,constant,decelerating,True,-0.3028,0.01228,0.01228,,,,0.6319,,0.01228,6
TFMN1.fba.sohB.1,fba.sohB,TFMN1 double-KO,constant,constant,decelerating,True,-0.2358,-0.00235,-0.00235,,,,0.125,,-0.00235,5
TFMN1.fba.sohB.3,fba.sohB,TFMN1 double-KO,constant,constant,decelerating,True,-0.0806,-0.00604,-0.00604,,,,0.1246,,-0.00604,5
TFMN1.fba.sohB.4,fba.sohB,TFMN1 double-KO,constant,constant,decelerating,True,-0.2115,0.01331,0.01331,,,,0.3484,,0.01331,6
TFMN1.fba.tpiA.3,fba.tpiA,TFMN1 double-KO,constant,constant,decelerating,True,-0.3082,-0.00078,-0.00078,,,,0.0495,,-0.00078,5
TFMN1.noDNA.2,noDNA,control (noDNA),constant,constant,decelerating,True,0.233,0.02909,0.02909,,,,0.4282,,0.02909,7
TFMN1.pgi.1,pgi,TFMN1 single-KO,constant,constant,decelerating,True,0.1055,0.07057,0.07057,,,,0.867,,0.07057,8
TFMN1.pgi.2,pgi,TFMN1 single-KO,constant,constant,decelerating,True,-0.1655,0.03205,0.03205,,,,0.8445,,0.03205,4
