metric,value
dataset,wgs
bic_margin_strong_evidence,6.0
rel_rate_change_min,0.1
min_obs_for_breakpoint,4
min_seg_obs,2
increasing_only,True
n_transfers_sampled,4
n_estimable_trajectories,237
n_breakpoint_testable,66
n_non_testable,171
n_two_phase_adopted_increasing,13
n_held_constant_decrease_not_permitted,47
n_weak_constant,6
frac_testable_accelerating,0.197
median_delta_bic_adopted,11.297
median_r2_constant_testable,0.3115
median_r2_two_phase_testable,0.9759
median_acceleration_adopted_per_cycle,0.5923
median_r_init_adopted_per_cycle,-0.2454
median_r_final_adopted_per_cycle,0.3412
