Candidate,verA,verB,n_samples,bridged,beta_per_cycle,beta_se,beta_se_raw,beta_per_generation,I2_heterogeneity,samples
A186-B79,A186,B79,3,True,0.5604,0.008,0.0091,0.1668,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A81-B8,A81,B8,3,True,0.2227,0.0218,0.0248,0.0663,0.183,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A93-B8,A93,B8,1,False,0.2214,0.0683,0.0778,0.0659,,B4_M_bcfr
A81-B3,A81,B3,3,True,0.1989,0.025,0.0285,0.0592,0.239,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A15-B84,A15,B84,1,False,0.1673,0.0539,0.0614,0.0498,,B4_M_bcfr
A143-B84,A143,B84,3,True,0.117,0.0498,0.0567,0.0348,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A65-B8,A65,B8,2,True,0.1089,0.0159,0.0181,0.0324,0.952,B4_M_fbcr;B4_M_fr
A78-B150,A78,B150,2,True,0.0638,0.0591,0.0673,0.019,0.0,B4_M_bcfr;B4_M_fbcr
A77-B8,A77,B8,1,False,0.0621,0.0664,0.0756,0.0185,,B4_M_fbcr
A162-B137,A162,B137,1,False,0.0621,0.0664,0.0756,0.0185,,B4_M_fbcr
A63-B84,A63,B84,1,False,0.0621,0.0664,0.0756,0.0185,,B4_M_fbcr
A4-B117,A4,B117,1,False,0.0621,0.0664,0.0756,0.0185,,B4_M_fbcr
A78-B109,A78,B109,1,False,0.0621,0.0664,0.0756,0.0185,,B4_M_fbcr
A81-B132,A81,B132,3,True,0.0467,0.0394,0.0449,0.0139,0.0,B4_M_bcfr;B4_M_fbcr;B4_M_fr
A191-B84,A191,B84,1,False,0.0284,0.0407,0.0463,0.0085,,B4_M_bcfr
A20-B178,A20,B178,2,True,0.0262,0.0089,0.0101,0.0078,0.0,B4_M_bcfr;B4_M_fbcr
A4-B87,A4,B87,1,False,0.0157,0.0904,0.1029,0.0047,,B4_M_fbcr
A196-B6,A196,B6,2,True,0.0043,0.1118,0.1272,0.0013,0.0,B4_M_bcfr;B4_M_fbcr
A90-B84,A90,B84,1,False,0.0042,0.118,0.1344,0.0013,,B4_M_bcfr
