allele,marginal_s_per_cycle,se,n_pairs,n_samples,sweep_wins,drift_null_p,null_lo,null_hi,exceeds_drift_null,robust_selection
A93,0.22028786671611528,0.0777548429057531,1,3,0,0.006666666666666667,-0.1850070475277201,0.1705793104671744,True,False
A15,0.1662465992287144,0.0614051815537374,1,3,0,0.04,-0.16025603902480126,0.16005675240695147,True,False
A65,0.13239137097006143,0.018120654061147518,2,2,0,0.13,-0.17707090917458684,0.12362087015623661,False,False
A143,0.11407228637583458,0.05672672495259268,3,3,0,0.0,-0.010825135321002847,0.010326608970670208,True,False
A77,0.027595634075318298,0.0756431513010247,1,1,0,0.6733333333333333,-0.1645829599833101,0.1641266900310599,False,False
A162,0.027595634075318298,0.0756431513010247,1,2,0,0.6933333333333334,-0.1623688725556477,0.16099504730260908,False,False
A191,0.0273217563175666,0.0462849161984827,1,2,0,0.7333333333333333,-0.16074912597274926,0.13475081025126026,False,False
A4,0.011341499537988546,0.060949900278286256,2,2,0,0.9233333333333333,-0.14571309900155363,0.10424099681094957,False,False
A159,-0.01614166260313749,0.018950370808739864,6,3,0,0.7866666666666666,-0.15179514461340154,0.12275628688966578,False,False
A20,-0.024014167660246426,0.007877273772937655,5,3,0,0.72,-0.1420136975412913,0.10190531525403654,False,False
A96,-0.04809949236583586,0.009389875182101434,7,3,0,0.37666666666666665,-0.11931565377787699,0.0728552167248282,False,False
A196,-0.06031715934671079,0.009912773091652827,42,3,0,0.14333333333333334,-0.08576832943216477,0.05400218609347233,False,False
A83,-0.07654204993550108,0.07725405887781882,3,3,0,0.27,-0.11917131045915404,0.10137824983011345,False,False
A186,-0.0840781985027636,0.0009935354730754983,5,3,0,0.25,-0.17297486291186512,0.13130532648749796,False,False
A63,-0.09056230033129954,0.02529129428156493,5,3,0,0.006666666666666667,-0.07876907516411644,0.04705528053631966,True,True
A78,-0.09372144363197565,0.002073591737603891,26,3,0,0.0,-0.027185878279222656,0.02181430848221708,True,True
A81,-0.13676031370589323,0.005349497888011206,37,3,3,0.0,-0.039306131673055245,0.0248667060047042,True,True
A90,-0.1405771825829486,0.009939979637965786,24,3,0,0.0,-0.054655339491549645,0.029164222251446097,True,True
A152,-0.14529400686694857,0.01566171342720541,8,3,0,0.0,-0.08375228907860024,0.06849221397439877,True,True
A153,-0.16962826279563065,0.028090682081634077,6,3,0,0.0,-0.038129555753724724,0.034552781764198216,True,True
