Candidate,verA,verB,n_samples,bridged,beta_per_cycle,beta_se,beta_per_generation,allele_pred_per_cycle,beta_pooled_per_cycle,shrinkage_lambda
A186-B79,A186,B79,3,True,0.5604,0.008,0.1668,0.5423,0.5522,0.547
A93-B8,A93,B8,1,False,0.2214,0.0683,0.0659,0.2218,0.2218,0.016
A81-B8,A81,B8,3,True,0.2227,0.0218,0.0663,0.2014,0.2044,0.14
A81-B3,A81,B3,3,True,0.1989,0.025,0.0592,0.1987,0.1987,0.11
A196-B8,A196,B8,3,True,-0.1143,0.0835,-0.034,0.1913,0.1879,0.011
A15-B84,A15,B84,1,False,0.1673,0.0539,0.0498,0.1662,0.1662,0.026
A143-B84,A143,B84,3,True,0.117,0.0498,0.0348,0.1162,0.1163,0.03
A65-B8,A65,B8,2,True,0.1089,0.0159,0.0324,0.109,0.1089,0.234
A96-B79,A96,B79,2,True,-0.0781,0.024,-0.0232,0.0856,0.0664,0.118
A77-B8,A77,B8,1,False,0.0621,0.0664,0.0185,0.0634,0.0634,0.017
A78-B109,A78,B109,1,False,0.0621,0.0664,0.0185,0.0615,0.0615,0.017
A162-B137,A162,B137,1,False,0.0621,0.0664,0.0185,0.0605,0.0605,0.017
A4-B117,A4,B117,1,False,0.0621,0.0664,0.0185,0.0505,0.0507,0.017
A81-B132,A81,B132,3,True,0.0467,0.0394,0.0139,0.0464,0.0465,0.047
A78-B150,A78,B150,2,True,0.0638,0.0591,0.019,0.0414,0.0418,0.022
A196-B117,A196,B117,3,True,-0.0542,0.1946,-0.0161,0.039,0.0388,0.002
A4-B87,A4,B87,1,False,0.0157,0.0904,0.0047,0.0382,0.038,0.009
A191-B84,A191,B84,1,False,0.0284,0.0407,0.0085,0.0281,0.0281,0.045
A20-B178,A20,B178,2,True,0.0262,0.0089,0.0078,0.0262,0.0262,0.495
A196-B87,A196,B87,3,True,-0.1148,0.124,-0.0342,0.0267,0.026,0.005
A196-B59,A196,B59,3,True,-0.0904,0.1778,-0.0269,0.0146,0.0143,0.002
A63-B75,A63,B75,1,False,-0.0407,0.0426,-0.0121,-0.0015,-0.0031,0.041
A196-B91,A196,B91,1,False,-0.004,0.0328,-0.0012,-0.0041,-0.0041,0.067
A159-B24,A159,B24,2,True,-0.0048,0.0179,-0.0014,-0.0048,-0.0048,0.194
A196-B86,A196,B86,1,False,-0.01,0.0186,-0.003,-0.01,-0.01,0.183
A196-B85,A196,B85,1,False,-0.01,0.0186,-0.003,-0.01,-0.01,0.183
A196-B150,A196,B150,3,True,-0.1106,0.1248,-0.0329,-0.0122,-0.0126,0.005
A196-B75,A196,B75,2,True,-0.0099,0.0185,-0.003,-0.0133,-0.0127,0.185
A152-B100,A152,B100,3,True,-0.0124,0.0695,-0.0037,-0.0131,-0.0131,0.016
A81-B75,A81,B75,3,True,-0.2049,0.0356,-0.061,-0.0031,-0.0146,0.057
A90-B119,A90,B119,3,True,-0.0249,0.0244,-0.0074,-0.025,-0.025,0.115
A78-B103,A78,B103,2,True,-0.0266,0.0738,-0.0079,-0.0267,-0.0267,0.014
A96-B87,A96,B87,2,True,-0.0265,0.0144,-0.0079,-0.029,-0.0283,0.271
A78-B142,A78,B142,1,False,-0.0306,0.0723,-0.0091,-0.0306,-0.0306,0.015
A20-B84,A20,B84,1,False,-0.0464,0.0115,-0.0138,-0.0227,-0.0314,0.368
A81-B42,A81,B42,2,True,-0.0354,0.0579,-0.0105,-0.0356,-0.0356,0.023
A81-B12,A81,B12,2,True,-0.0354,0.0579,-0.0105,-0.0356,-0.0356,0.023
A90-B47,A90,B47,3,True,-0.0388,0.0395,-0.0116,-0.0391,-0.0391,0.047
A78-B171,A78,B171,3,True,-0.0466,0.0114,-0.0139,-0.038,-0.0412,0.372
A90-B154,A90,B154,2,True,-0.0463,0.0507,-0.0138,-0.0467,-0.0467,0.029
A196-B123,A196,B123,2,True,-0.0527,0.0446,-0.0157,-0.0528,-0.0528,0.037
A159-B77,A159,B77,3,True,-0.0533,0.0493,-0.0159,-0.054,-0.054,0.031
A96-B75,A96,B75,1,False,-0.0464,0.0115,-0.0138,-0.069,-0.0607,0.368
A90-B59,A90,B59,2,True,-0.0522,0.0565,-0.0155,-0.0632,-0.063,0.024
A81-B171,A81,B171,2,True,-0.0184,0.0244,-0.0055,-0.0813,-0.0741,0.115
A78-B151,A78,B151,3,True,-0.0795,0.002,-0.0237,-0.0798,-0.0795,0.95
A78-B70,A78,B70,3,True,-0.0836,0.0199,-0.0249,-0.0836,-0.0836,0.164
A81-B65,A81,B65,2,True,-0.0884,0.0423,-0.0263,-0.0884,-0.0884,0.041
A186-B30,A186,B30,2,True,-0.0909,0.0009,-0.0271,-0.0907,-0.0909,0.99
A159-B49,A159,B49,1,False,-0.0947,0.1204,-0.0282,-0.092,-0.092,0.005
A83-B50,A83,B50,3,True,-0.0926,0.0679,-0.0276,-0.0923,-0.0923,0.016
A196-B171,A196,B171,3,True,-0.2064,0.0538,-0.0614,-0.0915,-0.0945,0.026
A152-B110,A152,B110,2,True,-0.1028,0.0215,-0.0306,-0.1028,-0.1028,0.144
A78-B26,A78,B26,2,True,-0.1088,0.0412,-0.0324,-0.1086,-0.1087,0.043
A63-B151,A63,B151,3,True,-0.1544,0.0283,-0.046,-0.1216,-0.1245,0.088
A153-B6,A153,B6,3,True,-0.1441,0.0258,-0.0429,-0.1273,-0.129,0.104
A81-B51,A81,B51,3,True,-0.1343,0.019,-0.04,-0.1343,-0.1343,0.175
A81-B140,A81,B140,3,True,-0.1509,0.0127,-0.0449,-0.1347,-0.1399,0.322
A78-B77,A78,B77,3,True,-0.1426,0.0048,-0.0424,-0.1426,-0.1426,0.768
A196-B122,A196,B122,3,True,-0.1504,0.0414,-0.0448,-0.1503,-0.1503,0.043
A196-B2,A196,B2,3,True,-0.1594,0.1043,-0.0474,-0.1585,-0.1585,0.007
A81-B27,A81,B27,3,True,-0.1666,0.0075,-0.0496,-0.167,-0.1668,0.575
A78-B84,A78,B84,3,True,-0.1981,0.0405,-0.0589,-0.1716,-0.1728,0.045
A90-B145,A90,B145,3,True,-0.1733,0.0138,-0.0516,-0.1733,-0.1733,0.289
A152-B151,A152,B151,3,True,-0.1745,0.0186,-0.0519,-0.1744,-0.1744,0.183
A196-B27,A196,B27,3,True,-0.2329,0.0862,-0.0693,-0.1772,-0.1778,0.01
A96-B140,A96,B140,2,True,-0.0395,0.0402,-0.0118,-0.2005,-0.1932,0.046
A63-B84,A63,B84,1,False,0.0621,0.0664,0.0185,-0.2134,-0.2086,0.017
A81-B84,A81,B84,3,True,-0.2031,0.0104,-0.0604,-0.2149,-0.21,0.418
A90-B120,A90,B120,3,True,-0.2107,0.02,-0.0627,-0.2107,-0.2107,0.161
A90-B151,A90,B151,3,True,-0.2275,0.0215,-0.0677,-0.2111,-0.2135,0.143
A81-B40,A81,B40,2,True,-0.215,0.0667,-0.064,-0.2142,-0.2142,0.017
A81-B18,A81,B18,3,True,-0.2247,0.0303,-0.0669,-0.216,-0.2167,0.078
A90-B155,A90,B155,3,True,-0.2496,0.1206,-0.0743,-0.2481,-0.2481,0.005
A78-B137,A78,B137,3,True,-0.2738,0.0817,-0.0815,-0.2694,-0.2694,0.011
A20-B30,A20,B30,2,True,-0.0367,0.0375,-0.0109,-0.2892,-0.2761,0.052
A196-B15,A196,B15,3,True,-0.2784,0.0286,-0.0829,-0.2782,-0.2782,0.086
A90-B84,A90,B84,1,False,0.0042,0.118,0.0013,-0.3029,-0.3012,0.006
A90-B18,A90,B18,1,False,-0.0164,0.1758,-0.0049,-0.304,-0.3032,0.002
A196-B6,A196,B6,2,True,0.0043,0.1118,0.0013,-0.307,-0.3051,0.006
A153-B30,A153,B30,3,True,-0.1375,0.083,-0.0409,-0.3119,-0.31,0.011
A196-B30,A196,B30,3,True,-0.1635,0.0652,-0.0487,-0.4917,-0.4858,0.018
