Candidate,verA,verB,n_samples,has_slope_info,r_global_per_h,se_laplace,rel_advantage_per_h,doubling_h,ci_boot_lo,ci_boot_hi,se_boot,loso_heterogeneity_sd,sens_to_OD_weight,identifiability
A186-B79,A186,B79,3,True,0.3946,0.0067,0.0973,1.76,0.3969,0.4249,0.0072,0.0032,0.0492,mixed
A186-B71,A186,B71,1,False,0.3646,0.0203,0.0674,1.9,0.2305,0.383,0.0411,0.0359,0.0471,mixed
A186-B15,A186,B15,2,False,0.3601,0.0172,0.0628,1.92,0.1986,0.3762,0.0397,0.0043,0.0464,mixed
A143-B82,A143,B82,1,False,0.3592,0.0234,0.0619,1.93,0.2128,0.3727,0.0631,0.0259,0.0478,mixed
A81-B7,A81,B7,1,False,0.3592,0.0234,0.0619,1.93,0.2122,0.3784,0.0662,0.0259,0.0478,mixed
A113-B8,A113,B8,1,False,0.3579,0.0229,0.0607,1.94,0.2083,0.3739,0.064,0.027,0.0468,mixed
A143-B76,A143,B76,1,False,0.3579,0.0229,0.0607,1.94,0.2053,0.3779,0.0666,0.027,0.0468,mixed
A122-B79,A122,B79,1,False,0.3579,0.0229,0.0607,1.94,0.2083,0.3749,0.0648,0.027,0.0468,mixed
A78-B155,A78,B155,1,False,0.3579,0.0229,0.0607,1.94,0.2068,0.3784,0.0656,0.027,0.0468,mixed
A82-B77,A82,B77,1,False,0.3579,0.0229,0.0607,1.94,0.2123,0.3759,0.0599,0.027,0.0468,mixed
A143-B89,A143,B89,1,False,0.3579,0.0229,0.0607,1.94,0.2092,0.3765,0.0634,0.027,0.0468,mixed
A186-B111,A186,B111,2,False,0.3578,0.017,0.0606,1.94,0.1895,0.3673,0.0419,0.0034,0.0462,mixed
A186-B148,A186,B148,2,False,0.3578,0.017,0.0606,1.94,0.185,0.3722,0.0589,0.0034,0.0462,mixed
A186-B99,A186,B99,2,False,0.3578,0.017,0.0606,1.94,0.1976,0.3729,0.0458,0.0034,0.0462,mixed
A143-B68,A143,B68,1,False,0.3548,0.0228,0.0575,1.95,0.2084,0.3774,0.0653,0.0274,0.0463,mixed
A101-B8,A101,B8,1,False,0.3548,0.0228,0.0575,1.95,0.2119,0.3701,0.0608,0.0274,0.0463,mixed
A186-B78,A186,B78,1,False,0.3548,0.0228,0.0575,1.95,0.2084,0.3755,0.0674,0.0274,0.0463,mixed
A130-B79,A130,B79,1,False,0.3548,0.0228,0.0575,1.95,0.2056,0.3707,0.0672,0.0274,0.0463,mixed
A186-B8,A186,B8,1,False,0.3548,0.0228,0.0575,1.95,0.217,0.3711,0.0583,0.0274,0.0463,mixed
A186-B77,A186,B77,1,False,0.3548,0.0228,0.0575,1.95,0.2044,0.3653,0.0651,0.0274,0.0463,mixed
A93-B136,A93,B136,1,False,0.3548,0.0228,0.0575,1.95,0.2108,0.3699,0.0653,0.0274,0.0463,mixed
A154-B79,A154,B79,1,False,0.3548,0.0228,0.0575,1.95,0.2125,0.3749,0.0608,0.0274,0.0463,mixed
A97-B8,A97,B8,1,False,0.3548,0.0228,0.0575,1.95,0.2089,0.3724,0.0673,0.0274,0.0463,mixed
A143-B92,A143,B92,2,False,0.3522,0.0153,0.0549,1.97,0.3009,0.3712,0.0263,0.0147,0.0463,mixed
A81-B8,A81,B8,3,True,0.3502,0.0065,0.053,1.98,0.3558,0.3826,0.0072,0.0036,0.0475,mixed
A65-B8,A65,B8,2,True,0.3464,0.0114,0.0491,2.0,0.3291,0.3755,0.0118,0.0067,0.0473,mixed
