Candidate,B4_M_bcfr,B4_M_fbcr,B4_M_fr
A186-B79,0.5540908196074537,0.5369481120667331,0.59325182440517
A81-B8,0.2120796493759967,0.232045831982619,0.1958279268562818
A81-B3,0.1159279581712292,0.1827263597148173,0.0897656373528318
A143-B84,0.0990671231506336,0.1391710336619196,0.0967522853144925
A81-B132,0.0221860927256171,0.0470804002425341,0.0504861661163647
A152-B100,-0.0272847107582005,-0.0360435521949109,0.0157456292785024
A196-B117,-0.0782466955605204,-0.1008430226375825,0.1016077601668421
A90-B47,-0.03129020941102,-0.053997362646569,-0.0050821798343293
A78-B171,-0.0475269319269056,-0.0880137668608043,-0.0226885958542146
A83-B50,-0.1741498614635468,-0.0082166706690278,-0.0330351165976879
A90-B119,-0.1650283907467054,-0.0651113405005432,0.0142973939253718
A159-B77,-0.1214408172617364,-0.0651113405005432,-0.0330351165976879
A196-B59,-0.1021034428716256,-0.1156484437888648,-0.0544938749577058
A196-B87,-0.0204235390933329,-0.176939058271278,-0.1058584354481566
A196-B150,-0.1040171895616178,-0.1161478964741946,-0.0890835596983139
A196-B8,-0.1406324249083977,-0.0951630583006363,-0.0867438826952991
A78-B151,-0.080329634686839,-0.1612029816861375,-0.0933346538719272
A78-B70,-0.1686111811773759,-0.1965591312414708,0.0142973939253718
A81-B51,-0.1163842623257857,-0.1388636746033876,-0.1024212129714133
A63-B151,-0.1794624306608803,-0.0709923005364067,-0.1197085611410439
A196-B30,-0.1350339088938596,-0.1528142048231019,-0.143214380921641
A153-B30,-0.1542569095787307,-0.2214685650835528,-0.0703422575194491
A196-B122,-0.1478467416933692,-0.2216741294952711,-0.1024212129714133
A196-B2,-0.1693776102342316,-0.1865683923141923,-0.1230219855583708
A196-B171,-0.0867532548459528,-0.1842850708817066,-0.2085990025016264
A153-B6,-0.1734441646102844,-0.1759011919418806,-0.1394322830570585
A81-B84,-0.1575987335990912,-0.2577576943460538,-0.078806876835821
A78-B77,-0.1916114570428492,-0.1766269969273831,-0.1313391348933144
A81-B140,-0.2209992291106155,-0.1850856073904422,-0.1280576542368835
A81-B27,-0.1613532535871987,-0.2172905112059076,-0.1732380600833362
A78-B84,-0.2074701415917156,-0.2392263325466133,-0.1122343214709846
A90-B151,-0.1356772053934788,-0.2685933638880443,-0.1627867441190047
A81-B75,-0.1661665771487013,-0.2492137222123877,-0.1536674236309465
A90-B145,-0.2578472564925183,-0.1827212207996786,-0.1405062522081348
A78-B137,-0.164665366962855,-0.3469423405792323,-0.1161852936112187
A196-B27,-0.1374708085921828,-0.27498210338458,-0.2196680637913204
A90-B120,-0.2069223098570704,-0.2874516275560621,-0.1732380600833362
A152-B151,-0.284265911731724,-0.2058941479928185,-0.2250108344821077
A81-B18,-0.3383676061725776,-0.1875617654124504,-0.1936886573405227
A90-B155,-0.2621255360880285,-0.3500309322260158,-0.1708971302522131
A196-B15,-0.271992314719789,-0.3337289063480158,-0.2168589374887201
A65-B8,,0.256579993278942,0.1065591901905671
A78-B150,0.0680628746211862,0.0015461624486939,
A159-B24,-0.0110820127039746,0.0275956340753183,
A81-B171,,-0.0374653682684649,0.0142973939253718
A96-B140,-0.03129020941102,,-0.0050821798343293
A196-B6,-0.0404130028237042,0.0015461624486939,
A196-B75,-0.0110820127039746,-0.0392507186879152,
A78-B103,0.0031216796674443,-0.0809274841018828,
A186-B30,-0.0921114441549646,,0.0142973939253718
A20-B178,-0.0720430401737029,-0.0073826065200894,
A96-B87,-0.0110820127039746,-0.0860275463524984,
A81-B12,-0.0548491486385427,-0.0651113405005432,
A81-B42,-0.0548491486385427,-0.0651113405005432,
A90-B154,-0.044168791444169,-0.0879834575211541,
A152-B110,,-0.0651113405005432,-0.0759539920559416
A20-B30,-0.1031322750573104,-0.0423862252836217,
A196-B123,-0.0720430401737029,-0.0867719862902501,
A90-B59,-0.044168791444169,-0.1411685178938288,
A81-B65,-0.0897653651533129,-0.1224303377130349,
A96-B79,-0.0720430401737029,-0.1475834596821752,
A78-B26,-0.1285265408808954,-0.1203408459474767,
A81-B40,-0.1260907505041775,-0.2727139343513301,
A93-B8,0.2202878667161153,,
A15-B84,0.1662465992287144,,
A162-B137,,0.0275956340753183,
A4-B117,,0.0275956340753183,
A63-B84,,0.0275956340753183,
A77-B8,,0.0275956340753183,
A78-B109,,0.0275956340753183,
A191-B84,0.0273217563175666,,
A90-B84,0.0031216796674443,,
A63-B75,,,-0.0050821798343293
A196-B85,-0.0110820127039746,,
A196-B86,-0.0110820127039746,,
A90-B18,-0.0174812651762162,,
A4-B87,,-0.0187444237013502,
A196-B91,,-0.0385078793565229,
A20-B84,-0.0475269319269056,,
A96-B75,-0.0475269319269056,,
A78-B142,,-0.0651113405005432,
A159-B49,-0.0958054473341649,,
