Sample,DNA_construct,Replicate,Candidate,verA,verB,n_obs_timepoints,transfers_observed,total_reads,logA_init,r_init_per_cycle,r_final_per_cycle,breakpoint_transfer,r_init_per_generation,r_final_per_generation,r_init_per_hour_measured,r_final_per_hour_measured,model_selected,direction,unconstrained_direction,breakpoint_testable,rel_rate_change,abs_rate_change,delta_bic,r2_selected,r2_constant,r2_two_phase,wrss_constant,wrss_two_phase,s_constant_per_cycle,freq_init,freq_final,estimable
B4_M_bcfr,4MXB,bcfr,A196-B75,A196,B75,2,"3,4",3,-0.3249,-0.0111,-0.0111,,-0.0037,-0.0037,-0.00042,-0.00042,constant,constant,none,False,,,,0.2157,0.2157,,0.0188,,-0.0111,0.00051,0.0,True
B4_M_bcfr,4MXB,bcfr,A196-B8,A196,B8,2,"3,4",23,1.5225,-0.1406,-0.1406,,-0.0349,-0.0349,-0.00533,-0.00533,constant,constant,none,False,,,,0.4575,0.4575,,1.1818,,-0.1406,0.00308,0.0,True
B4_M_bcfr,4MXB,bcfr,A196-B85,A196,B85,2,"3,4",3,-0.3249,-0.0111,-0.0111,,-0.0037,-0.0037,-0.00042,-0.00042,constant,constant,none,False,,,,0.2157,0.2157,,0.0188,,-0.0111,0.00051,0.0,True
B4_M_bcfr,4MXB,bcfr,A196-B86,A196,B86,2,"3,4",3,-0.3249,-0.0111,-0.0111,,-0.0037,-0.0037,-0.00042,-0.00042,constant,constant,none,False,,,,0.2157,0.2157,,0.0188,,-0.0111,0.00051,0.0,True
B4_M_bcfr,4MXB,bcfr,A196-B87,A196,B87,2,"3,4",502,4.5068,-0.0204,-0.0204,,0.0045,0.0045,-0.00077,-0.00077,constant,constant,none,False,,,,0.0047,0.0047,,15.17176,,-0.0204,0.07088,0.0,True
B4_M_bcfr,4MXB,bcfr,A20-B178,A20,B178,2,"3,4",5,0.1581,-0.072,-0.072,,-0.0232,-0.0232,-0.00273,-0.00273,constant,constant,none,False,,,,0.3128,0.3128,,0.51312,,-0.072,0.00103,0.0,True
B4_M_bcfr,4MXB,bcfr,A20-B30,A20,B30,2,"3,4",11,0.8076,-0.1031,-0.1031,,-0.0281,-0.0281,-0.00391,-0.00391,constant,constant,none,False,,,,0.6407,0.6407,,0.27842,,-0.1031,0.00154,0.0,True
B4_M_bcfr,4MXB,bcfr,A20-B84,A20,B84,2,"3,4",5,0.0884,-0.0475,-0.0475,,-0.0139,-0.0139,-0.0018,-0.0018,constant,constant,none,False,,,,0.9291,0.9291,,0.00755,,-0.0475,0.00077,0.0,True
B4_M_bcfr,4MXB,bcfr,A63-B151,A63,B151,2,"3,4",23,1.5252,-0.1795,-0.1795,,-0.0499,-0.0499,-0.0068,-0.0068,constant,constant,none,False,,,,0.9493,0.9493,,0.08752,,-0.1795,0.0036,0.0,True
B4_M_bcfr,4MXB,bcfr,A78-B103,A78,B103,2,"3,4",3,-0.2662,0.0031,0.0031,,0.0034,0.0034,0.00012,0.00012,constant,constant,none,False,,,,0.0005,0.0005,,0.72231,,0.0031,0.00026,0.0,True
B4_M_bcfr,4MXB,bcfr,A78-B137,A78,B137,2,"3,4",389,4.3081,-0.1647,-0.1647,,-0.0311,-0.0311,-0.00624,-0.00624,constant,constant,none,False,,,,0.3514,0.3514,,7.01717,,-0.1647,0.05907,0.0,True
B4_M_bcfr,4MXB,bcfr,A78-B150,A78,B150,3,"3,4,13",6,0.0744,0.0681,0.0681,,0.0216,0.0216,0.00258,0.00258,constant,constant,none,False,,,,0.4614,0.4614,,0.58325,,0.0681,0.00051,0.00026,True
