Sample,DNA_construct,Replicate,Candidate,verA,verB,n_obs_timepoints,total_reads,max_count,transfers_observed,freq_T3,freq_T13,s_per_cycle,se_per_cycle,r2_per_cycle,s_per_generation,se_per_generation,s_per_hour_measured,s_per_hour_nominal,monotonic,quality,estimable,sweep_winner
B4_M_bcfr,4MXB,bcfr,A186-B79,A186,B79,3,785,759,"3,4,13",0.004108885464817668,0.199264898923602,0.5540908196074537,0.033362917240268374,0.9963876115405512,0.16693281584649974,0.01338010803017256,0.020988288621494457,0.055409081960745364,False,good,True,False
B4_M_bcfr,4MXB,bcfr,A143-B92,A143,B92,1,2,2,13,0.0,0.0005250721974271463,0.30614223176078204,0.003335831391760546,0.9998812837597619,0.09272250936417692,0.0012416853228026691,0.01159629665760538,0.030614223176078204,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A113-B8,A113,B8,1,1,1,13,0.0,0.00026253609871357313,0.2526576105572001,0.007273814077547097,0.9991718675157517,0.07653103612850308,0.00017682896305582286,0.00957036403625758,0.02526576105572001,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A122-B79,A122,B79,1,1,1,13,0.0,0.00026253609871357313,0.2526576105572001,0.007273814077547097,0.9991718675157517,0.07653103612850308,0.00017682896305582286,0.00957036403625758,0.02526576105572001,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A143-B76,A143,B76,1,1,1,13,0.0,0.00026253609871357313,0.2526576105572001,0.007273814077547097,0.9991718675157517,0.07653103612850308,0.00017682896305582286,0.00957036403625758,0.02526576105572001,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A143-B8,A143,B8,1,1,1,13,0.0,0.00026253609871357313,0.2526576105572001,0.007273814077547097,0.9991718675157517,0.07653103612850308,0.00017682896305582286,0.00957036403625758,0.02526576105572001,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A143-B89,A143,B89,1,1,1,13,0.0,0.00026253609871357313,0.2526576105572001,0.007273814077547097,0.9991718675157517,0.07653103612850308,0.00017682896305582286,0.00957036403625758,0.02526576105572001,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A186-B111,A186,B111,1,1,1,13,0.0,0.00026253609871357313,0.2526576105572001,0.007273814077547097,0.9991718675157517,0.07653103612850308,0.00017682896305582286,0.00957036403625758,0.02526576105572001,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A186-B148,A186,B148,1,1,1,13,0.0,0.00026253609871357313,0.2526576105572001,0.007273814077547097,0.9991718675157517,0.07653103612850308,0.00017682896305582286,0.00957036403625758,0.02526576105572001,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A186-B15,A186,B15,1,1,1,13,0.0,0.00026253609871357313,0.2526576105572001,0.007273814077547097,0.9991718675157517,0.07653103612850308,0.00017682896305582286,0.00957036403625758,0.02526576105572001,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A186-B99,A186,B99,1,1,1,13,0.0,0.00026253609871357313,0.2526576105572001,0.007273814077547097,0.9991718675157517,0.07653103612850308,0.00017682896305582286,0.00957036403625758,0.02526576105572001,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A78-B155,A78,B155,1,1,1,13,0.0,0.00026253609871357313,0.2526576105572001,0.007273814077547097,0.9991718675157517,0.07653103612850308,0.00017682896305582286,0.00957036403625758,0.02526576105572001,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A82-B77,A82,B77,1,1,1,13,0.0,0.00026253609871357313,0.2526576105572001,0.007273814077547097,0.9991718675157517,0.07653103612850308,0.00017682896305582286,0.00957036403625758,0.02526576105572001,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A93-B8,A93,B8,2,3,2,"4,13",0.0,0.0005250721974271463,0.22028786671611536,0.07775484290575313,0.8892150997588972,0.06801183803104377,0.022078663238803982,0.00834423737561043,0.022028786671611535,True,fair,True,False
B4_M_bcfr,4MXB,bcfr,A81-B8,A81,B8,3,4995,2533,"3,4,13",0.2593733949666153,0.6650039380414807,0.21207964937599674,0.03747161633344838,0.9697269400473523,0.06473137343665628,0.009514287437407754,0.008033320052121089,0.021207964937599674,True,good,True,True
B4_M_bcfr,4MXB,bcfr,A15-B84,A15,B84,2,2,1,"3,13",0.00025680534155110427,0.00026253609871357313,0.16624659922871446,0.06140518155373747,0.8799499195749516,0.049354107703559295,0.01967353092653765,0.006297219667754336,0.016624659922871446,True,fair,True,False
B4_M_bcfr,4MXB,bcfr,A81-B3,A81,B3,2,8,5,"3,13",0.0012840267077555213,0.0007876082961407193,0.11592795817122925,0.09891130585155362,0.5787126193840706,0.03407004383543959,0.030079880172512098,0.004391210536788987,0.011592795817122924,True,fair,True,False
B4_M_bcfr,4MXB,bcfr,A143-B84,A143,B84,3,1662,845,"3,4,13",0.0963020030816641,0.11604095563139932,0.09906712315063364,0.1030830153343831,0.4801419481925606,0.03135154196759956,0.030217570687080024,0.0037525425435846077,0.009906712315063364,False,fair,True,False
B4_M_bcfr,4MXB,bcfr,A78-B150,A78,B150,3,6,3,"3,4,13",0.0005136106831022085,0.00026253609871357313,0.06806287462118626,0.07353293813197087,0.46142603321593534,0.02158446051876537,0.02128600052702365,0.0025781391901964494,0.006806287462118627,False,fair,True,False
B4_M_bcfr,4MXB,bcfr,A1-B87,A1,B87,1,1,1,4,0.0,0.0,0.056767857838445936,0.14670789865791925,0.1302277577050034,0.019179261407848106,0.043990189037687685,0.0021502976453956794,0.0056767857838445936,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A143-B148,A143,B148,1,1,1,4,0.0,0.0,0.056767857838445936,0.14670789865791925,0.1302277577050034,0.019179261407848106,0.043990189037687685,0.0021502976453956794,0.0056767857838445936,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A145-B8,A145,B8,1,1,1,4,0.0,0.0,0.056767857838445936,0.14670789865791925,0.1302277577050034,0.019179261407848106,0.043990189037687685,0.0021502976453956794,0.0056767857838445936,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A151-B19,A151,B19,1,1,1,4,0.0,0.0,0.056767857838445936,0.14670789865791925,0.1302277577050034,0.019179261407848106,0.043990189037687685,0.0021502976453956794,0.0056767857838445936,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A176-B104,A176,B104,1,1,1,4,0.0,0.0,0.056767857838445936,0.14670789865791925,0.1302277577050034,0.019179261407848106,0.043990189037687685,0.0021502976453956794,0.0056767857838445936,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A176-B119,A176,B119,1,1,1,4,0.0,0.0,0.056767857838445936,0.14670789865791925,0.1302277577050034,0.019179261407848106,0.043990189037687685,0.0021502976453956794,0.0056767857838445936,False,none,False,False
B4_M_bcfr,4MXB,bcfr,A193-B77,A193,B77,1,1,1,4,0.0,0.0,0.056767857838445936,0.14670789865791925,0.1302277577050034,0.019179261407848106,0.043990189037687685,0.0021502976453956794,0.0056767857838445936,False,none,False,False
