allele_kind,allele,marginal_s_per_cycle,marginal_s_per_generation,se,n_pairs,n_samples,drift_null_p,exceeds_drift_null,robust_selection,R_allele_OD_clock_per_h,R_allele_lo,R_allele_hi,correction_frac_of_mubulk,flag_anchor_is_community_level,flag_correction_is_few_pct_of_mubulk,flag_OD_not_biomass,flag_derived_not_measured
verA,A93,0.2202878667161152,0.0656,0.0777548429057531,1,3,0.0066666666666666,True,False,0.3216,0.3216,0.3216,0.082,True,True,True,True
verA,A15,0.1662465992287144,0.0495,0.0614051815537374,1,3,0.04,True,False,0.3156,0.3156,0.3156,0.062,True,True,True,True
verA,A65,0.1323913709700614,0.0394,0.0181206540611475,2,2,0.13,False,False,0.3119,0.3119,0.3119,0.049,True,True,True,True
verA,A143,0.1140722863758345,0.0339,0.0567267249525926,3,3,0.0,True,False,0.3098,0.3098,0.3098,0.043,True,True,True,True
verA,A77,0.0275956340753182,0.0082,0.0756431513010247,1,1,0.6733333333333333,False,False,0.3003,0.3003,0.3003,0.01,True,True,True,True
verA,A162,0.0275956340753182,0.0082,0.0756431513010247,1,2,0.6933333333333334,False,False,0.3003,0.3003,0.3003,0.01,True,True,True,True
verA,A191,0.0273217563175666,0.0081,0.0462849161984827,1,2,0.7333333333333333,False,False,0.3002,0.3002,0.3002,0.01,True,True,True,True
verA,A4,0.0113414995379885,0.0034,0.0609499002782862,2,2,0.9233333333333332,False,False,0.2985,0.2985,0.2985,0.004,True,True,True,True
verA,A159,-0.0161416626031374,-0.0048,0.0189503708087398,6,3,0.7866666666666666,False,False,0.2954,0.2954,0.2954,0.006,True,True,True,True
verA,A20,-0.0240141676602464,-0.0071,0.0078772737729376,5,3,0.72,False,False,0.2945,0.2945,0.2945,0.009,True,True,True,True
verA,A96,-0.0480994923658358,-0.0143,0.0093898751821014,7,3,0.3766666666666666,False,False,0.2919,0.2919,0.2919,0.018,True,True,True,True
verA,A196,-0.0603171593467107,-0.018,0.0099127730916528,42,3,0.1433333333333333,False,False,0.2905,0.2905,0.2905,0.022,True,True,True,True
verA,A83,-0.076542049935501,-0.0228,0.0772540588778188,3,3,0.27,False,False,0.2887,0.2887,0.2887,0.029,True,True,True,True
verA,A186,-0.0840781985027636,-0.025,0.0009935354730754,5,3,0.25,False,False,0.2879,0.2879,0.2879,0.031,True,True,True,True
verA,A63,-0.0905623003312995,-0.027,0.0252912942815649,5,3,0.0066666666666666,True,True,0.2872,0.2872,0.2872,0.034,True,True,True,True
verA,A78,-0.0937214436319756,-0.0279,0.0020735917376038,26,3,0.0,True,True,0.2868,0.2868,0.2868,0.035,True,True,True,True
verA,A81,-0.1367603137058932,-0.0407,0.0053494978880112,37,3,0.0,True,True,0.282,0.282,0.282,0.051,True,True,True,True
verA,A90,-0.1405771825829486,-0.0418,0.0099399796379657,24,3,0.0,True,True,0.2816,0.2816,0.2816,0.052,True,True,True,True
verA,A152,-0.1452940068669485,-0.0432,0.0156617134272054,8,3,0.0,True,True,0.2811,0.2811,0.2811,0.054,True,True,True,True
verA,A153,-0.1696282627956306,-0.0505,0.028090682081634,6,3,0.0,True,True,0.2784,0.2784,0.2784,0.063,True,True,True,True
verB,B79,0.511846272734642,0.1523,0.0086717665437403,5,3,0.0,True,True,0.3539,0.3539,0.3539,0.191,True,False,True,True
verB,B3,0.1714602809215805,0.051,0.028480850470726,3,3,0.01,True,False,0.3162,0.3162,0.3162,0.064,True,True,True,True
verB,B8,0.1531215247372171,0.0456,0.0139679524406326,10,3,0.0,True,True,0.3142,0.3142,0.3142,0.057,True,True,True,True
verB,B132,0.0365646505552128,0.0109,0.0448892931168576,3,3,0.0033333333333333,True,False,0.3013,0.3013,0.3013,0.014,True,True,True,True
verB,B150,0.0287803412662706,0.0086,0.060834197525963,5,3,0.6066666666666667,False,False,0.3004,0.3004,0.3004,0.011,True,True,True,True
verB,B109,0.0275956340753182,0.0082,0.0756431513010247,1,2,0.65,False,False,0.3003,0.3003,0.3003,0.01,True,True,True,True
verB,B117,0.0178857584526606,0.0053,0.071584317029167,4,3,0.7566666666666667,False,False,0.2992,0.2992,0.2992,0.007,True,True,True,True
verB,B119,0.0002920981214309,0.0001,0.0277731640816308,3,3,0.9966666666666668,False,False,0.2972,0.2972,0.2972,0.0,True,True,True,True
verB,B178,-0.0079633828211849,-0.0024,0.0101201699420858,2,3,0.9166666666666666,False,False,0.2963,0.2963,0.2963,0.003,True,True,True,True
verB,B24,-0.0082823048727759,-0.0025,0.0203514776764308,2,2,0.9133333333333332,False,False,0.2963,0.2963,0.2963,0.003,True,True,True,True
verB,B47,-0.009553434600681,-0.0028,0.0449456853913404,3,3,0.8766666666666667,False,False,0.2961,0.2961,0.2961,0.004,True,True,True,True
verB,B85,-0.0110820127039746,-0.0033,0.0211306193226999,1,3,0.8933333333333333,False,False,0.296,0.296,0.296,0.004,True,True,True,True
verB,B86,-0.0110820127039746,-0.0033,0.0211306193226999,1,1,0.8966666666666666,False,False,0.296,0.296,0.296,0.004,True,True,True,True
verB,B100,-0.0150552695597546,-0.0045,0.0790934123044169,3,3,0.5866666666666667,False,False,0.2955,0.2955,0.2955,0.006,True,True,True,True
verB,B91,-0.0385078793565229,-0.0115,0.0372879024201435,1,2,0.59,False,False,0.2929,0.2929,0.2929,0.014,True,True,True,True
