Sample,DNA_construct,Replicate,Microtiter_plate_well,Transfer,verA,verB,Candidate,Count,depth,freq
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B120,A196-B120,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B122,A196-B122,34,9625,0.0035324675324675324
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B123,A196-B123,22,9625,0.002285714285714286
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B15,A196-B15,113,9625,0.01174025974025974
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B150,A196-B150,44,9625,0.004571428571428572
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B163,A196-B163,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B169,A196-B169,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B171,A196-B171,183,9625,0.019012987012987013
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B19,A196-B19,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B2,A196-B2,106,9625,0.011012987012987013
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B23,A196-B23,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B27,A196-B27,286,9625,0.029714285714285714
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B30,A196-B30,42,9625,0.004363636363636364
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B59,A196-B59,314,9625,0.032623376623376624
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B6,A196-B6,3,9625,0.0003116883116883117
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B75,A196-B75,4,9625,0.0004155844155844156
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B8,A196-B8,22,9625,0.002285714285714286
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B85,A196-B85,4,9625,0.0004155844155844156
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B86,A196-B86,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B87,A196-B87,734,9625,0.07625974025974026
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A196,B91,A196-B91,3,9625,0.0003116883116883117
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A20,B11,A20-B11,3,9625,0.0003116883116883117
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A20,B117,A20-B117,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A20,B126,A20-B126,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A20,B178,A20-B178,7,9625,0.0007272727272727272
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A20,B30,A20-B30,13,9625,0.0013506493506493507
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A20,B60,A20-B60,4,9625,0.0004155844155844156
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A20,B8,A20-B8,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A20,B84,A20-B84,4,9625,0.0004155844155844156
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A23,B151,A23-B151,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A23,B87,A23-B87,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A25,B30,A25-B30,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A4,B117,A4-B117,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A4,B171,A4-B171,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A4,B87,A4-B87,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A49,B27,A49-B27,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A60,B151,A60-B151,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A63,B117,A63-B117,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A63,B147,A63-B147,6,9625,0.0006233766233766234
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A63,B151,A63-B151,35,9625,0.0036363636363636364
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A63,B23,A63-B23,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A63,B75,A63-B75,3,9625,0.0003116883116883117
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A63,B84,A63-B84,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A65,B171,A65-B171,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A65,B8,A65-B8,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A68,B117,A68-B117,3,9625,0.0003116883116883117
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A68,B27,A68-B27,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A74,B23,A74-B23,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A77,B8,A77-B8,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B103,A78-B103,10,9625,0.001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B109,A78-B109,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B115,A78-B115,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B130,A78-B130,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B137,A78-B137,632,9625,0.06566233766233766
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B142,A78-B142,5,9625,0.0005194805194805195
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B149,A78-B149,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B150,A78-B150,5,9625,0.0005194805194805195
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B151,A78-B151,350,9625,0.03636363636363636
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B169,A78-B169,1,9625,0.0001038961038961039
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B171,A78-B171,15,9625,0.0015584415584415584
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B23,A78-B23,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B26,A78-B26,15,9625,0.0015584415584415584
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B69,A78-B69,2,9625,0.0002077922077922078
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B70,A78-B70,32,9625,0.003324675324675325
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B77,A78-B77,1069,9625,0.11106493506493506
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B84,A78-B84,164,9625,0.017038961038961038
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,B4,3,A78,B87,A78-B87,1,9625,0.0001038961038961039
