level,allele,n_variants,n_testable,n_accelerating,frac_of_testable_accelerating,mean_acceleration,mean_r_init_adopted,mean_r_final_adopted,modal_breakpoint
verA,A81,55,14,5,0.3571,0.6407,-0.3441,0.2966,6.0
verA,A78,38,13,4,0.3077,0.469,-0.1188,0.3503,6.0
verA,A153,14,7,1,0.1429,0.9156,-0.4722,0.4434,6.0
verA,A83,17,7,1,0.1429,0.7641,-0.0452,0.7189,6.0
verA,A20,15,5,1,0.2,0.7059,-0.7116,-0.0057,4.0
verA,A186,11,2,1,0.5,0.1403,-0.1593,-0.019,4.0
verA,A185,1,1,1,1.0,1.0922,-0.881,0.2112,4.0
verA,A196,61,13,0,0.0,,,,
verA,A90,26,3,0,0.0,,,,
verA,A63,12,2,0,0.0,,,,
verA,A143,9,1,0,0.0,,,,
verA,A16,8,1,0,0.0,,,,
verA,A176,8,1,0,0.0,,,,
verA,A21,1,1,0,0.0,,,,
verA,A15,1,0,0,,,,,
verA,A152,10,0,0,,,,,
verA,A159,3,0,0,,,,,
verA,A162,1,0,0,,,,,
verA,A191,1,0,0,,,,,
verA,A4,2,0,0,,,,,
verA,A65,1,0,0,,,,,
verA,A77,1,0,0,,,,,
verA,A93,1,0,0,,,,,
verA,A96,11,0,0,,,,,
verB,B26,9,5,5,1.0,0.5315,-0.3334,0.1981,4.0
verB,B6,12,6,2,0.3333,0.8107,-0.5919,0.2189,4.0
verB,B3,6,3,2,0.6667,0.3893,-0.0825,0.3069,6.0
verB,B151,17,7,1,0.1429,0.7264,-0.2161,0.5103,6.0
verB,B30,16,5,1,0.2,0.4345,-0.1758,0.2587,6.0
verB,B40,7,3,1,0.3333,0.7641,-0.0452,0.7189,6.0
verB,B51,5,2,1,0.5,0.5923,-0.2454,0.3469,6.0
verB,B132,3,1,1,1.0,1.1225,-0.7667,0.3558,6.0
verB,B117,17,4,0,0.0,,,,
verB,B84,17,4,0,0.0,,,,
verB,B137,9,3,0,0.0,,,,
verB,B2,5,3,0,0.0,,,,
verB,B77,7,3,0,0.0,,,,
verB,B120,5,2,0,0.0,,,,
verB,B79,9,2,0,0.0,,,,
verB,B87,6,2,0,0.0,,,,
verB,B101,5,1,0,0.0,,,,
verB,B108,1,1,0,0.0,,,,
verB,B11,1,1,0,0.0,,,,
verB,B122,2,1,0,0.0,,,,
verB,B168,1,1,0,0.0,,,,
verB,B171,9,1,0,0.0,,,,
verB,B174,2,1,0,0.0,,,,
verB,B27,5,1,0,0.0,,,,
verB,B38,1,1,0,0.0,,,,
verB,B4,3,1,0,0.0,,,,
verB,B42,2,1,0,0.0,,,,
verB,B59,4,1,0,0.0,,,,
verB,B66,2,1,0,0.0,,,,
verB,B71,1,1,0,0.0,,,,
verB,B75,15,1,0,0.0,,,,
verB,B8,6,1,0,0.0,,,,
verB,B100,2,0,0,,,,,
verB,B103,2,0,0,,,,,
verB,B109,1,0,0,,,,,
verB,B110,1,0,0,,,,,
verB,B119,3,0,0,,,,,
verB,B12,1,0,0,,,,,
verB,B123,6,0,0,,,,,
verB,B126,2,0,0,,,,,
verB,B127,1,0,0,,,,,
verB,B13,1,0,0,,,,,
verB,B136,3,0,0,,,,,
verB,B138,1,0,0,,,,,
verB,B140,5,0,0,,,,,
verB,B142,1,0,0,,,,,
verB,B145,5,0,0,,,,,
verB,B147,2,0,0,,,,,
verB,B15,4,0,0,,,,,
verB,B150,3,0,0,,,,,
verB,B152,1,0,0,,,,,
verB,B154,5,0,0,,,,,
verB,B155,1,0,0,,,,,
verB,B159,1,0,0,,,,,
verB,B165,2,0,0,,,,,
verB,B177,2,0,0,,,,,
verB,B178,1,0,0,,,,,
verB,B18,7,0,0,,,,,
verB,B24,1,0,0,,,,,
verB,B32,1,0,0,,,,,
verB,B41,1,0,0,,,,,
verB,B46,1,0,0,,,,,
verB,B47,4,0,0,,,,,
verB,B49,1,0,0,,,,,
verB,B5,1,0,0,,,,,
verB,B50,3,0,0,,,,,
verB,B52,2,0,0,,,,,
verB,B60,1,0,0,,,,,
verB,B61,1,0,0,,,,,
verB,B65,2,0,0,,,,,
verB,B70,5,0,0,,,,,
verB,B78,1,0,0,,,,,
verB,B85,2,0,0,,,,,
verB,B86,1,0,0,,,,,
verB,B9,1,0,0,,,,,
verB,B91,2,0,0,,,,,
verB,B92,1,0,0,,,,,
verB,B95,1,0,0,,,,,
verB,B98,1,0,0,,,,,
