Sample,Candidate,verA,verB,n_obs_timepoints,s_constant_per_cycle,logA_init,r_init_per_cycle,r_final_per_cycle,breakpoint_transfer,deployed_model,r2_1var,r2_4var_capability,r2_4var_deployed,wrss_1var,wrss_4var_capability,bic_1var,bic_4var_capability,bic_4var_increasing,bic_prefers_4var_capability,bic_prefers_4var_increasing,loocv_rmse_1var_free,loocv_rmse_4var_free,loocv_folds_free,loocv_rmse_1var_fixedelbow,loocv_rmse_4var_fixedelbow,loocv_folds_fixedelbow,oos_4var_better_free,abs_phase_range
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,A143-B84,A143,B84,4,0.1071,6.3148,0.1071,0.1071,,constant,0.4818,0.8833,0.4818,938.92093,211.35656,24.606,20.028,,True,False,4.1519,8.4616,4,4.7486,9.9166,3,False,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,A196-B117,A196,B117,4,-0.1408,5.4177,-0.1408,-0.1408,,constant,0.087,0.8222,0.087,141.26888,27.51195,17.03,11.872,,True,False,2.7106,4.2292,4,3.087,4.6309,3,False,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,A196-B171,A196,B171,4,-0.2515,4.167,-0.2515,-0.2515,,constant,0.5161,0.7938,0.5161,19.84607,8.45781,9.179,7.154,,True,False,1.171,3.5196,4,1.3253,3.9873,3,False,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,A196-B59,A196,B59,4,-0.1233,4.8073,-0.1233,-0.1233,,constant,0.0698,0.7992,0.0698,81.9675,17.6956,14.853,10.107,,True,False,3.1536,5.7336,4,3.6067,6.4436,3,False,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,A196-B87,A196,B87,4,-0.2118,5.5953,-0.2118,-0.2118,,constant,0.3061,0.7632,0.3061,118.63136,40.47668,16.331,13.417,,True,False,2.0692,5.0065,4,2.3633,5.8837,3,False,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,A81-B8,A81,B8,4,0.2134,6.9114,0.2134,0.2134,,constant,0.9197,0.9504,0.9197,1142.917,706.34298,25.393,24.854,,True,False,1.3548,6.0579,4,1.5291,6.9288,3,False,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,A196-B11,A196,B11,4,-0.0678,3.5922,-0.0678,-0.0678,,constant,0.0977,0.8569,0.0977,16.36885,2.5957,8.409,2.429,,True,False,1.704,1.3229,4,0.5519,0.5568,3,True,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.2,A81-B174,A81,B174,4,0.1657,3.9697,0.1657,0.1657,,constant,0.6279,0.9887,0.6279,63.14327,1.9196,13.809,1.222,,True,False,6.6448,7.2334,4,3.7114,2.3377,3,False,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.3,A20-B151,A20,B151,4,0.0261,4.6739,0.0261,0.0261,,constant,0.2131,0.946,0.2131,30.10545,2.06494,10.846,1.514,,True,False,0.831,0.648,4,0.3309,0.2447,3,True,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.3,A90-B108,A90,B108,4,0.199,2.0434,0.199,0.199,,constant,0.9725,0.9998,0.9725,2.7414,0.02362,1.261,-16.369,,True,False,0.7955,0.6986,4,0.3241,0.0939,3,True,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A153-B30,A153,B30,4,-0.0432,1.5242,-0.0432,-0.0432,,constant,0.0369,0.8507,0.0369,6.27655,0.97318,4.575,-1.495,,True,False,1.9606,1.6093,4,2.1058,1.2437,3,True,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A78-B2,A78,B2,4,0.115,0.8388,0.115,0.115,,constant,0.7476,0.9995,0.7476,1.64964,0.00323,-0.77,-24.33,,True,False,0.9244,0.5493,4,0.9206,0.0833,3,True,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A81-B120,A81,B120,4,0.0413,1.1232,0.0413,0.0413,,constant,0.0769,0.9971,0.0769,4.60715,0.01439,3.338,-18.351,,True,False,1.9291,1.7248,4,0.7812,0.1375,3,True,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A81-B84,A81,B84,4,-0.0677,1.1527,-0.0677,-0.0677,,constant,0.1778,0.9392,0.1778,2.58141,0.19097,1.021,-8.009,,True,False,0.8712,0.9562,4,0.8227,0.7539,3,False,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.4,A83-B151,A83,B151,4,-0.0948,3.2294,-0.0948,-0.0948,,constant,0.1449,0.7691,0.1449,43.4473,11.73316,12.314,8.463,,True,False,1.1672,2.6654,4,0.9752,2.7954,3,False,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.5,A83-B42,A83,B42,4,0.1683,4.34,0.1683,0.1683,,constant,0.6458,0.9916,0.6458,145.62117,3.44825,17.151,3.565,,True,False,2.0002,2.4304,4,1.9096,0.5597,3,False,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A153-B77,A153,B77,4,0.0042,2.764,0.0042,0.0042,,constant,0.0003,0.7722,0.0003,31.08194,7.08288,10.974,6.444,,True,False,2.6328,2.6092,4,1.4908,2.142,3,True,0.0
TFMN4.exp2.ACN3788.concX_largeLib_SpeI_cleanup.1,A176-B120,A176,B120,4,0.0166,1.3542,0.0166,0.0166,,constant,0.012,0.6996,0.012,4.4892,1.36495,3.234,-0.142,,True,False,1.4259,2.2518,4,0.6322,1.1391,3,False,0.0
