Sample,assay,Microtiter_plate_well,Transfer,verA,verB,Candidate,Count,depth,freq
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,3,A83,B151,A83-B151,25,101,0.2475247524752475
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,3,A90,B2,A90-B2,2,101,0.0198019801980198
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,3,A96,B26,A96-B26,1,101,0.0099009900990099
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,3,A96,B87,A96-B87,2,101,0.0198019801980198
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A152,B154,A152-B154,7,218,0.0321100917431192
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A153,B137,A153-B137,8,218,0.036697247706422
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A153,B55,A153-B55,3,218,0.0137614678899082
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A153,B77,A153-B77,4,218,0.018348623853211
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A162,B137,A162-B137,3,218,0.0137614678899082
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A176,B177,A176-B177,1,218,0.0045871559633027
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A185,B26,A185-B26,2,218,0.0091743119266055
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A196,B168,A196-B168,51,218,0.2339449541284403
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A63,B40,A63-B40,2,218,0.0091743119266055
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A78,B3,A78-B3,17,218,0.0779816513761468
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A78,B47,A78-B47,1,218,0.0045871559633027
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A81,B101,A81-B101,7,218,0.0321100917431192
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A81,B51,A81-B51,15,218,0.0688073394495412
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A81,B61,A81-B61,6,218,0.0275229357798165
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A83,B151,A83-B151,83,218,0.3807339449541284
TFMN4.exp2.ACN3788.concX_smallLib_PCR_DpnI_cleanup.3,WGS,D10,4,A83,B70,A83-B70,4,218,0.018348623853211
