metric,value
dataset,integrated_4MXB
bic_margin_strong_evidence,6.0
rel_rate_change_min,0.1
min_obs_for_breakpoint,4
min_seg_obs,2
increasing_only,True
n_transfers_sampled,4
n_estimable_trajectories,308
n_breakpoint_testable,71
n_non_testable,237
n_two_phase_adopted_increasing,14
n_held_constant_decrease_not_permitted,50
n_weak_constant,7
frac_testable_accelerating,0.1972
median_delta_bic_adopted,13.132
median_r2_constant_testable,0.3602
median_r2_two_phase_testable,0.9544
median_acceleration_adopted_per_cycle,0.6491
median_r_init_adopted_per_cycle,-0.2722
median_r_final_adopted_per_cycle,0.344
