transfer,hours_from_T0,delta_g,cumgen,is_sampled_transfer,measured_hours_per_transfer
0,0.0,,,0,12.091
1,0.12,3.4991,3.4991,0,12.091
2,12.23,2.744,6.2431,0,12.091
3,24.33,4.6383,10.8814,1,12.091
4,36.41,3.9922,14.8736,1,12.091
5,48.5,2.563,17.4366,0,12.091
6,60.59,2.494,19.9306,0,12.091
7,72.67,2.4203,22.3509,0,12.091
8,85.39,2.6075,24.9584,0,12.091
9,97.49,4.4339,29.3923,0,12.091
10,109.73,4.686,34.0783,0,12.091
11,121.81,3.1191,37.1974,0,12.091
12,134.0,3.4207,40.6181,0,12.091
13,146.11,3.541,44.1591,1,12.091
14,158.2,3.0915,47.2506,0,12.091
15,170.29,3.3943,50.6449,0,12.091
16,182.37,3.3209,53.9659,0,12.091
17,194.31,3.5993,57.5651,0,12.091
18,206.41,3.8383,61.4034,0,12.091
19,218.35,3.6104,65.0138,0,12.091
20,230.29,3.3374,68.3512,0,12.091
21,242.28,3.0695,71.4207,0,12.091
22,254.38,3.2294,74.6501,0,12.091
23,266.49,3.2048,77.8549,0,12.091
24,278.6,3.3949,81.2498,0,12.091
25,290.68,3.2615,84.5114,0,12.091
26,302.77,3.2151,87.7264,0,12.091
27,314.84,3.1233,90.8498,0,12.091
28,326.84,3.5626,94.4123,0,12.091
29,338.94,3.8539,98.2662,0,12.091
30,350.87,3.5704,101.8366,0,12.091
31,362.97,3.2222,105.0588,0,12.091
